region peat_type tree_type year basal_area
north 1 deciduous  1990 8.29861644300102
north 1 deciduous  1991 8.44613912230259
north 1 deciduous  1992 8.59366180154904
north 1 deciduous  1993 8.74158865251945
north 1 deciduous  1994 8.88911133178491
north 1 deciduous  1995 9.03663401102922
north 1 deciduous  1996 9.18415669027354
north 1 deciduous  1997 9.33208354122921
north 1 deciduous  1998 9.47960622047565
north 1 deciduous  1999 9.6271288997221
north 1 deciduous  2000 9.77465157896855
north 1 deciduous  2001 9.92257842993896
north 1 deciduous  2002 10.0701011091854
north 1 deciduous  2003 10.1813232187628
north 1 deciduous  2004 9.95640543757177
north 1 deciduous  2005 9.73087144328399
north 1 deciduous  2006 9.50595366209673
north 1 deciduous  2007 9.32427920945147
north 1 deciduous  2008 9.47602789204655
north 1 deciduous  2009 9.62819232445656
north 1 deciduous  2010 9.77994100705702
north 1 deciduous  2011 9.93168968964822
north 1 deciduous  2012 9.92365754247936
north 1 deciduous  2013 9.59850633596282
north 1 deciduous  2014 9.2742435208134
north 1 deciduous  2015 8.94998070560421
north 1 deciduous  2016 8.62571789038205
north 1 deciduous  2017 8.5758303555
north 1 deciduous  2018 8.5758303555
north 1 deciduous  2019 8.5758303555
north 1 pine 1990 2.39589704167526
north 1 pine 1991 2.3459984545779
north 1 pine 1992 2.29609986749918
north 1 pine 1993 2.2460645719627
north 1 pine 1994 2.19616598487755
north 1 pine 1995 2.14626739779955
north 1 pine 1996 2.09636881072156
north 1 pine 1997 2.04633351519007
north 1 pine 1998 1.99643492811135
north 1 pine 1999 1.94653634103263
north 1 pine 2000 1.89663775395391
north 1 pine 2001 1.84660245841744
north 1 pine 2002 1.79670387133872
north 1 pine 2003 1.78067495477172
north 1 pine 2004 2.07827602939932
north 1 pine 2005 2.37669244943367
north 1 pine 2006 2.67429352405628
north 1 pine 2007 2.9288106010137
north 1 pine 2008 2.85113304675862
north 1 pine 2009 2.77324267728662
north 1 pine 2010 2.69556512302879
north 1 pine 2011 2.6178875687757
north 1 pine 2012 2.54481664771203
north 1 pine 2013 2.48068774176977
north 1 pine 2014 2.41673405143577
north 1 pine 2015 2.35278036108998
north 1 pine 2016 2.28882667074163
north 1 pine 2017 2.2789874545
north 1 pine 2018 2.2789874545
north 1 pine 2019 2.2789874545
north 1 spruce 1990 2.17697567381078
north 1 spruce 1991 2.28851456348652
north 1 spruce 1992 2.40005345312059
north 1 spruce 1993 2.51189792875366
north 1 spruce 1994 2.6234368184021
north 1 spruce 1995 2.73497570803455
north 1 spruce 1996 2.84651459766701
north 1 spruce 1997 2.95835907328892
north 1 spruce 1998 3.06989796292299
north 1 spruce 1999 3.18143685255706
north 1 spruce 2000 3.29297574219113
north 1 spruce 2001 3.40482021782419
north 1 spruce 2002 3.51635910745826
north 1 spruce 2003 3.6254845710715
north 1 spruce 2004 3.71226193472355
north 1 spruce 2005 3.79927704457647
north 1 spruce 2006 3.88605440822706
north 1 spruce 2007 3.97774258755974
north 1 spruce 2008 4.10729509465788
north 1 spruce 2009 4.23720254013128
north 1 spruce 2010 4.36675504723401
north 1 spruce 2011 4.49630755432883
north 1 spruce 2012 4.65598488515637
north 1 spruce 2013 4.87588466271835
north 1 spruce 2014 5.0951836211534
north 1 spruce 2015 5.31448257962889
north 1 spruce 2016 5.53378153811314
north 1 spruce 2017 5.5675204805
north 1 spruce 2018 5.5675204805
north 1 spruce 2019 5.5675204805
north 2 deciduous  1990 5.53237078577108
north 2 deciduous  1991 5.57616116459004
north 2 deciduous  1992 5.61995154339264
north 2 deciduous  1993 5.6638618958358
north 2 deciduous  1994 5.70765227464405
north 2 deciduous  1995 5.75144265344602
north 2 deciduous  1996 5.79523303224799
north 2 deciduous  1997 5.83914338468677
north 2 deciduous  1998 5.88293376348937
north 2 deciduous  1999 5.92672414229197
north 2 deciduous  2000 5.97051452109458
north 2 deciduous  2001 6.01442487353774
north 2 deciduous  2002 6.05821525234034
north 2 deciduous  2003 6.10222961988356
north 2 deciduous  2004 6.14831810227491
north 2 deciduous  2005 6.19453285448053
north 2 deciduous  2006 6.2406213368711
north 2 deciduous  2007 6.28486181969842
north 2 deciduous  2008 6.31485349634722
north 2 deciduous  2009 6.34492734197305
north 2 deciduous  2010 6.3749190186229
north 2 deciduous  2011 6.40491069527093
north 2 deciduous  2012 6.46323824999584
north 2 deciduous  2013 6.57796028383766
north 2 deciduous  2014 6.69236886946695
north 2 deciduous  2015 6.80677745511734
north 2 deciduous  2016 6.9211860407723
north 2 deciduous  2017 6.93878769609549
north 2 deciduous  2018 6.93878769609549
north 2 deciduous  2019 6.93878769609549
north 2 pine 1990 3.10022000764727
north 2 pine 1991 3.3114421464039
north 2 pine 1992 3.52266428508161
north 2 pine 1993 3.73446511455023
north 2 pine 1994 3.94568725325516
north 2 pine 1995 4.15690939192982
north 2 pine 1996 4.36813153060448
north 2 pine 1997 4.57993236005198
