region	year	litter_production	ground
south	1990	2.246000337	below
south	1991	2.229295325	below
south	1992	2.272226309	below
south	1993	2.304510495	below
south	1994	2.353639115	below
south	1995	2.384796037	below
south	1996	2.38564027	below
south	1997	2.433682648	below
south	1998	2.465565989	below
south	1999	2.479018009	below
south	2000	2.485904843	below
south	2001	2.476674634	below
south	2002	2.481586641	below
south	2003	2.48366811	below
south	2004	2.482458011	below
south	2005	2.474907355	below
south	2006	2.471585801	below
south	2007	2.497435372	below
south	2008	2.474839982	below
south	2009	2.437667201	below
south	2010	2.479714389	below
south	2011	2.47756316	below
south	2012	2.479538615	below
south	2013	2.516220069	below
south	2014	2.526944876	below
south	2015	2.554473356	below
south	2016	2.575145576	below
south	2017	2.597104851	below
south	2018	2.64498563	below
south	2019	2.642899393	below
south	2020	2.644467139	below
south	2021	2.692976667	below
north	1990	1.887893105	below
north	1991	1.890428321	below
north	1992	1.929262223	below
north	1993	1.957888581	below
north	1994	1.987421304	below
north	1995	2.010650967	below
north	1996	2.021321326	below
north	1997	2.052106848	below
north	1998	2.082337743	below
north	1999	2.107755974	below
north	2000	2.133784237	below
north	2001	2.159884269	below
north	2002	2.178423231	below
north	2003	2.188121572	below
north	2004	2.191077392	below
north	2005	2.191853236	below
north	2006	2.183768415	below
north	2007	2.199236135	below
north	2008	2.231291313	below
north	2009	2.231293964	below
north	2010	2.28144841	below
north	2011	2.311758944	below
north	2012	2.316000902	below
north	2013	2.320503124	below
north	2014	2.315547181	below
north	2015	2.309610218	below
north	2016	2.301692911	below
north	2017	2.3106643	below
north	2018	2.343583498	below
north	2019	2.356884893	below
north	2020	2.367157071	below
north	2021	2.388250704	below
