region year litter_type ground litter mortality
north 1990 coarse_woody_litter above 0.050756129315902 logging
north 1991 coarse_woody_litter above 0.0395534257337409 logging
north 1992 coarse_woody_litter above 0.0458514057588542 logging
north 1993 coarse_woody_litter above 0.0467251701692703 logging
north 1994 coarse_woody_litter above 0.0494316098943163 logging
north 1995 coarse_woody_litter above 0.0498032225793484 logging
north 1996 coarse_woody_litter above 0.0443412304192178 logging
north 1997 coarse_woody_litter above 0.0476244859193655 logging
north 1998 coarse_woody_litter above 0.0500828421552809 logging
north 1999 coarse_woody_litter above 0.0513121660688778 logging
north 2000 coarse_woody_litter above 0.0518998083054973 logging
north 2001 coarse_woody_litter above 0.0533222841648467 logging
north 2002 coarse_woody_litter above 0.0513347432504999 logging
north 2003 coarse_woody_litter above 0.0529318818974871 logging
north 2004 coarse_woody_litter above 0.0831630368659692 logging
north 2005 coarse_woody_litter above 0.0857812048213072 logging
north 2006 coarse_woody_litter above 0.0789427801358198 logging
north 2007 coarse_woody_litter above 0.0763894201346072 logging
north 2008 coarse_woody_litter above 0.0979258579055944 logging
north 2009 coarse_woody_litter above 0.068510792453549 logging
north 2010 coarse_woody_litter above 0.079059431312528 logging
north 2011 coarse_woody_litter above 0.0783185724582619 logging
north 2012 coarse_woody_litter above 0.0790230420069475 logging
north 2013 coarse_woody_litter above 0.0852494038099823 logging
north 2014 coarse_woody_litter above 0.0828664741682201 logging
north 2015 coarse_woody_litter above 0.0810933436465238 logging
north 2016 coarse_woody_litter above 0.0769571425504315 logging
north 2017 coarse_woody_litter above 0.0823290032545557 logging
north 2018 coarse_woody_litter above 0.0956434798353018 logging
north 2019 coarse_woody_litter above 0.0984102354292392 logging
north 2020 coarse_woody_litter above 0.0936088814962492 logging
north 2021 coarse_woody_litter above 0.0859926515086463 logging
south 1990 coarse_woody_litter above 0.0980925231193009 logging
south 1991 coarse_woody_litter above 0.0801415949961744 logging
south 1992 coarse_woody_litter above 0.0905824052665985 logging
south 1993 coarse_woody_litter above 0.0956204060294173 logging
south 1994 coarse_woody_litter above 0.108274886409407 logging
south 1995 coarse_woody_litter above 0.113199334683055 logging
south 1996 coarse_woody_litter above 0.103485344274464 logging
south 1997 coarse_woody_litter above 0.115520680311395 logging
south 1998 coarse_woody_litter above 0.119114638250539 logging
south 1999 coarse_woody_litter above 0.120186229027133 logging
south 2000 coarse_woody_litter above 0.122066990315387 logging
south 2001 coarse_woody_litter above 0.117492556040052 logging
south 2002 coarse_woody_litter above 0.116689859385817 logging
south 2003 coarse_woody_litter above 0.116378183843146 logging
south 2004 coarse_woody_litter above 0.148783307401298 logging
south 2005 coarse_woody_litter above 0.148350572569424 logging
south 2006 coarse_woody_litter above 0.140593109948629 logging
south 2007 coarse_woody_litter above 0.143688269216842 logging
south 2008 coarse_woody_litter above 0.15038858576638 logging
south 2009 coarse_woody_litter above 0.126277752470698 logging
south 2010 coarse_woody_litter above 0.137834771610112 logging
south 2011 coarse_woody_litter above 0.131624933161649 logging
south 2012 coarse_woody_litter above 0.130282091944433 logging
south 2013 coarse_woody_litter above 0.150286704243004 logging
south 2014 coarse_woody_litter above 0.14841321807002 logging
south 2015 coarse_woody_litter above 0.162253351947623 logging
