year;tree_uptake;region
1990;-5.377;south
1991;-6.901;south
1992;-6.154;south
1993;-5.842;south
1994;-4.860;south
1995;-4.586;south
1996;-5.448;south
1997;-4.634;south
1998;-4.446;south
1999;-4.558;south
2000;-4.564;south
2001;-5.180;south
2002;-5.300;south
2003;-5.543;south
2004;-5.913;south
2005;-6.235;south
2006;-6.384;south
2007;-5.331;south
2008;-5.922;south
2009;-6.553;south
2010;-4.848;south
2011;-4.662;south
2012;-4.749;south
2013;-3.694;south
2014;-3.557;south
2015;-2.857;south
2016;-2.471;south
1990;-1.913;north
1991;-2.692;north
1992;-2.722;north
1993;-3.099;north
1994;-3.322;north
1995;-3.734;north
1996;-4.552;north
1997;-4.737;north
1998;-4.921;north
1999;-5.259;north
2000;-5.583;north
2001;-5.677;north
2002;-5.910;north
2003;-5.952;north
2004;-6.037;north
2005;-6.194;north
2006;-6.520;north
2007;-6.022;north
2008;-5.842;north
2009;-6.775;north
2010;-6.077;north
2011;-5.777;north
2012;-5.700;north
2013;-5.203;north
2014;-5.060;north
2015;-5.092;north
2016;-5.207;north

