year	ghgi_co2
1990	12.13888805
1991	12.24091313
1992	11.59087022
1993	11.10250032
1994	10.47187727
1995	10.03337325
1996	9.935965212
1997	9.288449886
1998	8.713702093
1999	8.392725507
2000	8.120527752
2001	7.978660612
2002	7.746499273
2003	7.659574724
2004	7.649967652
2005	7.70912229
2006	7.804886065
2007	7.478474628
2008	7.293309648
2009	7.485996909
2010	6.648448345
2011	6.3395565
2012	6.121247689
2013	5.615840614
2014	5.394485016
2015	5.043909825
2016	4.764885348
2017	4.5267733
2018	3.899603254
2019	3.823172617
2020	3.741461481
2021	3.201092725
