region	year	CO2	method
south	1990	5.069896333	GHGI
south	1991	5.215701333	GHGI
south	1992	4.854666667	GHGI
south	1993	4.581184667	GHGI
south	1994	4.169242	GHGI
south	1995	3.903544333	GHGI
south	1996	3.885823333	GHGI
south	1997	3.482127	GHGI
south	1998	3.118778667	GHGI
south	1999	3.046644333	GHGI
south	2000	3.037884667	GHGI
south	2001	3.110668	GHGI
south	2002	3.065322333	GHGI
south	2003	3.029330333	GHGI
south	2004	3.033110667	GHGI
south	2005	3.092591333	GHGI
south	2006	3.118107667	GHGI
south	2007	2.917607	GHGI
south	2008	2.971364	GHGI
south	2009	3.412020333	GHGI
south	2010	3.181346667	GHGI
south	2011	3.298331667	GHGI
south	2012	3.222156667	GHGI
south	2013	2.825980667	GHGI
south	2014	2.65936	GHGI
south	2015	2.345035	GHGI
south	2016	2.036906667	GHGI
north	1990	7.076369667	GHGI
north	1991	7.077686	GHGI
north	1992	6.817756	GHGI
north	1993	6.632028333	GHGI
north	1994	6.410708333	GHGI
north	1995	6.235379333	GHGI
north	1996	6.155519333	GHGI
north	1997	5.939090667	GHGI
north	1998	5.737508333	GHGI
north	1999	5.560434	GHGI
north	2000	5.377577333	GHGI
north	2001	5.190060333	GHGI
north	2002	5.003892667	GHGI
north	2003	4.945130667	GHGI
north	2004	4.928715	GHGI
north	2005	4.931780333	GHGI
north	2006	5.004941333	GHGI
north	2007	4.894252	GHGI
north	2008	4.402101	GHGI
north	2009	4.235685667	GHGI
north	2010	3.692238	GHGI
north	2011	3.293774	GHGI
north	2012	3.150572333	GHGI
north	2013	2.992557333	GHGI
north	2014	2.906695	GHGI
north	2015	2.833746667	GHGI
north	2016	2.792434333	GHGI
