region year lognat_mortality
south 1990 0.454139294
south 1991 0.453410344
south 1992 0.452560356
south 1993 0.455922589
south 1994 0.46462478
south 1995 0.47721131
south 1996 0.486102908
south 1997 0.493383917
south 1998 0.50672099
south 1999 0.520537279
south 2000 0.534674076
south 2001 0.544924729
south 2002 0.550998788
south 2003 0.558078045
south 2004 0.562292378
south 2005 0.56793797
south 2006 0.57414001
south 2007 0.580791076
south 2008 0.591707747
south 2009 0.590320057
south 2010 0.593217402
south 2011 0.603656332
south 2012 0.613803453
south 2013 0.624357565
south 2014 0.637791872
south 2015 0.657804261
south 2016 0.676171769
north 1990 0.311359394
north 1991 0.303756482
north 1992 0.295992133
north 1993 0.290767383
north 1994 0.28735392
north 1995 0.285087565
north 1996 0.281696115
north 1997 0.27833098
north 1998 0.276337208
north 1999 0.27787694
north 2000 0.278481948
north 2001 0.279262476
north 2002 0.281231163
north 2003 0.283220781
north 2004 0.284641464
north 2005 0.289366588
north 2006 0.292770547
north 2007 0.296818904
north 2008 0.302231491
north 2009 0.303321134
north 2010 0.306463004
north 2011 0.310659071
north 2012 0.316295248
north 2013 0.322770139
north 2014 0.329836986
north 2015 0.336857504
north 2016 0.339637976
