region peat_type tree_type year basal_area
north 1 deciduous 1990 8.39854658931881
north 1 deciduous 1991 8.39854658931881
north 1 deciduous 1992 8.39854658931881
north 1 deciduous 1993 8.39854658931881
north 1 deciduous 1994 8.39854658931881
north 1 deciduous 1995 8.39854658931881
north 1 deciduous 1996 8.39854658931881
north 1 deciduous 1997 8.39854658931881
north 1 deciduous 1998 8.39854658931881
north 1 deciduous 1999 8.39854658931881
north 1 deciduous 2000 8.39854658931881
north 1 deciduous 2001 8.39854658931881
north 1 deciduous 2002 8.39854658931881
north 1 deciduous 2003 8.39854658931881
north 1 deciduous 2004 8.39854658931881
north 1 deciduous 2005 8.39854658931881
north 1 deciduous 2006 8.39854658931881
north 1 deciduous 2007 8.39854658931881
north 1 deciduous 2008 8.39854658931881
north 1 deciduous 2009 8.39854658931881
north 1 deciduous 2010 8.39854658931881
north 1 deciduous 2011 8.39854658931881
north 1 deciduous 2012 8.39854658931881
north 1 deciduous 2013 8.39854658931881
north 1 deciduous 2014 8.39854658931881
north 1 deciduous 2015 8.39854658931881
north 1 deciduous 2016 8.39854658931881
north 1 deciduous 2017 8.39854658931881
north 1 deciduous 2018 8.39854658931881
north 1 deciduous 2019 8.39854658931881
north 1 deciduous 2020 8.39854658931881
north 1 deciduous 2021 8.39854658931881
north 1 pine 1990 2.4312862105307
north 1 pine 1991 2.4312862105307
north 1 pine 1992 2.4312862105307
north 1 pine 1993 2.4312862105307
north 1 pine 1994 2.4312862105307
north 1 pine 1995 2.4312862105307
north 1 pine 1996 2.4312862105307
north 1 pine 1997 2.4312862105307
north 1 pine 1998 2.4312862105307
north 1 pine 1999 2.4312862105307
north 1 pine 2000 2.4312862105307
north 1 pine 2001 2.4312862105307
north 1 pine 2002 2.4312862105307
north 1 pine 2003 2.4312862105307
north 1 pine 2004 2.4312862105307
north 1 pine 2005 2.4312862105307
north 1 pine 2006 2.4312862105307
north 1 pine 2007 2.4312862105307
north 1 pine 2008 2.4312862105307
north 1 pine 2009 2.4312862105307
north 1 pine 2010 2.4312862105307
north 1 pine 2011 2.4312862105307
north 1 pine 2012 2.4312862105307
north 1 pine 2013 2.4312862105307
north 1 pine 2014 2.4312862105307
north 1 pine 2015 2.4312862105307
north 1 pine 2016 2.4312862105307
north 1 pine 2017 2.4312862105307
north 1 pine 2018 2.4312862105307
north 1 pine 2019 2.4312862105307
