region peat_type year basal_area
north 1 1990 12.87148916
north 1 1991 12.87148916
north 1 1992 12.87148916
north 1 1993 12.87148916
north 1 1994 12.87148916
north 1 1995 12.87148916
north 1 1996 12.87148916
north 1 1997 12.87148916
north 1 1998 12.87148916
north 1 1999 12.87148916
north 1 2000 12.87148916
north 1 2001 12.87148916
north 1 2002 12.87148916
north 1 2003 12.87148916
north 1 2004 12.87148916
north 1 2005 12.87148916
north 1 2006 12.87148916
north 1 2007 12.87148916
north 1 2008 12.87148916
north 1 2009 12.87148916
north 1 2010 12.87148916
north 1 2011 12.87148916
north 1 2012 12.87148916
north 1 2013 12.87148916
north 1 2014 12.87148916
north 1 2015 12.87148916
north 1 2016 12.87148916
north 1 2017 12.87148916
north 1 2018 12.87148916
north 1 2019 12.87148916
north 2 1990 11.44619702
north 2 1991 11.44619702
north 2 1992 11.44619702
north 2 1993 11.44619702
north 2 1994 11.44619702
north 2 1995 11.44619702
north 2 1996 11.44619702
north 2 1997 11.44619702
north 2 1998 11.44619702
north 2 1999 11.44619702
north 2 2000 11.44619702
north 2 2001 11.44619702
north 2 2002 11.44619702
north 2 2003 11.44619702
north 2 2004 11.44619702
north 2 2005 11.44619702
north 2 2006 11.44619702
north 2 2007 11.44619702
north 2 2008 11.44619702
north 2 2009 11.44619702
north 2 2010 11.44619702
north 2 2011 11.44619702
north 2 2012 11.44619702
north 2 2013 11.44619702
north 2 2014 11.44619702
north 2 2015 11.44619702
north 2 2016 11.44619702
north 2 2017 11.44619702
north 2 2018 11.44619702
north 2 2019 11.44619702
north 4 1990 8.08531801
north 4 1991 8.08531801
north 4 1992 8.08531801
north 4 1993 8.08531801
north 4 1994 8.08531801
north 4 1995 8.08531801
north 4 1996 8.08531801
north 4 1997 8.08531801
north 4 1998 8.08531801
north 4 1999 8.08531801
north 4 2000 8.08531801
north 4 2001 8.08531801
north 4 2002 8.08531801
north 4 2003 8.08531801
north 4 2004 8.08531801
north 4 2005 8.08531801
north 4 2006 8.08531801
north 4 2007 8.08531801
north 4 2008 8.08531801
north 4 2009 8.08531801
north 4 2010 8.08531801
north 4 2011 8.08531801
north 4 2012 8.08531801
north 4 2013 8.08531801
north 4 2014 8.08531801
north 4 2015 8.08531801
north 4 2016 8.08531801
north 4 2017 8.08531801
north 4 2018 8.08531801
north 4 2019 8.08531801
north 6 1990 5.263003319
north 6 1991 5.263003319
north 6 1992 5.263003319
north 6 1993 5.263003319
north 6 1994 5.263003319
north 6 1995 5.263003319
north 6 1996 5.263003319
north 6 1997 5.263003319
north 6 1998 5.263003319
north 6 1999 5.263003319
north 6 2000 5.263003319
north 6 2001 5.263003319
north 6 2002 5.263003319
north 6 2003 5.263003319
north 6 2004 5.263003319
north 6 2005 5.263003319
north 6 2006 5.263003319
north 6 2007 5.263003319
north 6 2008 5.263003319
north 6 2009 5.263003319
north 6 2010 5.263003319
north 6 2011 5.263003319
north 6 2012 5.263003319
north 6 2013 5.263003319
north 6 2014 5.263003319
north 6 2015 5.263003319
north 6 2016 5.263003319
north 6 2017 5.263003319
north 6 2018 5.263003319
north 6 2019 5.263003319
north 7 1990 7.471354513
north 7 1991 7.471354513
north 7 1992 7.471354513
north 7 1993 7.471354513
north 7 1994 7.471354513
north 7 1995 7.471354513
north 7 1996 7.471354513
north 7 1997 7.471354513
north 7 1998 7.471354513
north 7 1999 7.471354513
north 7 2000 7.471354513
north 7 2001 7.471354513
north 7 2002 7.471354513
north 7 2003 7.471354513
north 7 2004 7.471354513
north 7 2005 7.471354513
north 7 2006 7.471354513
north 7 2007 7.471354513
north 7 2008 7.471354513
north 7 2009 7.471354513
north 7 2010 7.471354513
north 7 2011 7.471354513
north 7 2012 7.471354513
north 7 2013 7.471354513
north 7 2014 7.471354513
north 7 2015 7.471354513
north 7 2016 7.471354513
north 7 2017 7.471354513
north 7 2018 7.471354513
north 7 2019 7.471354513
south 1 1990 17.26105789
south 1 1991 17.26105789
south 1 1992 17.26105789
south 1 1993 17.26105789
south 1 1994 17.26105789
south 1 1995 17.26105789
south 1 1996 17.26105789
south 1 1997 17.26105789
south 1 1998 17.26105789
south 1 1999 17.26105789
south 1 2000 17.26105789
south 1 2001 17.26105789
south 1 2002 17.26105789
south 1 2003 17.26105789
south 1 2004 17.26105789
south 1 2005 17.26105789
south 1 2006 17.26105789
south 1 2007 17.26105789
south 1 2008 17.26105789
south 1 2009 17.26105789
south 1 2010 17.26105789
south 1 2011 17.26105789
south 1 2012 17.26105789
south 1 2013 17.26105789
south 1 2014 17.26105789
south 1 2015 17.26105789
south 1 2016 17.26105789
south 1 2017 17.26105789
south 1 2018 17.26105789
south 1 2019 17.26105789
south 2 1990 19.0050296
south 2 1991 19.0050296
south 2 1992 19.0050296
south 2 1993 19.0050296
south 2 1994 19.0050296
south 2 1995 19.0050296
south 2 1996 19.0050296
south 2 1997 19.0050296
south 2 1998 19.0050296
south 2 1999 19.0050296
south 2 2000 19.0050296
south 2 2001 19.0050296
south 2 2002 19.0050296
south 2 2003 19.0050296
south 2 2004 19.0050296
south 2 2005 19.0050296
south 2 2006 19.0050296
south 2 2007 19.0050296
south 2 2008 19.0050296
south 2 2009 19.0050296
south 2 2010 19.0050296
south 2 2011 19.0050296
south 2 2012 19.0050296
south 2 2013 19.0050296
south 2 2014 19.0050296
south 2 2015 19.0050296
south 2 2016 19.0050296
south 2 2017 19.0050296
south 2 2018 19.0050296
south 2 2019 19.0050296
south 4 1990 13.81291227
south 4 1991 13.81291227
south 4 1992 13.81291227
south 4 1993 13.81291227
south 4 1994 13.81291227
south 4 1995 13.81291227
south 4 1996 13.81291227
south 4 1997 13.81291227
south 4 1998 13.81291227
south 4 1999 13.81291227
south 4 2000 13.81291227
south 4 2001 13.81291227
south 4 2002 13.81291227
south 4 2003 13.81291227
south 4 2004 13.81291227
south 4 2005 13.81291227
south 4 2006 13.81291227
south 4 2007 13.81291227
south 4 2008 13.81291227
south 4 2009 13.81291227
south 4 2010 13.81291227
south 4 2011 13.81291227
south 4 2012 13.81291227
south 4 2013 13.81291227
south 4 2014 13.81291227
south 4 2015 13.81291227
south 4 2016 13.81291227
south 4 2017 13.81291227
south 4 2018 13.81291227
south 4 2019 13.81291227
south 6 1990 8.319600715
south 6 1991 8.319600715
south 6 1992 8.319600715
south 6 1993 8.319600715
south 6 1994 8.319600715
south 6 1995 8.319600715
south 6 1996 8.319600715
south 6 1997 8.319600715
south 6 1998 8.319600715
south 6 1999 8.319600715
south 6 2000 8.319600715
south 6 2001 8.319600715
south 6 2002 8.319600715
south 6 2003 8.319600715
south 6 2004 8.319600715
south 6 2005 8.319600715
south 6 2006 8.319600715
south 6 2007 8.319600715
south 6 2008 8.319600715
south 6 2009 8.319600715
south 6 2010 8.319600715
south 6 2011 8.319600715
south 6 2012 8.319600715
south 6 2013 8.319600715
south 6 2014 8.319600715
south 6 2015 8.319600715
south 6 2016 8.319600715
south 6 2017 8.319600715
south 6 2018 8.319600715
south 6 2019 8.319600715
south 7 1990 5.039095288
south 7 1991 5.039095288
south 7 1992 5.039095288
south 7 1993 5.039095288
south 7 1994 5.039095288
south 7 1995 5.039095288
south 7 1996 5.039095288
south 7 1997 5.039095288
south 7 1998 5.039095288
south 7 1999 5.039095288
south 7 2000 5.039095288
south 7 2001 5.039095288
south 7 2002 5.039095288
south 7 2003 5.039095288
south 7 2004 5.039095288
south 7 2005 5.039095288
south 7 2006 5.039095288
south 7 2007 5.039095288
south 7 2008 5.039095288
south 7 2009 5.039095288
south 7 2010 5.039095288
south 7 2011 5.039095288
south 7 2012 5.039095288
south 7 2013 5.039095288
south 7 2014 5.039095288
south 7 2015 5.039095288
south 7 2016 5.039095288
south 7 2017 5.039095288
south 7 2018 5.039095288
south 7 2019 5.039095288
