region year lognat_mortality
south 1990 0.457405856
south 1991 0.454776756
south 1992 0.452679408
south 1993 0.454690229
south 1994 0.46199441
south 1995 0.473466971
south 1996 0.481485988
south 1997 0.487651362
south 1998 0.49965786
south 1999 0.511920145
south 2000 0.52427703
south 2001 0.532491479
south 2002 0.536748612
south 2003 0.542329262
south 2004 0.545265304
south 2005 0.54965401
south 2006 0.554751599
south 2007 0.560752496
south 2008 0.570519963
south 2009 0.567263203
south 2010 0.567078547
south 2011 0.574445321
south 2012 0.581682194
south 2013 0.589782169
south 2014 0.600859985
south 2015 0.618230274
south 2016 0.633912343
south 2017 0.652894182
south 2018 0.669464228
south 2019 0.684614932
south 2020 0.695387412
south 2021 0.703259205
north 1990 0.330647662
north 1991 0.320924895
north 1992 0.311398538
north 1993 0.304902124
north 1994 0.300520353
north 1995 0.297398625
north 1996 0.293075938
north 1997 0.288713472
north 1998 0.285956559
north 1999 0.286210901
north 2000 0.286106605
north 2001 0.286267633
north 2002 0.287267588
north 2003 0.288540764
north 2004 0.289590969
north 2005 0.293546309
north 2006 0.296363338
north 2007 0.300140368
north 2008 0.304989623
north 2009 0.305133027
north 2010 0.306596824
north 2011 0.309934597
north 2012 0.314570763
north 2013 0.320366593
north 2014 0.326629194
north 2015 0.33340776
north 2016 0.335451221
north 2017 0.338641171
north 2018 0.345095998
north 2019 0.352418292
north 2020 0.357324175
north 2021 0.363083789
