region year lognat_mortality
south 1990 0.447280333
south 1991 0.450470333
south 1992 0.453310333
south 1993 0.455890333
south 1994 0.458150333
south 1995 0.460260333
south 1996 0.462120333
south 1997 0.463860333
south 1998 0.465470333
south 1999 0.466900333
south 2000 0.468240333
south 2001 0.469460333
south 2002 0.470610333
south 2003 0.471660333
south 2004 0.472650333
south 2005 0.473570333
south 2006 0.474420333
south 2007 0.475240333
south 2008 0.475980333
south 2009 0.476690333
south 2010 0.477380333
south 2011 0.477970333
south 2012 0.478600333
south 2013 0.479140333
south 2014 0.479660333
south 2015 0.480180333
south 2016 0.480640333
north 1990 0.307561287
north 1991 0.300801287
north 1992 0.295131287
north 1993 0.290381287
north 1994 0.286361287
north 1995 0.282881287
north 1996 0.279841287
north 1997 0.277151287
north 1998 0.274791287
north 1999 0.272681287
north 2000 0.270801287
north 2001 0.269141287
north 2002 0.267651287
north 2003 0.266291287
north 2004 0.265071287
north 2005 0.263971287
north 2006 0.262991287
north 2007 0.262131287
north 2008 0.261361287
north 2009 0.260601287
north 2010 0.259991287
north 2011 0.259431287
north 2012 0.258931287
north 2013 0.258471287
north 2014 0.258041287
north 2015 0.257681287
north 2016 0.257361287
