region year lognat_mortality
south 1990 0.447280333
south 1991 0.450130333
south 1992 0.454480333
south 1993 0.457880333
south 1994 0.461110333
south 1995 0.464490333
south 1996 0.467210333
south 1997 0.468040333
south 1998 0.471020333
south 1999 0.474250333
south 2000 0.477730333
south 2001 0.479380333
south 2002 0.479020333
south 2003 0.480010333
south 2004 0.479100333
south 2005 0.480400333
south 2006 0.483840333
south 2007 0.485670333
south 2008 0.490660333
south 2009 0.489700333
south 2010 0.489060333
south 2011 0.489960333
south 2012 0.491620333
south 2013 0.491760333
south 2014 0.491760333
south 2015 0.495660333
south 2016 0.496110333
north 1990 0.307561287
north 1991 0.300801287
north 1992 0.295131287
north 1993 0.290381287
north 1994 0.286361287
north 1995 0.282881287
north 1996 0.279841287
north 1997 0.277151287
north 1998 0.274281287
north 1999 0.273451287
north 2000 0.271871287
north 2001 0.270051287
north 2002 0.269211287
north 2003 0.268451287
north 2004 0.266671287
north 2005 0.266971287
north 2006 0.267371287
north 2007 0.267861287
north 2008 0.267311287
north 2009 0.265401287
north 2010 0.265101287
north 2011 0.263651287
north 2012 0.263701287
north 2013 0.264401287
north 2014 0.265081287
north 2015 0.266721287
north 2016 0.265441287
