region year lognat_mortality
south 1990 0.446395856
south 1991 0.444416756
south 1992 0.441189408
south 1993 0.442670229
south 1994 0.44934441
south 1995 0.459726971
south 1996 0.467155988
south 1997 0.474491362
south 1998 0.48515786
south 1999 0.495630145
south 2000 0.50571703
south 2001 0.513591479
south 2002 0.519628612
south 2003 0.525409262
south 2004 0.530645304
south 2005 0.53473401
south 2006 0.537031599
south 2007 0.541882496
south 2008 0.546849963
south 2009 0.545773203
south 2010 0.547298547
south 2011 0.554185321
south 2012 0.560092194
south 2013 0.568462169
south 2014 0.579799985
south 2015 0.592440274
south 2016 0.607512343
south 2017 0.623774182
south 2018 0.642364228
south 2019 0.658564932
south 2020 0.667337412
south 2021 0.676709205
north 1990 0.317257662
north 1991 0.308004895
north 1992 0.298868538
north 1993 0.292792124
north 1994 0.288810353
north 1995 0.286038625
north 1996 0.282085938
north 1997 0.278093472
north 1998 0.276206559
north 1999 0.275430901
north 2000 0.275356605
north 2001 0.275917633
north 2002 0.276467588
north 2003 0.277360764
north 2004 0.279290969
north 2005 0.281916309
north 2006 0.283473338
north 2007 0.285840368
north 2008 0.290529623
north 2009 0.292163027
north 2010 0.293446824
north 2011 0.297864597
north 2012 0.301930763
north 2013 0.306356593
north 2014 0.311309194
north 2015 0.31556776
north 2016 0.318821221
north 2017 0.321961171
north 2018 0.327565998
north 2019 0.334358292
north 2020 0.339554175
north 2021 0.345053789
