region peat_type year roll_T
north 1 1990 9.298709091
north 1 1991 9.298709091
north 1 1992 9.298709091
north 1 1993 9.298709091
north 1 1994 9.298709091
north 1 1995 9.298709091
north 1 1996 9.298709091
north 1 1997 9.298709091
north 1 1998 9.298709091
north 1 1999 9.298709091
north 1 2000 9.298709091
north 1 2001 9.298709091
north 1 2002 9.298709091
north 1 2003 9.298709091
north 1 2004 9.298709091
north 1 2005 9.298709091
north 1 2006 9.298709091
north 1 2007 9.298709091
north 1 2008 9.298709091
north 1 2009 9.298709091
north 1 2010 9.298709091
north 1 2011 9.298709091
north 1 2012 9.298709091
north 1 2013 9.298709091
north 1 2014 9.298709091
north 1 2015 9.298709091
north 1 2016 9.298709091
north 2 1990 9.404629727
north 2 1991 9.404629727
north 2 1992 9.404629727
north 2 1993 9.404629727
north 2 1994 9.404629727
north 2 1995 9.404629727
north 2 1996 9.404629727
north 2 1997 9.404629727
north 2 1998 9.404629727
north 2 1999 9.404629727
north 2 2000 9.404629727
north 2 2001 9.404629727
north 2 2002 9.404629727
north 2 2003 9.404629727
north 2 2004 9.404629727
north 2 2005 9.404629727
north 2 2006 9.404629727
north 2 2007 9.404629727
north 2 2008 9.404629727
north 2 2009 9.404629727
north 2 2010 9.404629727
north 2 2011 9.404629727
north 2 2012 9.404629727
north 2 2013 9.404629727
north 2 2014 9.404629727
north 2 2015 9.404629727
north 2 2016 9.404629727
north 4 1990 9.167363441
north 4 1991 9.167363441
north 4 1992 9.167363441
north 4 1993 9.167363441
north 4 1994 9.167363441
north 4 1995 9.167363441
north 4 1996 9.167363441
north 4 1997 9.167363441
north 4 1998 9.167363441
north 4 1999 9.167363441
north 4 2000 9.167363441
north 4 2001 9.167363441
north 4 2002 9.167363441
north 4 2003 9.167363441
north 4 2004 9.167363441
north 4 2005 9.167363441
north 4 2006 9.167363441
north 4 2007 9.167363441
north 4 2008 9.167363441
north 4 2009 9.167363441
north 4 2010 9.167363441
north 4 2011 9.167363441
north 4 2012 9.167363441
north 4 2013 9.167363441
north 4 2014 9.167363441
north 4 2015 9.167363441
north 4 2016 9.167363441
north 6 1990 9.1441018
north 6 1991 9.1441018
north 6 1992 9.1441018
north 6 1993 9.1441018
north 6 1994 9.1441018
north 6 1995 9.1441018
north 6 1996 9.1441018
north 6 1997 9.1441018
north 6 1998 9.1441018
north 6 1999 9.1441018
north 6 2000 9.1441018
north 6 2001 9.1441018
north 6 2002 9.1441018
north 6 2003 9.1441018
north 6 2004 9.1441018
north 6 2005 9.1441018
north 6 2006 9.1441018
north 6 2007 9.1441018
north 6 2008 9.1441018
north 6 2009 9.1441018
north 6 2010 9.1441018
north 6 2011 9.1441018
north 6 2012 9.1441018
north 6 2013 9.1441018
north 6 2014 9.1441018
north 6 2015 9.1441018
north 6 2016 9.1441018
north 7 1990 9.657669475
north 7 1991 9.657669475
north 7 1992 9.657669475
north 7 1993 9.657669475
north 7 1994 9.657669475
north 7 1995 9.657669475
north 7 1996 9.657669475
north 7 1997 9.657669475
north 7 1998 9.657669475
north 7 1999 9.657669475
north 7 2000 9.657669475
north 7 2001 9.657669475
north 7 2002 9.657669475
north 7 2003 9.657669475
north 7 2004 9.657669475
north 7 2005 9.657669475
north 7 2006 9.657669475
north 7 2007 9.657669475
north 7 2008 9.657669475
north 7 2009 9.657669475
north 7 2010 9.657669475
north 7 2011 9.657669475
north 7 2012 9.657669475
north 7 2013 9.657669475
north 7 2014 9.657669475
north 7 2015 9.657669475
north 7 2016 9.657669475
south 1 1990 10.94374825
south 1 1991 10.94374825
south 1 1992 10.94374825
south 1 1993 10.94374825
south 1 1994 10.94374825
south 1 1995 10.94374825
south 1 1996 10.94374825
south 1 1997 10.94374825
south 1 1998 10.94374825
south 1 1999 10.94374825
south 1 2000 10.94374825
south 1 2001 10.94374825
south 1 2002 10.94374825
south 1 2003 10.94374825
south 1 2004 10.94374825
south 1 2005 10.94374825
south 1 2006 10.94374825
south 1 2007 10.94374825
south 1 2008 10.94374825
south 1 2009 10.94374825
south 1 2010 10.94374825
south 1 2011 10.94374825
south 1 2012 10.94374825
south 1 2013 10.94374825
south 1 2014 10.94374825
south 1 2015 10.94374825
south 1 2016 10.94374825
south 2 1990 10.79676814
south 2 1991 10.79676814
south 2 1992 10.79676814
south 2 1993 10.79676814
south 2 1994 10.79676814
south 2 1995 10.79676814
south 2 1996 10.79676814
south 2 1997 10.79676814
south 2 1998 10.79676814
south 2 1999 10.79676814
south 2 2000 10.79676814
south 2 2001 10.79676814
south 2 2002 10.79676814
south 2 2003 10.79676814
south 2 2004 10.79676814
south 2 2005 10.79676814
south 2 2006 10.79676814
south 2 2007 10.79676814
south 2 2008 10.79676814
south 2 2009 10.79676814
south 2 2010 10.79676814
south 2 2011 10.79676814
south 2 2012 10.79676814
south 2 2013 10.79676814
south 2 2014 10.79676814
south 2 2015 10.79676814
south 2 2016 10.79676814
south 4 1990 10.58069656
south 4 1991 10.58069656
south 4 1992 10.58069656
south 4 1993 10.58069656
south 4 1994 10.58069656
south 4 1995 10.58069656
south 4 1996 10.58069656
south 4 1997 10.58069656
south 4 1998 10.58069656
south 4 1999 10.58069656
south 4 2000 10.58069656
south 4 2001 10.58069656
south 4 2002 10.58069656
south 4 2003 10.58069656
south 4 2004 10.58069656
south 4 2005 10.58069656
south 4 2006 10.58069656
south 4 2007 10.58069656
south 4 2008 10.58069656
south 4 2009 10.58069656
south 4 2010 10.58069656
south 4 2011 10.58069656
south 4 2012 10.58069656
south 4 2013 10.58069656
south 4 2014 10.58069656
south 4 2015 10.58069656
south 4 2016 10.58069656
south 6 1990 10.54832108
south 6 1991 10.54832108
south 6 1992 10.54832108
south 6 1993 10.54832108
south 6 1994 10.54832108
south 6 1995 10.54832108
south 6 1996 10.54832108
south 6 1997 10.54832108
south 6 1998 10.54832108
south 6 1999 10.54832108
south 6 2000 10.54832108
south 6 2001 10.54832108
south 6 2002 10.54832108
south 6 2003 10.54832108
south 6 2004 10.54832108
south 6 2005 10.54832108
south 6 2006 10.54832108
south 6 2007 10.54832108
south 6 2008 10.54832108
south 6 2009 10.54832108
south 6 2010 10.54832108
south 6 2011 10.54832108
south 6 2012 10.54832108
south 6 2013 10.54832108
south 6 2014 10.54832108
south 6 2015 10.54832108
south 6 2016 10.54832108
south 7 1990 10.48100274
south 7 1991 10.48100274
south 7 1992 10.48100274
south 7 1993 10.48100274
south 7 1994 10.48100274
south 7 1995 10.48100274
south 7 1996 10.48100274
south 7 1997 10.48100274
south 7 1998 10.48100274
south 7 1999 10.48100274
south 7 2000 10.48100274
south 7 2001 10.48100274
south 7 2002 10.48100274
south 7 2003 10.48100274
south 7 2004 10.48100274
south 7 2005 10.48100274
south 7 2006 10.48100274
south 7 2007 10.48100274
south 7 2008 10.48100274
south 7 2009 10.48100274
south 7 2010 10.48100274
south 7 2011 10.48100274
south 7 2012 10.48100274
south 7 2013 10.48100274
south 7 2014 10.48100274
south 7 2015 10.48100274
south 7 2016 10.48100274
