"osite","lohko","koeala","paino","T"
1,28047,5,3.8595066773,12.03
1,29048,2,3.8595066773,12.05
1,29048,3,3.8595066773,12.05
1,29048,10,3.8595066773,12.05
1,31046,10,3.8595066773,12.08
1,31049,2,3.8595066773,12.2533333333333
1,32046,8,3.8595066773,12.05
1,32048,2,3.8595066773,12.1833333333333
1,32049,2,3.8595066773,12.2533333333333
1,32053,5,3.8595066773,12.02
1,32053,6,3.8595066773,12.02
1,32053,9,3.8595066773,11.88
1,32053,10,3.8595066773,11.88
1,32058,8,3.8595066773,11.77
1,33046,9,3.8595066773,12.05
1,33052,6,3.8595066773,12.02
1,33054,8,3.8595066773,11.88
1,33056,2,3.8595066773,11.95
1,33056,6,3.8595066773,11.95
1,33056,7,3.8595066773,11.95
1,34047,4,3.8595066773,11.9933333333333
1,34047,5,3.8595066773,11.9933333333333
1,34047,6,3.8595066773,11.9933333333333
1,34047,7,3.8595066773,11.9933333333333
1,34047,8,3.8595066773,11.9933333333333
1,34047,9,3.8595066773,11.9933333333333
1,34054,4,3.8595066773,11.8866666666667
1,34054,6,3.8595066773,11.8866666666667
1,34054,7,3.8595066773,11.8866666666667
1,34054,8,3.8595066773,11.8866666666667
1,34054,9,3.8595066773,11.8866666666667
1,34055,8,3.8595066773,11.7066666666667
1,34056,2,3.8595066773,11.75
1,34056,5,3.8595066773,11.75
1,34083,5,3.8595066773,11.94
1,34083,7,3.8595066773,11.94
1,35045,3,3.8595066773,12.03
1,35045,4,3.8595066773,12.03
1,35047,5,3.8595066773,11.94
1,35047,6,3.8595066773,11.94
1,35047,7,3.8595066773,11.94
1,35052,10,3.8595066773,12.1233333333333
1,35054,2,3.8595066773,11.6633333333333
1,35054,6,3.8595066773,11.6633333333333
1,35056,2,3.8595066773,11.5166666666667
1,35057,7,3.8595066773,11.5166666666667
1,35083,4,3.8595066773,12.0066666666667
1,35083,5,3.8595066773,12.0066666666667
1,35086,4,3.8595066773,11.74
1,35086,9,3.8595066773,11.74
1,35086,10,3.8595066773,11.74
1,36046,2,3.8595066773,11.94
1,36046,7,3.8595066773,11.94
1,36046,8,3.8595066773,11.94
1,36046,9,3.8595066773,11.94
1,36046,10,3.8595066773,11.94
1,36047,3,3.8595066773,11.94
1,36047,4,3.8595066773,11.94
1,36047,5,3.8595066773,11.94
1,36047,6,3.8595066773,11.94
1,36051,3,3.8595066773,12.13
1,36055,2,3.8595066773,11.55
1,36055,5,3.8595066773,11.55
1,36055,8,3.8595066773,11.55
1,36055,9,3.8595066773,11.55
1,36057,7,3.8595066773,11.5166666666667
1,36084,7,3.8595066773,11.8033333333333
1,36086,3,3.8595066773,11.74
1,36086,8,3.8595066773,11.74
1,36086,9,3.8595066773,11.74
1,37046,1,3.8595066773,11.9866666666667
1,37046,2,3.8595066773,11.9866666666667
1,37046,4,3.8595066773,11.9866666666667
1,37046,5,3.8595066773,11.9866666666667
1,37046,8,3.8595066773,11.9866666666667
1,37046,11,3.8595066773,11.9866666666667
1,37047,2,3.8595066773,11.9866666666667
1,37047,3,3.8595066773,11.9866666666667
1,37047,4,3.8595066773,11.9866666666667
1,37048,4,3.8595066773,11.98
1,37049,3,3.8595066773,11.82
1,37052,5,3.8595066773,11.72
1,37055,9,3.8595066773,11.29
1,37056,2,3.8595066773,11.45
1,37057,3,3.8595066773,11.45
1,37057,4,3.8595066773,11.45
1,37057,9,3.8595066773,11.45
1,37083,2,3.8595066773,12.0033333333333
1,37083,3,3.8595066773,12.0033333333333
1,37084,4,3.8595066773,11.73
1,37085,3,3.8595066773,11.62
1,37085,4,3.8595066773,11.62
1,37086,2,3.8595066773,11.4833333333333
1,37086,5,3.8595066773,11.4833333333333
