region peat_type year roll_T
south 1 1989 10.99090168
south 1 1990 10.96426177
south 1 1991 10.93139537
south 1 1992 10.95845999
south 1 1993 10.87832372
south 1 1994 10.8752759
south 1 1995 10.91714823
south 1 1996 10.91148692
south 1 1997 10.90332455
south 1 1998 10.92960371
south 1 1999 10.95663406
south 1 2000 10.9677389
south 1 2001 11.019026
south 1 2002 11.00802901
south 1 2003 11.0326624
south 1 2004 11.04340649
south 1 2005 11.0651229
south 1 2006 11.17890979
south 1 2007 11.23777945
south 1 2008 11.25958825
south 1 2009 11.26830365
south 1 2010 11.31211688
south 1 2011 11.3728919
south 1 2012 11.40850013
south 1 2013 11.44750648
south 1 2014 11.46288437
south 1 2015 11.47308962
south 1 2016 11.51182761
south 1 2017 11.52893529
south 1 2018 11.57234721
south 1 2019 11.56271048
south 1 2020 11.62242329
south 1 2021 11.68696263
south 2 1989 10.84265395
south 2 1990 10.81475606
south 2 1991 10.78003384
south 2 1992 10.80564964
south 2 1993 10.72503254
south 2 1994 10.72091087
south 2 1995 10.7613504
south 2 1996 10.75559739
south 2 1997 10.74732095
south 2 1998 10.77500279
south 2 1999 10.80028001
south 2 2000 10.81116968
south 2 2001 10.86205526
south 2 2002 10.85062993
south 2 2003 10.87648241
south 2 2004 10.88611799
south 2 2005 10.90920999
south 2 2006 11.02218931
south 2 2007 11.08046092
south 2 2008 11.10038097
south 2 2009 11.10824874
south 2 2010 11.15031124
south 2 2011 11.21056225
south 2 2012 11.24600327
south 2 2013 11.28534341
south 2 2014 11.29960602
south 2 2015 11.309186
south 2 2016 11.3469833
south 2 2017 11.3624656
south 2 2018 11.4052696
south 2 2019 11.39511081
south 2 2020 11.45423007
south 2 2021 11.51832906
south 4 1989 10.64754784
south 4 1990 10.61903747
south 4 1991 10.58250525
south 4 1992 10.60566497
south 4 1993 10.52463703
south 4 1994 10.51930677
south 4 1995 10.55687318
south 4 1996 10.55024366
south 4 1997 10.54244348
south 4 1998 10.57116885
south 4 1999 10.59208293
south 4 2000 10.60262334
south 4 2001 10.65209726
south 4 2002 10.64028686
south 4 2003 10.66806787
south 4 2004 10.67647408
south 4 2005 10.70117813
south 4 2006 10.81184855
south 4 2007 10.86807292
south 4 2008 10.88429829
south 4 2009 10.89019239
south 4 2010 10.92841408
south 4 2011 10.98862726
south 4 2012 11.02249071
south 4 2013 11.06155483
south 4 2014 11.07416828
south 4 2015 11.08201227
south 4 2016 11.1173278
south 4 2017 11.12943455
south 4 2018 11.17058967
south 4 2019 11.15995296
south 4 2020 11.21665516
south 4 2021 11.27942143
south 6 1989 10.61837734
south 6 1990 10.59043477
south 6 1991 10.55408052
south 6 1992 10.57723533
south 6 1993 10.49715137
south 6 1994 10.49175031
south 6 1995 10.52924782
south 6 1996 10.52238015
south 6 1997 10.5153068
south 6 1998 10.54403277
south 6 1999 10.56370225
south 6 2000 10.57377996
south 6 2001 10.62241199
south 6 2002 10.61085206
south 6 2003 10.63868945
south 6 2004 10.64675437
south 6 2005 10.67164607
south 6 2006 10.78149095
south 6 2007 10.83700905
south 6 2008 10.85257054
south 6 2009 10.85830119
south 6 2010 10.89540012
south 6 2011 10.9557681
south 6 2012 10.98879494
south 6 2013 11.02809769
south 6 2014 11.04051592
south 6 2015 11.04804931
south 6 2016 11.08284145
south 6 2017 11.0943583
south 6 2018 11.13474719
south 6 2019 11.12403652
south 6 2020 11.17957709
south 6 2021 11.24117072
south 7 1989 10.54547491
south 7 1990 10.51808244
south 7 1991 10.47980287
south 7 1992 10.50138889
south 7 1993 10.42289427
south 7 1994 10.41767025
south 7 1995 10.45230287
south 7 1996 10.44522401
south 7 1997 10.44050179
south 7 1998 10.46799283
south 7 1999 10.48386201
south 7 2000 10.49379928
south 7 2001 10.54155914
south 7 2002 10.53322581
south 7 2003 10.56363799
south 7 2004 10.57219534
south 7 2005 10.59804659
south 7 2006 10.70664875
south 7 2007 10.76196237
south 7 2008 10.77671147
south 7 2009 10.78202509
south 7 2010 10.81506272
south 7 2011 10.87677419
south 7 2012 10.90836022
south 7 2013 10.94830645
south 7 2014 10.96203405
south 7 2015 10.9693638
south 7 2016 11.00327957
south 7 2017 11.01560036
south 7 2018 11.05702509
south 7 2019 11.04930108
south 7 2020 11.10371864
south 7 2021 11.16594086
north 1 1989 9.453658142
north 1 1990 9.420263081
north 1 1991 9.370392416
north 1 1992 9.378087889
north 1 1993 9.295568783
north 1 1994 9.287001764
north 1 1995 9.318417108
north 1 1996 9.32393592
north 1 1997 9.314406232
north 1 1998 9.36803351
north 1 1999 9.388234862
north 1 2000 9.406283069
north 1 2001 9.460132275
north 1 2002 9.449495885
north 1 2003 9.490962669
north 1 2004 9.490083774
north 1 2005 9.539021164
north 1 2006 9.634792769
north 1 2007 9.70281746
north 1 2008 9.71010876
north 1 2009 9.722278072
north 1 2010 9.751043504
north 1 2011 9.820848031
north 1 2012 9.852682246
north 1 2013 9.900117578
north 1 2014 9.912160494
north 1 2015 9.924879483
north 1 2016 9.969935332
north 1 2017 9.967247208
north 1 2018 10.00084068
north 1 2019 9.983231922
north 1 2020 10.03330982
north 1 2021 10.08601264
north 2 1989 9.547719061
north 2 1990 9.512639767
north 2 1991 9.464207066
north 2 1992 9.474417846
north 2 1993 9.392088728
north 2 1994 9.383355917
north 2 1995 9.416024792
north 2 1996 9.419398775
north 2 1997 9.408354913
north 2 1998 9.459368162
north 2 1999 9.481004717
north 2 2000 9.499771655
north 2 2001 9.554400281
north 2 2002 9.543264077
north 2 2003 9.584477567
north 2 2004 9.584388236
north 2 2005 9.632332129
north 2 2006 9.733256549
north 2 2007 9.800486801
north 2 2008 9.808828164
north 2 2009 9.820213791
north 2 2010 9.851060424
north 2 2011 9.918579243
north 2 2012 9.951947707
north 2 2013 9.997907759
north 2 2014 10.00700542
north 2 2015 10.01988257
north 2 2016 10.06393707
north 2 2017 10.06089883
north 2 2018 10.09447857
north 2 2019 10.0760012
north 2 2020 10.12792281
north 2 2021 10.18192111
north 4 1989 9.343578956
north 4 1990 9.306444289
north 4 1991 9.254776073
north 4 1992 9.263904386
north 4 1993 9.179789245
north 4 1994 9.169974947
north 4 1995 9.201339429
north 4 1996 9.205595847
north 4 1997 9.195219536
north 4 1998 9.250331112
north 4 1999 9.273900511
north 4 2000 9.292397335
north 4 2001 9.347883672
north 4 2002 9.337465262
north 4 2003 9.380461026
north 4 2004 9.378836458
north 4 2005 9.428830002
north 4 2006 9.52706958
north 4 2007 9.595452503
north 4 2008 9.604141485
north 4 2009 9.616779534
north 4 2010 9.647346196
north 4 2011 9.715692443
north 4 2012 9.749716928
north 4 2013 9.797086626
north 4 2014 9.807005011
north 4 2015 9.820404721
north 4 2016 9.867427295
north 4 2017 9.862844672
north 4 2018 9.896139005
north 4 2019 9.8766677
north 4 2020 9.930277907
north 4 2021 9.98468955
north 6 1989 9.344602139
north 6 1990 9.307697571
north 6 1991 9.256204006
north 6 1992 9.265634856
north 6 1993 9.180886804
north 6 1994 9.170917165
north 6 1995 9.201930397
north 6 1996 9.206638572
north 6 1997 9.19690638
north 6 1998 9.251477705
north 6 1999 9.274354269
north 6 2000 9.291974805
north 6 2001 9.347069059
north 6 2002 9.336688871
north 6 2003 9.379561809
north 6 2004 9.377693493
north 6 2005 9.426812126
north 6 2006 9.524421787
north 6 2007 9.592317383
north 6 2008 9.600408737
north 6 2009 9.613128512
north 6 2010 9.643512326
north 6 2011 9.71148994
north 6 2012 9.745552837
north 6 2013 9.792978521
north 6 2014 9.802951785
north 6 2015 9.815905383
north 6 2016 9.862772793
north 6 2017 9.8587176
north 6 2018 9.892187783
north 6 2019 9.872953598
north 6 2020 9.926258383
north 6 2021 9.980820192
north 7 1989 9.755426357
north 7 1990 9.718423773
north 7 1991 9.670465116
north 7 1992 9.680116279
north 7 1993 9.597609819
north 7 1994 9.589043928
north 7 1995 9.621937984
north 7 1996 9.621498708
north 7 1997 9.609186047
north 7 1998 9.654211886
north 7 1999 9.6725323
north 7 2000 9.692093023
north 7 2001 9.747790698
north 7 2002 9.738488372
north 7 2003 9.779935401
north 7 2004 9.783410853
north 7 2005 9.830529716
north 7 2006 9.939328165
north 7 2007 10.00826873
north 7 2008 10.01786822
north 7 2009 10.02925065
north 7 2010 10.06373385
north 7 2011 10.1320155
north 7 2012 10.16625323
north 7 2013 10.21161499
north 7 2014 10.21928941
north 7 2015 10.23054264
north 7 2016 10.26852713
north 7 2017 10.26763566
north 7 2018 10.30299742
north 7 2019 10.28797158
north 7 2020 10.33666667
north 7 2021 10.39046512
