region peat_type year roll_T
north 1 1990 9.29870909136752
north 1 1991 9.24656951547875
north 1 1992 9.25228017421492
north 1 1993 9.16903182767492
north 1 1994 9.15987936374154
north 1 1995 9.18991059908118
north 1 1996 9.19632115329365
north 1 1997 9.18781028001427
north 1 1998 9.2435606046912
north 1 1999 9.26272573098004
north 1 2000 9.28004193232562
north 1 2001 9.33346000312993
north 1 2002 9.32370560133933
north 1 2003 9.36557270063233
north 1 2004 9.36356289804784
north 1 2005 9.41352142877819
north 1 2006 9.50498678057467
north 1 2007 9.5737393871829
north 1 2008 9.58071908271985
north 1 2009 9.59399467513458
north 1 2010 9.62176536829488
north 1 2011 9.69353014299201
north 1 2012 9.72475981278351
north 1 2013 9.77358509707468
north 1 2014 9.78772305839764
north 1 2015 9.80049907902792
north 1 2016 9.84696299247799
north 2 1990 9.40462972738152
north 2 1991 9.35418250990594
north 2 1992 9.36274632491429
north 2 1993 9.27983477532126
north 2 1994 9.27078554374309
north 2 1995 9.30256059496036
north 2 1996 9.30676166502374
north 2 1997 9.29648241457871
north 2 1998 9.34961874425369
north 2 1999 9.37061444732199
north 2 2000 9.38898716073084
north 2 2001 9.44356628678758
north 2 2002 9.43333710562835
north 2 2003 9.47537211031287
north 2 2004 9.47448125991221
north 2 2005 9.52379555820511
north 2 2006 9.62183346602261
north 2 2007 9.68994306334484
north 2 2008 9.6980718567644
north 2 2009 9.7101942658909
north 2 2010 9.74016862375062
north 2 2011 9.80933339882238
north 2 2012 9.84226560963736
north 2 2013 9.8895205539647
north 2 2014 9.90048099254144
north 2 2015 9.91352887331126
north 2 2016 9.95881392884096
north 4 1990 9.16736344148437
north 4 1991 9.11341074957199
north 4 1992 9.12084516913467
north 4 1993 9.03602603189936
north 4 1994 9.02592897297528
north 4 1995 9.0564607360248
north 4 1996 9.06193335052945
north 4 1997 9.05280999673636
north 4 1998 9.11046365218392
north 4 1999 9.13351286531816
north 4 2000 9.15155462768166
north 4 2001 9.20695978515024
north 4 2002 9.19791196774427
north 4 2003 9.24209126985551
north 4 2004 9.23957288988722
north 4 2005 9.29119208398402
north 4 2006 9.3861723023948
north 4 2007 9.45569694319474
north 4 2008 9.46405872741138
north 4 2009 9.47759804641888
north 4 2010 9.50710634509474
north 4 2011 9.57732126333749
north 4 2012 9.61094620563771
north 4 2013 9.65987379584726
north 4 2014 9.67200555067424
north 4 2015 9.68566115095696
north 4 2016 9.73408447751703
north 6 1990 9.14410179998211
north 6 1991 9.09003224928796
north 6 1992 9.0975566368238
north 6 1993 9.01198904487505
north 6 1994 9.00174899277141
north 6 1995 9.03180151388829
north 6 1996 9.03804335058359
north 6 1997 9.02991226962348
north 6 1998 9.0875374837002
north 6 1999 9.10992497380029
north 6 2000 9.12709449159482
north 6 2001 9.1820514563796
north 6 2002 9.17323365029074
north 6 2003 9.21748085175967
north 6 2004 9.21460326205529
north 6 2005 9.26547302159566
north 6 2006 9.35932677187471
north 6 2007 9.42840728929736
north 6 2008 9.43594254435888
north 6 2009 9.44955756082932
north 6 2010 9.47842922332207
north 6 2011 9.54835259530198
north 6 2012 9.58190074888712
north 6 2013 9.63107239876297
north 6 2014 9.64349225322623
north 6 2015 9.65657466159801
north 6 2016 9.70481955198796
north 7 1990 9.65766947538803
north 7 1991 9.60895322228153
north 7 1992 9.61816568537148
north 7 1993 9.53512576965593
north 7 1994 9.52616000768676
north 7 1995 9.55844964018141
north 7 1996 9.55807317245118
north 7 1997 9.54618839611033
north 7 1998 9.59201061798456
north 7 1999 9.61040743075167
north 7 2000 9.62955597236791
north 7 2001 9.68512784882031
north 7 2002 9.6762491037961
north 7 2003 9.71793986952233
north 7 2004 9.72089332984129
north 7 2005 9.76833413977151
north 7 2006 9.87624762217399
north 7 2007 9.94541789714783
north 7 2008 9.95512841036868
north 7 2009 9.96693554905786
north 7 2010 10.001031400168
north 7 2011 10.069423720548
north 7 2012 10.10365374714
north 7 2013 10.1492834875424
north 7 2014 10.1570405715448
north 7 2015 10.1682390221324
north 7 2016 10.2067467118871
south 1 1990 10.9437482538357
south 1 1991 10.9106421208263
south 1 1992 10.9373172884877
south 1 1993 10.8572992998977
south 1 1994 10.8540411809859
south 1 1995 10.8955858805387
south 1 1996 10.8897023914954
south 1 1997 10.8813192019928
south 1 1998 10.9077288774929
south 1 1999 10.9337575419899
south 1 2000 10.9443458929563
south 1 2001 10.9950092217301
south 1 2002 10.9837620527365
south 1 2003 11.008803822157
south 1 2004 11.0189656864901
south 1 2005 11.0410082495285
south 1 2006 11.1542859981019
south 1 2007 11.2126761848613
south 1 2008 11.2335373241625
south 1 2009 11.2417649866295
south 1 2010 11.2847292066871
south 1 2011 11.3454376799592
south 1 2012 11.3805641825956
south 1 2013 11.4196181450389
south 1 2014 11.4344851995558
south 1 2015 11.4441707057225
south 1 2016 11.4824900838245
south 2 1990 10.7967681426375
south 2 1991 10.7618750840109
south 2 1992 10.7872194966221
south 2 1993 10.7067248566403
south 2 1994 10.7026897560995
south 2 1995 10.7430430139842
south 2 1996 10.7373595546333
south 2 1997 10.7288434319377
south 2 1998 10.7567482251477
south 2 1999 10.7817040233121
south 2 2000 10.7922363307792
south 2 2001 10.8427195462972
south 2 2002 10.8309404198435
south 2 2003 10.8570381903523
south 2 2004 10.8660098878045
south 2 2005 10.8893457023365
south 2 2006 11.0018371970148
south 2 2007 11.0597020577065
south 2 2008 11.0787224780164
south 2 2009 11.0862706210643
south 2 2010 11.1278821044207
south 2 2011 11.1878481414479
south 2 2012 11.2229422914744
south 2 2013 11.2622856163104
south 2 2014 11.2758574139561
south 2 2015 11.2851564251695
south 2 2016 11.3227315541208
south 4 1990 10.5806965645631
south 4 1991 10.543972145545
south 4 1992 10.5667935685756
south 4 1993 10.485783252007
south 4 1994 10.4804941626121
south 4 1995 10.5182495514386
south 4 1996 10.512236620786
south 4 1997 10.5040537330061
south 4 1998 10.5336736360361
south 4 1999 10.554752498155
south 4 2000 10.5650329293419
south 4 2001 10.6141983144649
south 4 2002 10.6019049378673
south 4 2003 10.6303854925999
south 4 2004 10.6379395116019
south 4 2005 10.6633777231969
south 4 2006 10.7739249607764
south 4 2007 10.8298655779614
south 4 2008 10.8449519673086
south 4 2009 10.8505600097605
south 4 2010 10.8886590162249
south 4 2011 10.9484969136098
south 4 2012 10.9824140164344
south 4 2013 11.021858423155
south 4 2014 11.0336019556838
south 4 2015 11.041309867955
south 4 2016 11.0765848452906
south 6 1990 10.5483210823236
south 6 1991 10.5118216075716
south 6 1992 10.5346554415717
south 6 1993 10.4546617434203
south 6 1994 10.4493197441068
south 6 1995 10.4871108843483
south 6 1996 10.4808681245851
south 6 1997 10.4732123290916
south 6 1998 10.5030441645143
south 6 1999 10.5234159425483
south 6 2000 10.5334108696804
south 6 2001 10.5820178201761
south 6 2002 10.5699781144188
south 6 2003 10.5987034577574
south 6 2004 10.6058628604759
south 6 2005 10.6315955892783
south 6 2006 10.7413139400803
south 6 2007 10.7965422976262
south 6 2008 10.8110008369447
south 6 2009 10.8165077768913
south 6 2010 10.8538020956839
south 6 2011 10.9136020995495
south 6 2012 10.9469351078422
south 6 2013 10.9866929457663
south 6 2014 10.9981170823201
south 6 2015 11.0057737712614
south 6 2016 11.0407015277941
south 7 1990 10.4810027365356
south 7 1991 10.4429079336626
south 7 1992 10.4644993180423
south 7 1993 10.3856930114553
south 7 1994 10.380178235026
south 7 1995 10.4157976681248
south 7 1996 10.409860938063
south 7 1997 10.4043372341177
south 7 1998 10.4340009519974
south 7 1999 10.4516372670398
south 7 2000 10.4617141597662
south 7 2001 10.5096927695574
south 7 2002 10.50028690741
south 7 2003 10.5316731087721
south 7 2004 10.5392292931479
south 7 2005 10.566025185141
south 7 2006 10.6749966563319
south 7 2007 10.7301637117737
south 7 2008 10.7433346381296
south 7 2009 10.7481433029603
south 7 2010 10.7822832998329
south 7 2011 10.8428527288292
south 7 2012 10.8754978055957
south 7 2013 10.9160163892936
south 7 2014 10.9287226749911
south 7 2015 10.9362246529905
south 7 2016 10.9704688518113
