vmi;muoto11;fra;tkg;keskivuosi;ala;laji1;keskippa;biom1;biom2;biom3;biom4;biom5;biom6;biom7;biom8;biom9
8;1;1;1;1989.980365;1911.988855;1;2.12329729;5.078183209;0.429095017;1.165795023;0.488448048;0.275768443;0.504144809;1.486187373;6.617516232;1.990332182
8;1;1;1;1989.980365;1911.988855;2;5.900856621;14.68243016;1.8255217;5.242846158;3.661292487;0.606209738;1.548278204;6.046544532;27.15859324;7.594822736
8;1;1;1;1989.980365;1911.988855;3;7.473669429;17.76159368;3.274772811;4.430989349;1.400212574;0.317042123;1.968334927;6.570106618;27.72215898;8.518022078
8;1;1;2;1990.013962;3073.126547;1;4.139498296;10.40641811;0.923257182;2.12283832;0.917238366;0.437902212;0.976599978;2.819024364;13.01467303;3.795624342
8;1;1;2;1990.013962;3073.126547;2;7.814002273;18.46809969;2.322798614;6.519962631;4.665866611;0.799139171;1.883213491;7.661363971;33.74129005;9.544577462
8;1;1;2;1990.013962;3073.126547;3;6.228476532;14.50427919;2.776795449;3.623547035;1.103980284;0.138455187;1.832118225;6.099909087;22.63222224;7.906426852
8;1;1;4;1990.202981;6116.755369;1;8.805230135;18.22224949;2.069274851;4.158423366;1.996804496;0.782687764;1.777067061;4.806349926;23.47242426;6.583416987
8;1;1;4;1990.202981;6116.755369;2;1.113597473;2.058346864;0.295382753;0.868336783;0.690878491;0.096043718;0.234100283;1.014295643;4.090214485;1.248395926
8;1;1;4;1990.202981;6116.755369;3;2.875696547;5.801485854;1.171884212;1.623157976;0.591792717;0.074444072;0.841553862;2.664275944;9.402265696;3.484156605
8;1;1;6;1990.171086;3134.803607;1;7.204448246;11.75510843;1.851269777;3.597983691;1.835769136;0.608959873;1.337734375;3.433336112;16.4029716;4.771070487
8;1;1;6;1990.171086;3134.803607;2;0.114627887;0.148919706;0.026884308;0.07784569;0.069193997;0.009389907;0.021114114;0.099153752;0.337039358;0.120267867
8;1;1;6;1990.171086;3134.803607;3;0.561163388;0.893062127;0.203913186;0.30517401;0.114119457;0.041805357;0.180257394;0.508581638;1.5795336;0.685333579
8;1;1;7;1990.621622;297.658854;1;4.576576577;6.23993216;1.241426931;2.054677481;1.169962428;0.516108259;0.756036013;1.849013865;9.331230697;2.605049878
8;1;1;7;1990.621622;297.658854;2;0.018018018;0.038966024;0.007752243;0.012830686;0.007305974;0.003222902;0.00472116;0.011546394;0.058270017;0.016267554
8;1;1;7;1990.621622;297.658854;3;0.198198198;0.293679865;0.06259751;0.111434835;0.072268444;0.008902074;0.042167169;0.122450335;0.536031371;0.16363148
8;1;2;2;1990;5.363222595;1;3;3.537248209;0.728138666;1.6380093;0.673964327;0.563661421;0.507877751;1.208884455;5.053148181;1.716762207
8;1;2;2;1990;5.363222595;2;0;0;0;0;0;0;0;0;0;0
8;1;2;2;1990;5.363222595;3;0;0;0;0;0;0;0;0;0;0
8;1;2;4;1990.5;21.45289038;1;0.25;0.270945139;0.06854502;0.118376105;0.069982521;0.02667096;0.037861175;0.09141146;0.432461585;0.129272635
8;1;2;4;1990.5;21.45289038;2;0;0;0;0;0;0;0;0;0;0
8;1;2;4;1990.5;21.45289038;3;1.75;2.141875003;0.655777668;0.855383094;0.291455332;0.029819692;0.976190981;3.367729364;4.468316368;4.363326796
8;1;2;6;1989.789474;254.7530733;1;2.610526316;2.98189984;0.762790898;1.358150445;0.912796346;0.27585271;0.411128671;0.979706529;4.959415481;1.3908352
8;1;2;6;1989.789474;254.7530733;2;0;0;0;0;0;0;0;0;0;0
8;1;2;6;1989.789474;254.7530733;3;0.315789474;0.42652381;0.130802776;0.159412343;0.05149539;0.005495787;0.205411597;0.730514686;0.880654537;0.94106275
8;1;2;7;1990.294737;254.7530733;1;2.505263158;2.892820079;0.734427048;1.121885325;0.670985485;0.241037146;0.389767217;0.930342953;4.484232504;1.32011017
8;1;2;7;1990.294737;254.7530733;2;0;0;0;0;0;0;0;0;0;0
8;1;2;7;1990.294737;254.7530733;3;0.042105263;0.041274347;0.010478701;0.016006901;0.009573526;0.003439084;0.005561144;0.013274002;0.063980394;0.018835145
8;1;3;1;1988.5;5.363222595;1;0;0;0;0;0;0;0;0;0;0
8;1;3;1;1988.5;5.363222595;2;0;0;0;0;0;0;0;0;0;0
8;1;3;1;1988.5;5.363222595;3;0;0;0;0;0;0;0;0;0;0
8;1;3;4;1990.333333;16.08966778;1;0;0;0;0;0;0;0;0;0;0
8;1;3;4;1990.333333;16.08966778;2;0;0;0;0;0;0;0;0;0;0
8;1;3;4;1990.333333;16.08966778;3;0;0;0;0;0;0;0;0;0;0
8;1;3;6;1990.391304;61.67705984;1;0.086956522;0.08253127;0.020879162;0.036057965;0.021317032;0.00812411;0.011532707;0.027844397;0.131730002;0.039377103
8;1;3;6;1990.391304;61.67705984;2;0;0;0;0;0;0;0;0;0;0
8;1;3;6;1990.391304;61.67705984;3;0;0;0;0;0;0;0;0;0;0
8;1;3;7;1990.385475;480.0084222;1;1.407821229;1.565713406;0.416167588;0.638673779;0.439291853;0.146679736;0.21212935;0.50051539;2.590308477;0.71264474
8;1;3;7;1990.385475;480.0084222;2;0;0;0;0;0;0;0;0;0;0
8;1;3;7;1990.385475;480.0084222;3;0.122905028;0.122133879;0.03246326;0.049819913;0.034267075;0.011441791;0.016547205;0.039042833;0.202057683;0.055590037
8;2;1;1;1987.002963;1780.850823;1;2.724577527;7.86766434;0.579372246;1.338283758;0.507823483;0.413648626;0.690933396;2.101154017;9.261555059;2.792087413
8;2;1;1;1987.002963;1780.850823;2;8.381262971;22.51361572;2.603056212;7.228335502;5.112646871;0.833120561;2.22184153;8.510227765;40.20328025;10.7320693
8;2;1;1;1987.002963;1780.850823;3;7.67269493;20.40630204;3.566306256;4.923717553;1.354398946;0.135939336;2.258554358;7.346020058;31.51283771;9.582023226
8;2;1;2;1986.98767;2139.659285;1;4.3606233;12.20306906;0.948291561;1.989538515;0.739843225;0.601183957;1.103325369;3.396139678;14.30552035;4.499465047
8;2;1;2;1986.98767;2139.659285;2;9.369280237;22.76079627;2.791760258;7.735284844;5.625272636;0.920084681;2.238127388;8.983635928;41.13244306;11.22176332
8;2;1;2;1986.98767;2139.659285;3;6.054909721;15.54867101;2.809982137;3.485336982;0.946741193;0.08751662;1.515161974;5.29396349;23.33346656;6.796968819
8;2;1;4;1986.956009;2458.893285;1;9.721475428;21.95310688;2.201338995;4.715871516;2.161019104;1.075058846;2.123909054;5.998354255;27.94060586;8.122263309
8;2;1;4;1986.956009;2458.893285;2;1.462522852;2.804202288;0.416185049;1.248790141;1.029620555;0.135584903;0.334898844;1.451730841;5.75998908;1.786629685
8;2;1;4;1986.956009;2458.893285;3;3.247661039;7.00633476;1.369418116;1.855897175;0.622747091;0.065272409;0.950851763;3.200771841;11.17294506;4.140628824
8;2;1;6;1986.970703;1350.808328;1;7.4296875;13.05786368;1.822759311;3.618114539;1.824595024;0.676383931;1.424480708;3.763786846;17.83893233;5.188267554
8;2;1;6;1986.970703;1350.808328;2;0.0703125;0.110020029;0.01983118;0.057854002;0.052107847;0.007233141;0.01701099;0.082107629;0.263079834;0.09911862
8;2;1;6;1986.970703;1350.808328;3;0.84375;1.588176784;0.321350552;0.473743291;0.184494315;0.032514168;0.225220443;0.7204329;2.653100397;0.940766242
8;2;1;7;1986.608696;60.68084286;1;5.043478261;7.386417933;1.527797115;2.943143532;1.668473532;0.501085824;0.900627708;2.113877632;10.83304888;3.014505341
8;2;1;7;1986.608696;60.68084286;2;0.173913044;0.168921679;0.034695624;0.086308575;0.095635509;0.013746817;0.027684903;0.135874327;0.425089141;0.16355923
8;2;1;7;1986.608696;60.68084286;3;0.173913044;0.266286257;0.054693796;0.136055878;0.150758754;0.02167033;0.043642174;0.214190779;0.670105799;0.257832953
8;2;2;4;1987;2.638297516;1;0;0;0;0;0;0;0;0;0;0
8;2;2;4;1987;2.638297516;2;0;0;0;0;0;0;0;0;0;0
8;2;2;4;1987;2.638297516;3;0;0;0;0;0;0;0;0;0;0
