region year lognat_mortality
south 1990 0.447282521
south 1991 0.445301337
south 1992 0.443711519
south 1993 0.446209629
south 1994 0.453891202
south 1995 0.465741232
south 1996 0.474087785
south 1997 0.480668499
south 1998 0.493037064
south 1999 0.505765158
south 2000 0.518568286
south 2001 0.527291954
south 2002 0.531999126
south 2003 0.537989224
south 2004 0.541298757
south 2005 0.546009724
south 2006 0.551339156
south 2007 0.5575205
south 2008 0.567525803
south 2009 0.564591864
south 2010 0.564763441
south 2011 0.57237422
south 2012 0.579812943
south 2013 0.588089745
south 2014 0.599567463
south 2015 0.617394823
south 2016 0.633533307
south 2017 0.652713609
south 2018 0.669673473
south 2019 0.684956693
south 2020 0.6953844
south 2021 0.702610372
north 1990 0.30644391
north 1991 0.296575683
north 1992 0.287009556
north 1993 0.280552479
north 1994 0.276266265
north 1995 0.273234566
north 1996 0.269102273
north 1997 0.264820915
north 1998 0.261986724
north 1999 0.261847909
north 2000 0.261330955
north 2001 0.260984582
north 2002 0.261467818
north 2003 0.262301002
north 2004 0.263105873
north 2005 0.266632931
north 2006 0.269073053
north 2007 0.272477855
north 2008 0.277007175
north 2009 0.27683481
north 2010 0.277746619
north 2011 0.280595543
north 2012 0.284573246
north 2013 0.289789849
north 2014 0.295473242
north 2015 0.301672334
north 2016 0.303567905
north 2017 0.306596418
north 2018 0.31281229
north 2019 0.319767322
north 2020 0.32432353
north 2021 0.329506376
