region year lognat_mortality
south 1990 0.453799294
south 1991 0.453040344
south 1992 0.452540356
south 1993 0.455932589
south 1994 0.46433478
south 1995 0.47685131
south 1996 0.485752908
south 1997 0.492963917
south 1998 0.50627099
south 1999 0.520087279
south 2000 0.534184076
south 2001 0.544294729
south 2002 0.550288788
south 2003 0.557398045
south 2004 0.561622378
south 2005 0.56716797
south 2006 0.57339001
south 2007 0.580251076
south 2008 0.591067747
south 2009 0.589630057
south 2010 0.592757402
south 2011 0.603356332
south 2012 0.613403453
south 2013 0.623937565
south 2014 0.637511872
south 2015 0.657684261
south 2016 0.676061769
north 1990 0.313139394
north 1991 0.304806482
north 1992 0.296462133
north 1993 0.290947383
north 1994 0.28741392
north 1995 0.285127565
north 1996 0.281556115
north 1997 0.27805098
north 1998 0.276157208
north 1999 0.27725694
north 2000 0.278151948
north 2001 0.279302476
north 2002 0.281231163
north 2003 0.283440781
north 2004 0.285311464
north 2005 0.289886588
north 2006 0.293290547
north 2007 0.297598904
north 2008 0.302901491
north 2009 0.304081134
north 2010 0.305011004
north 2011 0.313581071
north 2012 0.317285248
north 2013 0.324130139
north 2014 0.331366986
north 2015 0.339007504
north 2016 0.341757976
