region ipcc soil kptyy tkang ojlk apu X1990 X1991 X1992 X1993 X1994 X1995 X1996 X1997 X1998 X1999 X2000 X2001 X2002 X2003 X2004 X2005 X2006 X2007 X2008 X2009 X2010 X2011 X2012 X2013 X2014 X2015 X2016 X2017 X2018 X2019 X2020
1 1 1 NA NA NA NA 4504516 4499051 4493589 4488648 4483339 4478530 4474172 4470221 4465777 4461657 4457821 4452320 4446364 4440441 4433623 4426978 4421508 4416780 4412332 4408596 4408294 4408643 4408416 4407795 4407843 4409116 4410492 4412154 4414104 4415177 4415291
1 1 2 0 0 0 0 158009 155895 153644 151312 148960 146621 144285 141976 139640 140339 141019 141712 142399 143098 143743 144399 145065 145764 144709 143574 142358 141106 145059 148991 152970 157074 161216 161164 161149 161202 161229
1 1 2 1 1 1 111 62201 58969 55773 52615 49453 46275 43101 39917 36721 34247 31768 29291 26813 24340 21871 19403 16936 14470 13167 11856 10640 9423 8371 7253 6140 5031 3923 3922 3923 3923 3923
1 1 2 1 1 2 112 97799 97023 96553 96414 96375 96341 96286 96311 96177 97595 99099 100854 102707 104885 106881 108927 111089 113180 122823 132608 144132 155742 151824 147356 142719 138094 133537 134268 135401 136490 137454
1 1 2 1 2 1 121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 61 121 181 242 302 302 302 302 302
1 1 2 1 3 1 131 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 242 484 725 966 1207 1207 1207 1207 1207
1 1 2 1 3 2 132 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 79 159 238 317 253 190 126 63 0 0 0 0 0
1 1 2 3 2 1 321 86852 84078 81265 78414 75558 72680 69809 66922 64016 59314 54602 49895 45186 40487 35795 31108 26424 21747 18298 14839 11378 7919 8126 8330 8538 8747 8957 8955 8956 8956 8956
1 1 2 3 2 2 322 62743 67765 72773 77784 82825 87875 93038 98212 103370 107370 111354 115349 119338 123333 127405 131475 135477 139499 139334 139086 139111 139164 145329 151427 157544 163660 169699 169798 169937 170064 170164
1 1 2 3 3 1 331 52304 50634 48940 47223 45503 43770 42041 40303 38553 35910 33261 30614 27967 25324 22687 20052 17419 14790 12495 10193 7889 5587 5010 4433 3859 3287 2716 2716 2716 2716 2716
1 1 2 3 3 2 332 37845 40936 44019 47087 50156 53360 56571 59772 62955 65291 67610 69927 72232 74541 76853 79163 81471 83790 85589 87334 89101 90844 91242 91475 91580 91634 91705 91372 91218 91225 91225
1 1 2 3 5 2 352 0 0 0 0 0 0 0 0 0 75 151 226 301 376 451 526 601 676 666 655 644 634 506 379 253 126 0 0 0 0 0
1 1 2 4 4 1 441 83390 80094 76763 73396 70017 66624 63235 59833 56410 53075 49725 46380 43036 39696 36432 33170 29913 26667 23017 19361 15688 12018 10263 8513 6765 5026 3288 3286 3284 3352 3419
1 1 2 4 4 2 442 26521 30307 34090 37864 41495 45118 48748 52369 55975 59445 62899 66350 69789 73230 76672 80119 83569 87037 89701 92314 94908 97473 96906 96324 95925 95480 95054 95108 95193 95132 95132
1 1 2 4 5 1 451 55861 53655 51350 49019 46686 44338 41923 39569 37204 35559 33834 32183 30529 28880 27235 25666 24100 22542 19018 15485 11947 8410 7705 7001 6220 5442 4738 4729 4722 4795 4940
1 1 2 4 5 2 452 17775 20310 22843 25369 27825 30274 32657 35033 37400 39688 41966 44314 46654 48996 51270 53547 55827 58049 61624 65230 68822 72390 71855 71310 70866 70439 70098 70227 70377 70456 70529
1 1 2 4 6 1 461 0 0 0 0 0 0 0 0 0 316 632 948 1263 1579 1893 2208 2523 2838 2525 2211 1897 1584 1266 948 632 316 0 0 0 0 0
1 1 2 4 6 2 462 0 0 0 0 0 0 0 0 0 75 151 226 301 376 451 526 601 676 1167 1657 2147 2635 2712 2787 2864 2941 3018 3017 3018 3018 3018
1 1 2 5 6 1 561 110667 106824 103003 99133 95268 91453 87660 83785 79970 77134 74283 71434 68652 65879 63045 60236 57449 54693 47815 40998 34278 27559 25943 24326 22630 20863 19091 19163 19157 19231 19304
1 1 2 5 6 2 562 14275 17276 20277 23274 26273 29267 32266 35259 38242 40652 42979 45230 47474 49719 51897 54149 56477 58817 61409 64034 66656 69257 72127 74979 77854 80674 83357 83040 82668 82148 81681
1 1 2 5 7 1 571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 397 793 1189 1584 1326 1069 813 557 302 302 302 302 302
