region peat_type year area proportional_area
north 1 1990 242211 0.121288828063618
north 1 1991 241812 0.121145079815015
north 1 1992 241358 0.120978785430296
north 1 1993 240830 0.120785873023117
north 1 1994 233994 0.116899272208434
north 1 1995 227306 0.113114856072236
north 1 1996 220674 0.109384967931607
north 1 1997 214109 0.105718587074434
north 1 1998 207658 0.102119067277964
north 1 1999 201200 0.0985423374516716
north 1 2000 194804 0.0950247190901619
north 1 2001 188251 0.0914663891350654
north 1 2002 200288 0.0967038103004661
north 1 2003 212315 0.101863593031161
north 1 2004 224322 0.106944564955181
north 1 2005 236286 0.111943565350869
north 1 2006 248454 0.116957175862725
north 1 2007 260339 0.121746868983423
north 1 2008 246021 0.11589697544136
north 1 2009 231746 0.109964393223324
north 1 2010 217639 0.103970373753331
north 1 2011 203595 0.0979288218911886
north 1 2012 195137 0.0937256994593182
north 1 2013 186730 0.0895808796897075
north 1 2014 178242 0.0854247152821011
north 1 2015 169492 0.0811531084304583
north 1 2016 160582 0.0768094209709397
north 1 2017 160902 0.0769443387077337
north 1 2018 161136 0.0770270657858256
north 1 2019 161332 0.0770902091917455
north 1 2020 161584 0.0771938406974122
north 1 2021 161999 0.0773793090271641
north 2 1990 356835 0.178687586286672
north 2 1991 356510 0.178607481865461
north 2 1992 356210 0.178547440557702
north 2 1993 355860 0.178478016750432
north 2 1994 376682 0.18818367844482
north 2 1995 396638 0.197379964817381
north 2 1996 416709 0.206556733470242
north 2 1997 436768 0.215658827229712
north 2 1998 456987 0.224730500140399
north 2 1999 477278 0.233757901263712
north 2 2000 497400 0.242630003877983
north 2 2001 517393 0.251388143881089
north 2 2002 514627 0.248474156132659
north 2 2003 511908 0.245601055890519
north 2 2004 509175 0.242747028205233
north 2 2005 506530 0.239975174818549
north 2 2006 503979 0.237242952555081
north 2 2007 501003 0.234292774426045
north 2 2008 496533 0.233909596769483
north 2 2009 492086 0.233496752494942
north 2 2010 487484 0.232880566804521
north 2 2011 483126 0.232382720621834
north 2 2012 478489 0.229821695570751
north 2 2013 473946 0.227368390753591
north 2 2014 469408 0.224969674662204
north 2 2015 464610 0.222456196799113
north 2 2016 459520 0.219797144913915
north 2 2017 459538 0.219753934202648
north 2 2018 459482 0.219643966844173
north 2 2019 459527 0.219578462792597
north 2 2020 459782 0.219652555101604
north 2 2021 460163 0.219798239371027
north 4 1990 1029919 0.515739039558292
north 4 1991 1030391 0.516214248820046
north 4 1992 1030780 0.516670309025766
north 4 1993 1031071 0.517123327176094
north 4 1994 1030271 0.51470520644741
north 4 1995 1030156 0.512639119389504
north 4 1996 1029868 0.510490942085558
north 4 1997 1029481 0.508317150329857
north 4 1998 1029067 0.506059781980625
north 4 1999 1028491 0.50372717290262
north 4 2000 1027938 0.501424609823735
north 4 2001 1027512 0.499242035542703
north 4 2002 1014129 0.489645602513388
north 4 2003 1000527 0.480028613827042
north 4 2004 987070 0.470581448677841
north 4 2005 973596 0.461253766415888
north 4 2006 960188 0.451998666865005
north 4 2007 947872 0.4432699218982
north 4 2008 940421 0.443018886767956
north 4 2009 933128 0.442772925184013
north 4 2010 926198 0.442462758189424
north 4 2011 919526 0.442290320873877
north 4 2012 919276 0.441534850367507
north 4 2013 918755 0.440758748563794
north 4 2014 918054 0.439988900279362
north 4 2015 917667 0.439380794102692
north 4 2016 917444 0.438830892710658
north 4 2017 917553 0.438779560318065
north 4 2018 917996 0.438825205311816
north 4 2019 918622 0.438950500509134
north 4 2020 918860 0.438968786904794
north 4 2021 918825 0.438879521582751
north 6 1990 363139 0.181844357746734
north 6 1991 362465 0.181590869581118
north 6 1992 361816 0.181357403646235
north 6 1993 361230 0.181171286434999
north 6 1994 355017 0.177360226850353
north 6 1995 348883 0.173615524143885
north 6 1996 342812 0.169927040007296
north 6 1997 336775 0.166286224128796
north 6 1998 330824 0.162687872912025
north 6 1999 324943 0.159148323849695
north 6 2000 319132 0.155671488535562
north 6 2001 313304 0.152226472005846
north 6 2002 331163 0.159893373195265
north 6 2003 349359 0.167613983928471
north 6 2004 367531 0.175218850146409
north 6 2005 385636 0.182700070116925
north 6 2006 403725 0.190049408845012
north 6 2007 421919 0.197309343642777
north 6 2008 430887 0.202984704789434
north 6 2009 439936 0.208751371316426
north 6 2010 449725 0.214842359761886
north 6 2011 458953 0.220755551921347
north 6 2012 474715 0.228009016326121
north 6 2013 490261 0.235195264058029
north 6 2014 505551 0.242291660975424
north 6 2015 520982 0.249447223092046
north 6 2016 536704 0.256715718279678
north 6 2017 536790 0.256696321828967
north 6 2018 536832 0.25661921470023
north 6 2019 536748 0.25647742297406
north 6 2020 536430 0.256269754216462
north 6 2021 535999 0.256021532597429
north 7 1990 4873 0.00244018834468299
north 7 1991 4875 0.00244231991835888
north 7 1992 4880 0.00244606134000052
north 7 1993 4868 0.00244149661535746
north 7 1994 5708 0.00285161604898305
north 7 1995 6532 0.00325053557699246
north 7 1996 7344 0.00364031650529615
north 7 1997 8140 0.00401921123720111
north 7 1998 8953 0.00440277768898676
north 7 1999 9850 0.00482426453230102
north 7 2000 10761 0.00524917867255925
north 7 2001 11684 0.00567695943529704
north 7 2002 10942 0.00528305785822266
north 7 2003 10198 0.00489275332280705
north 7 2004 9456 0.00450810801533596
north 7 2005 8712 0.00412742329776952
north 7 2006 7970 0.00375179587217721
north 7 2007 7230 0.0033810910495552
north 7 2008 8894 0.00418983623176663
north 7 2009 10568 0.00501455778129543
north 7 2010 12233 0.00584394149083806
north 7 2011 13810 0.00664258469175232
north 7 2012 14384 0.00690873827630246
north 7 2013 14793 0.0070967169348784
north 7 2014 15284 0.00732504880090907
north 7 2015 15795 0.00756267757569141
north 7 2016 16405 0.00784682312481017
north 7 2017 16365 0.00782584494258656
north 7 2018 16494 0.00788454735795482
north 7 2019 16540 0.00790340453246393
north 7 2020 16568 0.00791506307972773
north 7 2021 16584 0.00792139742162908
south 1 1990 340641 0.153159030619127
south 1 1991 334948 0.150318185490024
south 1 1992 329566 0.147634314721995
south 1 1993 324518 0.145116789058846
south 1 1994 319568 0.142661801870414
south 1 1995 314583 0.14020887169883
south 1 1996 309547 0.137750928954453
south 1 1997 304575 0.135336892550306
south 1 1998 299432 0.132873723989442
south 1 1999 302506 0.134377891566078
south 1 2000 305643 0.135935158800719
south 1 2001 308994 0.137585046129733
south 1 2002 312428 0.139275830587295
south 1 2003 316107 0.141088522272167
south 1 2004 319609 0.142834925284154
south 1 2005 323120 0.14458674511127
south 1 2006 326725 0.146379545169441
south 1 2007 330191 0.148129156712986
south 1 2008 343666 0.154064716272314
south 1 2009 357169 0.160045974642251
south 1 2010 371916 0.166488799756478
south 1 2011 386789 0.172952933375008
south 1 2012 372008 0.167118295645674
south 1 2013 356643 0.16103052528633
south 1 2014 341232 0.15480421960721
south 1 2015 325809 0.148535407483188
south 1 2016 310458 0.142233873284315
south 1 2017 311108 0.142541461271276
south 1 2018 312131 0.143001982861625
south 1 2019 313092 0.143459416809511
south 1 2020 313989 0.143864557312333
south 1 2021 314615 0.144181834596583
south 2 1990 535799 0.240905984443146
south 2 1991 551652 0.247570750271512
south 2 1992 567388 0.254170450111611
south 2 1993 583001 0.260704284933644
south 2 1994 598649 0.267249364854808
south 2 1995 614365 0.273820973991765
south 2 1996 630162 0.280427207796542
south 2 1997 645911 0.287008413704541
south 2 1998 661586 0.293580497606399
south 2 1999 664775 0.295303441471704
south 2 2000 667873 0.29703746630452
south 2 2001 670914 0.298736330281765
south 2 2002 673902 0.30041565027603
south 2 2003 676749 0.302054419418635
south 2 2004 679700 0.303761467028898
south 2 2005 682578 0.305433681927955
south 2 2006 685352 0.307051844949015
south 2 2007 687829 0.308571492659511
south 2 2008 681447 0.305491199913927
south 2 2009 674748 0.302351831480083
south 2 2010 668156 0.299101115547836
south 2 2011 661664 0.295863454515617
south 2 2012 672656 0.302179319465808
south 2 2013 683427 0.30857919209086
south 2 2014 694382 0.315015190894446
south 2 2015 705232 0.321513286895646
south 2 2016 716010 0.328034309343945
south 2 2017 715664 0.327898325787978
south 2 2018 715486 0.327797997346411
south 2 2019 715337 0.327768926840243
south 2 2020 715286 0.327732193617322
south 2 2021 715183 0.327754229811954
south 4 1990 861320 0.387266759588148
south 4 1991 856165 0.384230296284994
south 4 1992 850700 0.381084552211092
south 4 1993 844988 0.377858686893349
south 4 1994 839046 0.374567585653643
south 4 1995 832937 0.37123797842289
south 4 1996 826646 0.367864183521349
south 4 1997 820327 0.364509585668931
south 4 1998 813901 0.361170672569168
south 4 1999 799576 0.355184151808024
south 4 2000 785068 0.349160109177579
south 4 2001 770636 0.343139315356392
south 4 2002 756152 0.337081496697622
south 4 2003 741533 0.330969561528364
south 4 2004 726979 0.324890698159778
south 4 2005 712467 0.318808134839043
south 4 2006 697956 0.312698697155965
south 4 2007 683695 0.306716911723473
south 4 2008 687166 0.308055015107636
south 4 2009 690389 0.309360499895818
south 4 2010 693443 0.310420882052751
south 4 2011 696523 0.311450677276656
south 4 2012 691350 0.310577282463379
south 4 2013 686166 0.309815898289381
south 4 2014 681435 0.309141620328806
south 4 2015 676646 0.308481009830511
south 4 2016 672048 0.307893467306294
south 4 2017 672022 0.307902715090725
south 4 2018 672028 0.307887830873999
south 4 2019 671927 0.307878372997599
south 4 2020 672073 0.307932713014059
south 4 2021 672030 0.307978063041945
south 6 1990 447656 0.201275122521469
south 6 1991 448765 0.201397054203728
south 6 1992 449830 0.201508480217604
south 6 1993 450766 0.201571914460522
south 6 1994 451710 0.201652739081775
south 6 1995 452646 0.201743212249195
south 6 1996 453577 0.201845448679438
south 6 1997 454391 0.201907135985639
south 6 1998 454988 0.201902101079739
south 6 1999 459380 0.20406377337185
south 6 2000 463818 0.206283714937466
south 6 2001 467914 0.208346988209311
south 6 2002 472035 0.21042629563059
south 6 2003 476057 0.212479251162805
south 6 2004 479958 0.214495727809704
south 6 2005 483931 0.216544962083567
south 6 2006 487999 0.218633626637515
south 6 2007 492099 0.22076376972511
south 6 2008 482459 0.216285314660235
south 6 2009 472792 0.21185617016891
south 6 2010 463059 0.207289111322005
south 6 2011 453362 0.202721090260479
south 6 2012 456294 0.204982354125038
south 6 2013 459205 0.207339054359988
south 6 2014 462227 0.209695134150319
south 6 2015 465087 0.212031856272028
south 6 2016 467808 0.214322529274133
south 6 2017 467319 0.21411321193872
south 6 2018 466531 0.213739929921785
south 6 2019 465566 0.213323326199126
south 6 2020 464666 0.212902262143235
south 6 2021 463729 0.212517832829454
south 7 1990 38684 0.0173931028281102
south 7 1991 36730 0.0164837137497419
south 7 1992 34829 0.0156022027376985
south 7 1993 32981 0.0147483246536395
south 7 1994 31066 0.0138685085393603
south 7 1995 29143 0.0129889636373199
south 7 1996 27218 0.0121122310482166
south 7 1997 25291 0.0112379720905845
south 7 1998 23601 0.0104730047552527
south 7 1999 24922 0.0110707417823441
south 7 2000 26045 0.011583550779716
south 7 2001 27382 0.0121923200227977
south 7 2002 28715 0.0128007268084621
south 7 2003 30041 0.0134082456180286
south 7 2004 31365 0.0140171817174656
south 7 2005 32687 0.0146264760381657
south 7 2006 34008 0.0152362860880629
south 7 2007 35261 0.0158186691789195
south 7 2008 35922 0.0161037540458878
south 7 2009 36567 0.0163855238129379
south 7 2010 37306 0.0167000913209304
south 7 2011 38045 0.0170118445722401
south 7 2012 33708 0.0151427483001021
south 7 2013 29313 0.0132353299734417
south 7 2014 25005 0.0113438350192194
south 7 2015 20703 0.00943843951862727
south 7 2016 16405 0.00751582079131216
south 7 2017 16466 0.00754428591130035
south 7 2018 16528 0.00757225899618088
south 7 2019 16521 0.00756995715352016
south 7 2020 16518 0.00756827391305145
south 7 2021 16514 0.0075680397200641
