region peat_type year area
north 1 1990 345512
north 1 1991 342481
north 1 1992 339469
north 1 1993 336430
north 1 1994 333368
north 1 1995 330271
north 1 1996 327187
north 1 1997 324029
north 1 1998 320909
north 1 1999 317770
north 1 2000 314599
north 1 2001 311390
north 1 2002 303046
north 1 2003 294706
north 1 2004 286376
north 1 2005 278035
north 1 2006 269731
north 1 2007 261540
north 1 2008 249291
north 1 2009 237085
north 1 2010 224427
north 1 2011 211842
north 1 2012 202615
north 1 2013 193393
north 1 2014 184141
north 1 2015 174887
north 1 2016 165574
north 2 1990 505388
north 2 1991 505773
north 2 1992 506199
north 2 1993 506588
north 2 1994 506950
north 2 1995 507264
north 2 1996 507610
north 2 1997 507809
north 2 1998 508079
north 2 1999 508294
north 2 2000 508465
north 2 2001 508564
north 2 2002 508116
north 2 2003 507665
north 2 2004 507238
north 2 2005 506785
north 2 2006 506361
north 2 2007 506109
north 2 2008 502848
north 2 2009 499612
north 2 2010 495834
north 2 2011 492225
north 2 2012 486441
north 2 2013 480678
north 2 2014 474839
north 2 2015 468988
north 2 2016 462967
north 4 1990 781363
north 4 1991 793898
north 4 1992 806517
north 4 1993 819083
north 4 1994 831626
north 4 1995 844085
north 4 1996 856613
north 4 1997 868887
north 4 1998 881213
north 4 1999 893382
north 4 2000 905414
north 4 2001 917245
north 4 2002 924309
north 4 2003 931267
north 4 2004 938200
north 4 2005 945012
north 4 2006 951785
north 4 2007 958788
north 4 2008 952163
north 4 2009 945686
north 4 2010 939104
north 4 2011 932876
north 4 2012 931177
north 4 2013 929538
north 4 2014 927765
north 4 2015 925988
north 4 2016 923893
north 6 1990 398149
north 6 1991 391851
north 6 1992 385573
north 6 1993 379248
north 6 1994 372897
north 6 1995 366496
north 6 1996 360116
north 6 1997 353598
north 6 1998 347108
north 6 1999 340550
north 6 2000 333949
north 6 2001 327286
north 6 2002 343642
north 6 2003 359961
north 6 2004 376283
north 6 2005 392550
north 6 2006 408788
north 6 2007 425091
north 6 2008 436260
north 6 2009 447502
north 6 2010 458508
north 6 2011 469695
north 6 2012 484427
north 6 2013 499211
north 6 2014 513942
north 6 2015 528691
north 6 2016 543267
north 7 1990 2033
north 7 1991 2888
north 7 1992 3754
north 7 1993 4622
north 7 1994 5489
north 7 1995 6358
north 7 1996 7229
north 7 1997 8098
north 7 1998 8968
north 7 1999 9837
north 7 2000 10702
north 7 2001 11565
north 7 2002 10802
north 7 2003 10039
north 7 2004 9277
north 7 2005 8515
north 7 2006 7754
north 7 2007 7003
north 7 2008 8935
north 7 2009 10884
north 7 2010 12821
north 7 2011 14765
north 7 2012 15412
north 7 2013 16058
north 7 2014 16700
north 7 2015 17341
north 7 2016 17976
south 1 1990 352116
south 1 1991 345341
south 1 1992 338791
south 1 1993 332506
south 1 1994 326279
south 1 1995 320195
south 1 1996 314105
south 1 1997 308181
south 1 1998 302187
south 1 1999 301733
south 1 2000 301369
south 1 2001 301113
south 1 2002 301042
south 1 2003 301247
south 1 2004 301291
south 1 2005 301435
south 1 2006 301903
south 1 2007 302200
south 1 2008 319976
south 1 2009 337785
south 1 2010 357407
south 1 2011 377112
south 1 2012 362232
south 1 2013 346820
south 1 2014 331417
south 1 2015 315735
south 1 2016 300162
south 2 1990 648218
south 2 1991 652443
south 2 1992 656502
south 2 1993 660369
south 2 1994 664375
south 2 1995 668470
south 2 1996 672764
south 2 1997 677117
south 2 1998 681469
south 2 1999 682241
south 2 2000 682930
south 2 2001 683509
south 2 2002 684050
south 2 2003 684536
south 2 2004 685151
south 2 2005 685764
south 2 2006 686342
south 2 2007 686810
south 2 2008 678991
south 2 2009 670837
south 2 2010 663491
south 2 2011 656240
south 2 2012 667115
south 2 2013 677792
south 2 2014 688511
south 2 2015 699095
south 2 2016 709440
south 4 1990 737741
south 4 1991 740558
south 4 1992 742978
south 4 1993 745170
south 4 1994 747103
south 4 1995 748790
south 4 1996 750033
south 4 1997 751372
south 4 1998 752499
south 4 1999 744839
south 4 2000 736714
south 4 2001 728947
south 4 2002 721200
south 4 2003 713493
south 4 2004 706002
south 4 2005 698614
south 4 2006 691228
south 4 2007 683785
south 4 2008 685788
south 4 2009 687544
south 4 2010 689341
south 4 2011 691177
south 4 2012 687075
south 4 2013 682685
south 4 2014 678865
south 4 2015 675082
south 4 2016 670576
south 6 1990 478334
south 6 1991 477000
south 6 1992 475616
south 6 1993 474186
south 6 1994 472962
south 6 1995 471848
south 6 1996 470766
south 6 1997 469689
south 6 1998 468691
south 6 1999 470703
south 6 2000 473036
south 6 2001 475265
south 6 2002 477552
south 6 2003 479734
south 6 2004 481813
south 6 2005 483952
south 6 2006 486175
south 6 2007 488412
south 6 2008 478313
south 6 2009 468181
south 6 2010 458956
south 6 2011 449067
south 6 2012 452898
south 6 2013 456471
south 6 2014 460017
south 6 2015 463438
south 6 2016 468202
south 7 1990 5981
south 7 1991 8052
south 7 1992 10192
south 7 1993 12384
south 7 1994 14425
south 7 1995 16447
south 7 1996 18458
south 7 1997 20451
south 7 1998 22455
south 7 1999 23728
south 7 2000 25012
south 7 2001 26306
south 7 2002 27609
south 7 2003 28904
south 7 2004 30199
south 7 2005 31492
south 7 2006 32785
south 7 2007 34009
south 7 2008 34801
south 7 2009 35583
south 7 2010 36473
south 7 2011 37274
south 7 2012 32900
south 7 2013 28297
south 7 2014 23873
south 7 2015 19466
south 7 2016 15167
