mainregion peat_type year roll_T
north 1 1990 9.42026308054086
north 1 1991 9.37039241622575
north 1 1992 9.37808788947678
north 1 1993 9.29556878306878
north 1 1994 9.28700176366843
north 1 1995 9.31841710758377
north 1 1996 9.32393592004703
north 1 1997 9.31440623162845
north 1 1998 9.36803350970018
north 1 1999 9.38823486184597
north 1 2000 9.40628306878307
north 1 2001 9.46013227513227
north 1 2002 9.44949588477366
north 1 2003 9.49096266901822
north 1 2004 9.49008377425044
north 1 2005 9.53902116402116
north 1 2006 9.63479276895944
north 1 2007 9.70281746031746
north 1 2008 9.7101087595532
north 1 2009 9.72227807172252
north 1 2010 9.75104350382128
north 1 2011 9.82084803057025
north 1 2012 9.8526822457378
north 1 2013 9.90011757789535
north 1 2014 9.91216049382716
north 1 2015 9.92487948265726
north 1 2016 9.96993533215755
north 1 2017 9.96724720752498
north 1 2018 10.0008406819518
north 1 2019 9.98323192239859
north 1 2020 10.0333098177543
north 1 2021 10.0860126396237
north 2 1990 9.50450549450549
north 2 1991 9.45588319088319
north 2 1992 9.46590913715914
north 2 1993 9.38345695970696
north 2 1994 9.37462912087912
north 2 1995 9.40716625966626
north 2 1996 9.41063288563288
north 2 1997 9.39949633699634
north 2 1998 9.450756003256
north 2 1999 9.47239977614978
north 2 2000 9.49122761497761
north 2 2001 9.5459243996744
north 2 2002 9.5347675010175
north 2 2003 9.57617724867725
north 2 2004 9.57599002849003
north 2 2005 9.62413817663818
north 2 2006 9.72497201872202
north 2 2007 9.79236874236874
north 2 2008 9.80068426943427
north 2 2009 9.81215404965405
north 2 2010 9.84298687423687
north 2 2011 9.91057946682947
north 2 2012 9.94396978021978
north 2 2013 9.99003103378103
north 2 2014 9.99912952787953
north 2 2015 10.0119566544567
north 2 2016 10.0561116198616
north 2 2017 10.052934981685
north 2 2018 10.0864789377289
north 2 2019 10.0680016280016
north 2 2020 10.1199013024013
north 2 2021 10.1738990638991
north 4 1990 9.29804201811934
north 4 1991 9.24622904300739
north 4 1992 9.25521139227325
north 4 1993 9.17097755909612
north 4 1994 9.16107856919712
north 4 1995 9.1923641049672
north 4 1996 9.19664297615329
north 4 1997 9.1861897323753
north 4 1998 9.24150994480891
north 4 1999 9.26509554305946
north 4 2000 9.28362490888264
north 4 2001 9.33916041861918
north 4 2002 9.32870691450588
north 4 2003 9.37185931479746
north 4 2004 9.37017130063522
north 4 2005 9.42034963032386
north 4 2006 9.51854420493596
north 4 2007 9.58702488805582
north 4 2008 9.5956792148287
north 4 2009 9.60837576798917
north 4 2010 9.6389745392065
north 4 2011 9.7073620222847
north 4 2012 9.74144199729251
north 4 2013 9.7888935749245
north 4 2014 9.79881130896595
north 4 2015 9.8121933250026
north 4 2016 9.85933302093096
north 4 2017 9.85461938977403
north 4 2018 9.88787149849006
