region peat_type year fine_root_litter_production litter_biomass total_below_ground_litter
north 1 1990 0.665474750571339 0.071533923911846 0.737008674483185
north 1 1991 0.677366230733757 0.0729116475973192 0.750277878331076
north 1 1992 0.689257710891731 0.0742893712822777 0.763547082174009
north 1 1993 0.701181770447398 0.0756708695526745 0.776852640000072
north 1 1994 0.713073250606905 0.0770485932378106 0.790121843844715
north 1 1995 0.724964730764706 0.0784263169227491 0.803391047687455
north 1 1996 0.736856210922509 0.0798040406076878 0.816660251530197
north 1 1997 0.748780270476988 0.0811855388779468 0.829965809354935
north 1 1998 0.760671750634962 0.0825632625629054 0.843235013197867
north 1 1999 0.772563230792936 0.0839409862478639 0.8565042170408
north 1 2000 0.78445471095091 0.0853187099328225 0.869773420883733
north 1 2001 0.796378770506577 0.0867002082032192 0.883078978709797
north 1 2002 0.808270250664551 0.0880779318881777 0.896348182552729
north 1 2003 0.818718638105317 0.0894847419512174 0.908203380056534
north 1 2004 0.815804121525876 0.0911608891632731 0.906965010689149
north 1 2005 0.812881619969538 0.0928416285594534 0.905723248528991
north 1 2006 0.809967103390146 0.0945177757714811 0.904484879161627
north 1 2007 0.80872735650879 0.0961655910942734 0.904892947603063
north 1 2008 0.820400745192445 0.0975949563671639 0.917995701559609
north 1 2009 0.832106115762874 0.0990282377092913 0.931134353472165
north 1 2010 0.843779504446943 0.100457602982233 0.944237107429176
north 1 2011 0.8554528931303 0.101886968255086 0.957339861385386
north 1 2012 0.857271524470226 0.102604687951996 0.959876212422222
north 1 2013 0.839537632490654 0.10191205992656 0.941449692417214
north 1 2014 0.821852193758804 0.101221324327068 0.923073518085872
north 1 2015 0.804166755031651 0.10053058872776 0.904697343759411
north 1 2016 0.786481316305274 0.0998398531284819 0.886321169433756
north 1 2017 0.764985859526543 0.099042026558249 0.864027886084792
north 1 2018 0.743490402747813 0.098244199988016 0.841734602735829
north 1 2019 0.721994945969082 0.097446373417783 0.819441319386865
north 1 2020 0.700499489190352 0.09664854684755 0.797148036037902
north 1 2021 0.700499489190352 0.09664854684755 0.797148036037902
