region peat_type year emission_factor_weighted
north 1 1990 -0.0831052446376042
north 2 1990 0.129646044705326
north 4 1990 0.870207926439366
north 6 1990 1.28093770430884
north 7 1990 1.30943471357864
north 1 1991 -0.0713515750475975
north 2 1991 0.136579259134282
north 4 1991 0.880820419705032
north 6 1991 1.29591923552069
north 7 1991 1.34547073143999
north 1 1992 -0.0556940689141716
north 2 1992 0.147416310108468
north 4 1992 0.895336749514548
north 6 1992 1.31480460327478
north 7 1992 1.3854105858357
north 1 1993 0.00997012041721357
north 2 1993 0.208246837554154
north 4 1993 0.959856636011553
north 6 1993 1.38370549768331
north 7 1993 1.47542365041091
north 1 1994 0.0326314079813299
north 2 1994 0.22608766995841
north 4 1994 0.98137674725161
north 6 1994 1.4095946468685
north 7 1994 1.52236728624044
north 1 1995 0.0185092379936131
north 2 1995 0.207145044811513
north 4 1995 0.966113400939993
north 6 1995 1.39870033850137
north 7 1995 1.53252746451464
north 1 1996 0.000983056196782961
north 2 1996 0.184798407855513
north 4 1996 0.947446042819273
north 6 1996 1.38440201832515
north 7 1996 1.53928363097974
north 1 1997 0.0219759547356051
north 2 1997 0.200957644509115
north 4 1997 0.967294638523825
north 6 1997 1.4086316219408
north 7 1997 1.58462540475997
north 1 1998 -0.00480435832760806
north 2 1998 0.169356876286662
north 4 1998 0.939373149136702
north 6 1998 1.38507917049823
north 7 1998 1.58212743995903
north 1 1999 -0.0111878221045165
north 2 1999 0.158152957350513
north 4 1999 0.931848509035883
north 6 1999 1.38192356834198
north 7 1999 1.60002632444441
north 1 2000 -0.0100209018573749
north 2 2000 0.154499422438415
north 4 2000 0.931874252959115
north 6 2000 1.38631835020978
north 7 2000 1.62547559295383
north 1 2001 -0.0342634584205084
north 2 2001 0.125423203989572
north 4 2001 0.906487393561582
north 6 2001 1.36531249872378
north 7 2001 1.62558191163451
north 1 2002 -0.0286882349917987
north 2 2002 0.126177972259041
north 4 2002 0.910921440666401
north 6 2002 1.37411558377315
north 7 2002 1.65543948332551
north 1 2003 -0.0489715705574367
north 2 2003 0.101486655120553
north 4 2003 0.889213738304743
north 6 2003 1.35578367522515
north 7 2003 1.65538855410231
north 1 2004 -0.0081871149141457
north 2 2004 0.141682596145865
north 4 2004 0.925951509783125
north 6 2004 1.38669989246693
north 7 2004 1.67890333149244
north 1 2005 -0.0339693075864642
north 2 2005 0.115310276486776
north 4 2005 0.896111546140026
north 6 2005 1.35102242512363
north 7 2005 1.63580414638015
north 1 2006 -0.0981896200726267
north 2 2006 0.0505014493826534
north 4 2006 0.827844549489033
north 6 2006 1.27693387423613
