region year peat_type peat_deg
north 1990 1 2.90305177521855
north 1991 1 2.87693424792886
north 1992 1 2.88912409418223
north 1993 1 2.84242994115864
north 1994 1 2.84477769781991
north 1995 1 2.87307218770766
north 1996 1 2.88572549201994
north 1997 1 2.88852113492554
north 1998 1 2.93384633815277
north 1999 1 2.95494548819283
north 2000 1 2.97482031375228
north 2001 1 3.01862417745013
north 2002 1 3.02057334180559
north 2003 1 3.0565105837337
north 2004 1 3.06159004741908
north 2005 1 3.10109955906289
north 2006 1 3.16807657043098
north 2007 1 3.22021743478608
north 2008 1 3.23302493241171
north 2009 1 3.25002388497247
north 2010 1 3.27659880320643
north 2011 1 3.33230580234119
north 2012 1 3.35614420722126
north 2013 1 3.38166633328358
north 2014 1 3.38423774882646
north 2015 1 3.38590731200395
north 2016 1 3.40988438529929
north 1990 2 2.76043920521434
north 1991 2 2.74026278205677
north 1992 2 2.75916239167724
north 1993 2 2.71752492135406
north 1994 2 2.72476149176385
north 1995 2 2.75903115997921
north 1996 2 2.77504183921957
north 1997 2 2.78150015680361
north 1998 2 2.82991487522697
north 1999 2 2.85704665508642
north 2000 2 2.88244153888409
north 2001 2 2.93184789414572
north 2002 2 2.93830312339487
north 2003 2 2.97875953079326
north 2004 2 2.98516845888815
north 2005 2 3.02484149851199
north 2006 2 3.09675925159414
north 2007 2 3.14924285059605
north 2008 2 3.16496772478003
north 2009 2 3.18336543329029
north 2010 2 3.21355604305483
north 2011 2 3.2696978345435
north 2012 2 3.30453379922099
north 2013 2 3.35422170763093
north 2014 2 3.37982579044776
north 2015 2 3.40681213953474
north 2016 2 3.45514535961799
north 1990 4 1.86276390289168
north 1991 4 1.83658693946124
north 1992 4 1.85105940511673
north 1993 4 1.80446940588892
north 1994 4 1.80733284524585
north 1995 4 1.83709995180649
north 1996 4 1.85027334582159
north 1997 4 1.85380771810129
north 1998 4 1.90153444868273
north 1999 4 1.92634674673596
north 2000 4 1.94784320193337
north 2001 4 1.99410718112585
north 2002 4 1.99766540913773
north 2003 4 2.03655811652803
north 2004 4 2.04534749368162
north 2005 4 2.09001443738361
north 2006 4 2.16336561368185
north 2007 4 2.21977425315213
north 2008 4 2.23501642936177
north 2009 4 2.25371366443793
north 2010 4 2.28295867804074
north 2011 4 2.33915887499979
north 2012 4 2.37286600463025
north 2013 4 2.42018313449287
north 2014 4 2.44309397115092
north 2015 4 2.46701387056622
north 2016 4 2.5139563261825
north 1990 6 1.43663068895835
north 1991 6 1.40600730582114
north 1992 6 1.41617030868811
north 1993 6 1.36470368844579
north 1994 6 1.36310340237397
north 1995 6 1.38818412569581
north 1996 6 1.3974978467152
north 1997 6 1.39730827611248
north 1998 6 1.4406471353907
north 1999 6 1.46065221453749
north 2000 6 1.47720204729576
north 2001 6 1.51878823353044
north 2002 6 1.51812973290993
north 2003 6 1.5536916082067
north 2004 6 1.56806467744074
north 2005 6 1.61807286290575
north 2006 6 1.69649966672491
north 2007 6 1.75735401501089
north 2008 6 1.76844791979952
north 2009 6 1.78358445587636
north 2010 6 1.80880694173149
north 2011 6 1.86121312321392
north 2012 6 1.88992400870408
north 2013 6 1.92977566877774
north 2014 6 1.94527103713732
north 2015 6 1.96120513665003
north 2016 6 2.00042319243761
north 1990 7 1.74820885674825
