region year total_emission
north 1990 726.243946651272
north 1991 728.140929033692
north 1992 813.40194121992
north 1993 964.901429536812
north 1994 1044.68858940897
north 1995 1028.22751858371
north 1996 990.454505564174
north 1997 1047.27691957844
north 1998 1028.03306061162
north 1999 1008.79995858424
north 2000 1014.52372967514
north 2001 962.862761386477
north 2002 991.262244444047
north 2003 910.979015839485
north 2004 947.98338482073
north 2005 842.539599226507
north 2006 632.144498850386
north 2007 574.513808348898
north 2008 750.370522287199
north 2009 662.991937275472
north 2010 796.960279072546
north 2011 857.264616356818
north 2012 782.284341155799
north 2013 719.216463988368
north 2014 661.790529812053
north 2015 587.921905597067
north 2016 466.705025713823
south 1990 -1160.77156127392
south 1991 -1308.50532152739
south 1992 -1232.80857134468
south 1993 -1064.34702896813
south 1994 -933.73866231388
south 1995 -975.673611108121
south 1996 -1082.87524404409
south 1997 -949.304783753341
south 1998 -927.684524658316
south 1999 -1031.8686501224
south 2000 -1129.17901173596
south 2001 -1319.56476534017
south 2002 -1340.74998115633
south 2003 -1418.12179604369
south 2004 -1444.10822572857
south 2005 -1565.10913609838
south 2006 -1823.47802223254
south 2007 -1732.93083395698
south 2008 -1688.15477118403
south 2009 -1854.65031477615
south 2010 -1693.54614520641
south 2011 -1773.93092600146
south 2012 -1923.26048250169
south 2013 -1876.01456800689
south 2014 -1939.23081577253
south 2015 -1911.18744497957
south 2016 -1918.40220760424
