region peat_type year total_emission
north 1 1990 -113.547801040613
north 1 1991 -111.178450813278
north 1 1992 -97.7592997507279
north 1 1993 -70.0353104952507
north 1 1994 -56.0683881511204
north 1 1995 -59.0715204679965
north 1 1996 -65.0581487180529
north 1 1997 -56.1185335834065
north 1 1998 -58.5756709315155
north 1 1999 -59.7774110911816
north 1 2000 -60.4407259536741
north 1 2001 -66.8098433632635
north 1 2002 -66.7645033520541
north 1 2003 -91.5975109288727
north 1 2004 -100.342126334326
north 1 2005 -132.692992407493
north 1 2006 -177.768002662936
north 1 2007 -203.342318211518
north 1 2008 -155.886970302451
north 1 2009 -151.628843033836
north 1 2010 -114.157308401917
north 1 2011 -80.6161838755099
north 1 2012 -89.4694717087028
north 1 2013 -98.2460889770929
north 1 2014 -102.337057509571
north 1 2015 -111.712979373663
north 1 2016 -125.581233302068
north 2 1990 -171.887265062108
north 2 1991 -179.331171623017
north 2 1992 -164.358223731563
north 2 1993 -134.087935614063
north 2 1994 -123.667039926587
north 2 1995 -135.356960937738
north 2 1996 -151.75552228742
north 2 1997 -145.336643406594
north 2 1998 -159.590787049681
north 2 1999 -171.972688394881
north 2 2000 -177.267829530613
north 2 2001 -198.104116524759
north 2 2002 -186.92755506681
north 2 2003 -207.802743631785
north 2 2004 -200.442009659543
north 2 2005 -227.95035535778
north 2 2006 -271.921177518647
north 2 2007 -283.776971302332
north 2 2008 -249.982012991875
north 2 2009 -271.754995082051
north 2 2010 -245.171278359256
north 2 2011 -228.901168122547
north 2 2012 -246.195557945853
north 2 2013 -266.308368190462
north 2 2014 -281.288602534195
north 2 2015 -302.474165445959
north 2 2016 -329.27391808271
north 4 1990 629.22876410444
north 4 1991 639.366299819285
north 4 1992 684.919524616254
north 4 1993 756.140106111832
north 4 1994 801.916627642957
north 4 1995 806.684490421518
north 4 1996 803.16532890617
north 4 1997 838.106494490776
north 4 1998 843.375251156833
north 4 1999 846.085805075048
north 4 2000 861.107937101111
north 4 2001 848.294220205538
north 4 2002 849.584806656657
north 4 2003 812.894866457594
north 4 2004 828.66583030219
north 4 2005 788.006122304587
north 4 2006 691.251941462796
north 4 2007 667.683857285526
north 4 2008 733.042909472718
north 4 2009 686.236027634985
north 4 2010 735.70729469626
north 4 2011 752.894290823344
north 4 2012 720.64684743521
north 4 2013 698.278158053008
north 4 2014 674.349239140517
north 4 2015 644.147793310915
north 4 2016 589.431118947397
north 6 1990 381.604768097538
north 6 1991 377.847515979696
north 6 1992 388.365209316637
north 6 1993 409.587531832788
north 6 1994 418.210219832182
north 6 1995 410.888131848231
north 6 1996 398.284735320137
north 6 1997 403.711884264993
north 6 1998 395.023291129855
