year total_emission
1990 -434.52761462265
1991 -580.364392493695
1992 -419.406630124764
1993 -99.4455994313222
1994 110.949927095089
1995 52.5539074755901
1996 -92.4207384799113
1997 97.9721358250945
1998 100.348535953304
1999 -23.0686915381556
2000 -114.655282060821
2001 -356.702003953691
2002 -349.487736712282
2003 -507.1427802042
2004 -496.124840907834
2005 -722.569536871873
2006 -1191.33352338215
2007 -1158.41702560809
2008 -937.784248896833
2009 -1191.65837750068
2010 -896.585866133862
2011 -916.666309644639
2012 -1140.97614134589
2013 -1156.79810401852
2014 -1277.44028596048
2015 -1323.2655393825
2016 -1451.69718189042
