region peat_type year total_emission
north 1 1990 -111.608926582121
north 1 1991 -102.371440783737
north 1 1992 -102.342993499761
north 1 1993 -87.8927751883356
north 1 1994 -83.0368644888654
north 1 1995 -84.3879961874164
north 1 1996 -81.7575007534751
north 1 1997 -77.0257418852215
north 1 1998 -81.1618443981653
north 1 1999 -80.4404538072977
north 1 2000 -79.3509374677971
north 1 2001 -82.5604582465753
north 1 2002 -85.5440633481597
north 1 2003 -95.7017113045883
north 1 2004 -101.389270551364
north 1 2005 -114.882461002001
north 1 2006 -137.004645749598
north 1 2007 -155.323504452035
north 1 2008 -144.851124651576
north 1 2009 -135.368890730966
north 1 2010 -128.516080057039
north 1 2011 -127.053771138547
north 1 2012 -127.734668132446
north 1 2013 -138.069138657029
north 1 2014 -142.707432939843
north 1 2015 -146.15629705213
north 1 2016 -151.816425147461
north 1 2017 -157.739832228562
north 1 2018 -167.469577476166
north 1 2019 -171.715189424224
north 1 2020 -183.27396520366
north 1 2021 -189.398250920471
north 2 1990 -279.863258203981
north 2 1991 -267.182122809038
north 2 1992 -268.375209895803
north 2 1993 -247.733529821035
north 2 1994 -259.025530090409
north 2 1995 -280.239611791854
north 2 1996 -294.26930442839
north 2 1997 -304.049251250905
north 2 1998 -332.42113538961
north 2 1999 -352.752790996176
north 2 2000 -372.503826377809
north 2 2001 -404.836970291917
north 2 2002 -397.502588018912
north 2 2003 -407.710133453607
north 2 2004 -400.357945186889
north 2 2005 -409.328086398906
north 2 2006 -435.857274548946
north 2 2007 -451.996300367564
north 2 2008 -457.658735030533
north 2 2009 -464.214972975663
north 2 2010 -476.660778743761
north 2 2011 -500.79670174697
north 2 2012 -513.475969836438
north 2 2013 -530.305492550144
north 2 2014 -535.215860852841
north 2 2015 -540.778265869043
north 2 2016 -555.298607038654
north 2 2017 -553.180219010796
north 2 2018 -562.145559618193
north 2 2019 -555.404677702956
north 2 2020 -570.340100357975
north 2 2021 -587.266457514033
north 4 1990 337.429313160671
north 4 1991 378.034581968648
north 4 1992 377.146514024273
north 4 1993 439.879838212785
north 4 1994 451.389615970611
north 4 1995 435.094937854608
north 4 1996 437.151007893458
north 4 1997 449.220519260474
north 4 1998 416.434809770718
north 4 1999 405.227707440561
north 4 2000 397.483399266162
north 4 2001 364.630324961452
north 4 2002 371.918911958738
north 4 2003 343.422998976086
north 4 2004 346.124241895409
north 4 2005 315.198493854525
north 4 2006 254.471338055798
north 4 2007 214.078143581677
north 4 2008 211.923261731633
north 4 2009 207.327060271098
north 4 2010 191.863614373121
north 4 2011 153.64879780724
north 4 2012 137.552996708359
north 4 2013 113.079254951192
