year final_emission final_CO2
1990 -400.318523691599 1.46783458686919
1991 -551.271004768426 2.02132701748423
1992 -407.335410795375 1.49356317291638
1993 -104.412424876274 0.382845557879671
1994 68.0172812180194 -0.249396697799404
1995 -16.0871632505949 0.0589862652521814
1996 -196.973312063742 0.722235477567053
1997 1.75716708475153 -0.00644294597742227
1998 -62.495341422355 0.229149585215302
1999 -125.446034584972 0.459968793478231
2000 -151.338034996122 0.554906128319113
2001 -356.035193513241 1.30546237621522
2002 -344.114051483531 1.26175152210628
2003 -438.07247788136 1.60626575223165
2004 -322.548573826971 1.18267810403223
2005 -474.299892051769 1.73909960418982
2006 -895.312385441091 3.28281207995067
2007 -939.92160844837 3.44637923097736
2008 -991.684083194013 3.63617497171138
2009 -1319.55924085003 4.83838388311678
2010 -1086.44399431189 3.98362797914359
2011 -1284.76594063695 4.71080844900214
2012 -1480.6976188532 5.42922460246173
2013 -1481.3411274511 5.43158413398737
2014 -1599.8169791623 5.86599559026176
2015 -1638.60550805286 6.00822019619381
2016 -1789.5219735417 6.5615805696529
2017 -1751.92211662854 6.42371442763799
2018 -1661.43111497269 6.09191408823319
2019 -1765.09106782387 6.47200058202085
2020 -2089.28655909722 7.66071738335647
2021 -2177.56433153811 7.98440254897308
