region year tkg species component ddiff12 bm
1 1990 1 1 1 -9555.101358 6.46547754653844
1 1990 2 1 5 -9555.101358 0.538583087980561
1 1990 2 1 1 -9555.101358 11.8170898583248
1 1990 4 1 5 -9555.101358 0.950099544105951
1 1990 4 1 1 -9555.101358 20.5957791407702
1 1990 6 1 5 -9555.101358 0.669703816204458
1 1990 6 1 1 -9555.101358 12.8478281701565
1 1990 7 1 5 -9555.101358 0.504818309649463
1 1990 7 1 1 -9555.101358 6.74596632603679
1 1990 1 2 5 -9555.101358 0.736914122491275
1 1990 1 2 1 -9555.101358 18.905729762949
1 1990 2 2 5 -9555.101358 0.849430637428243
1 1990 2 2 1 -9555.101358 20.2671297094862
1 1990 4 2 5 -9555.101358 0.117136431534252
1 1990 4 2 1 -9555.101358 2.43444675400742
1 1990 6 2 5 -9555.101358 0.00870557876908002
1 1990 6 2 1 -9555.101358 0.131776973244166
1 1990 7 2 5 -9555.101358 0.00783060210020767
1 1990 7 2 1 -9555.101358 0.095928865040084
1 1990 1 3 5 -9555.101358 0.223983017674418
1 1990 1 3 1 -9555.101358 19.3784012873901
1 1990 2 3 5 -9555.101358 0.116582790439636
1 1990 2 3 1 -9555.101358 15.0785477747321
1 1990 4 3 5 -9555.101358 0.0737259454856905
1 1990 4 3 1 -9555.101358 6.51524990558438
1 1990 6 3 5 -9555.101358 0.038146180161442
1 1990 6 3 1 -9555.101358 1.25903724318196
1 1990 7 3 5 -9555.101358 0.0141176331707491
1 1990 7 3 1 -9555.101358 0.263130309920846
1 1990 1 1 6 -9555.101358 0.595312209617172
1 1990 1 1 2 -9555.101358 0.500283196917873
1 1990 2 1 6 -9555.101358 1.08619641059156
1 1990 2 1 2 -9555.101358 0.976888030360514
1 1990 4 1 6 -9555.101358 1.994987337408
1 1990 4 1 2 -9555.101358 2.1727651246127
1 1990 6 1 6 -9555.101358 1.42367678685174
1 1990 6 1 2 -9555.101358 1.88476441044993
1 1990 7 1 6 -9555.101358 0.821876795090367
1 1990 7 1 2 -9555.101358 1.36825047071772
1 1990 1 2 6 -9555.101358 1.92266714195261
1 1990 1 2 2 -9555.101358 2.25665959651377
1 1990 2 2 6 -9555.101358 2.0323309635801
1 1990 2 2 2 -9555.101358 2.52066902188238
1 1990 4 2 6 -9555.101358 0.287325625958806
1 1990 4 2 2 -9555.101358 0.358593079155227
1 1990 6 2 6 -9555.101358 0.0198265821924545
1 1990 6 2 2 -9555.101358 0.0241046067646105
1 1990 7 2 6 -9555.101358 0.014953635059441
1 1990 7 2 2 -9555.101358 0.0195873812924973
1 1990 1 3 6 -9555.101358 2.12570166649855
1 1990 1 3 2 -9555.101358 3.44844950397285
1 1990 2 3 6 -9555.101358 1.68295230599628
1 1990 2 3 2 -9555.101358 2.78729817265439
1 1990 4 3 6 -9555.101358 0.907523871708319
1 1990 4 3 2 -9555.101358 1.28454558470171
1 1990 6 3 6 -9555.101358 0.208864960704162
1 1990 6 3 2 -9555.101358 0.26699705574316
1 1990 7 3 6 -9555.101358 0.040268276062324
1 1990 7 3 2 -9555.101358 0.0552019232947754
1 1990 1 1 7 -9555.101358 1.79195919453501
1 1990 1 1 3 -9555.101358 1.24225227130029
1 1990 2 1 7 -9555.101358 3.24524773487641
1 1990 2 1 3 -9555.101358 2.15373634113402
1 1990 4 1 7 -9555.101358 5.53574934166864
1 1990 4 1 3 -9555.101358 4.51155913573409
1 1990 6 1 7 -9555.101358 3.71436540645659
1 1990 6 1 3 -9555.101358 3.6883445981946
1 1990 7 1 7 -9555.101358 1.96966956241916
1 1990 7 1 3 -9555.101358 2.46460615289738
1 1990 1 2 7 -9555.101358 7.41879936131199
1 1990 1 2 3 -9555.101358 6.33517184068046
1 1990 2 2 7 -9555.101358 8.21063411171747
1 1990 2 2 3 -9555.101358 7.0046968312063
1 1990 4 2 7 -9555.101358 1.24842181011312
1 1990 4 2 3 -9555.101358 1.06260131861578
1 1990 6 2 7 -9555.101358 0.0946076026659707
1 1990 6 2 3 -9555.101358 0.0697299284489167
1 1990 7 2 7 -9555.101358 0.0680266424845768
1 1990 7 2 3 -9555.101358 0.0457473753925823
1 1990 1 3 7 -9555.101358 7.02398020498781
1 1990 1 3 3 -9555.101358 4.7072202533639
1 1990 2 3 7 -9555.101358 5.72971232230441
1 1990 2 3 3 -9555.101358 3.55355946156886
1 1990 4 3 7 -9555.101358 2.97904121884173
1 1990 4 3 3 -9555.101358 1.75572786251818
1 1990 6 3 7 -9555.101358 0.634563006293831
1 1990 6 3 3 -9555.101358 0.39297861132195
1 1990 7 3 7 -9555.101358 0.157156665050361
1 1990 7 3 3 -9555.101358 0.116740602139923
1 1990 1 1 8 -9555.101358 7.93933803035357
1 1990 1 1 4 -9555.101358 0.491968426247346
1 1990 2 1 8 -9555.101358 14.3329838435722
1 1990 2 1 4 -9555.101358 0.864653079702793
1 1990 4 1 8 -9555.101358 26.3359322269264
1 1990 4 1 4 -9555.101358 2.09622534487073
1 1990 6 1 8 -9555.101358 17.7094595021808
1 1990 6 1 4 -9555.101358 1.85660261913314
1 1990 7 1 8 -9555.101358 9.99688039831857
1 1990 7 1 4 -9555.101358 1.39115905871314
1 1990 1 2 8 -9555.101358 34.237316814163
1 1990 1 2 4 -9555.101358 4.44961592123784
1 1990 2 2 8 -9555.101358 36.8433865582319
1 1990 2 2 4 -9555.101358 5.06468680961094
1 1990 4 2 8 -9555.101358 4.95203259732254
1 1990 4 2 4 -9555.101358 0.865968360144795
1 1990 6 2 8 -9555.101358 0.308633477777905
1 1990 6 2 4 -9555.101358 0.0625698427288568
1 1990 7 2 8 -9555.101358 0.223043954810885
1 1990 7 2 4 -9555.101358 0.047501893990012
1 1990 1 3 8 -9555.101358 29.9794221858045
1 1990 1 3 4 -9555.101358 1.38309999710568
1 1990 2 3 8 -9555.101358 23.0422579442646
1 1990 2 3 4 -9555.101358 1.02875260960189
1 1990 4 3 8 -9555.101358 10.4381601041161
1 1990 4 3 4 -9555.101358 0.612871384951496
1 1990 6 3 8 -9555.101358 2.14649831103513
1 1990 6 3 4 -9555.101358 0.151185875046023
1 1990 7 3 8 -9555.101358 0.566944409250374
1 1990 7 3 4 -9555.101358 0.10426353904532
1 1990 1 1 9 -9555.101358 2.38727140415218
1 1990 1 1 5 -9555.101358 0.341936238297153
1 1990 2 1 9 -9555.101358 4.33144414546797
1 1990 6 2 9 -9555.101358 0.114434185742762
1 1990 4 1 9 -9555.101358 7.53073667907664
1 1990 7 2 9 -9555.101358 0.0829802775440178
1 1990 6 1 9 -9555.101358 5.13804219326978
1 1990 1 3 9 -9555.101358 9.12924831865154
1 1990 7 1 9 -9555.101358 2.79154635793242
1 1990 2 3 9 -9555.101358 7.39292734398265
1 1990 1 2 9 -9555.101358 9.34146650541761
1 1990 4 3 9 -9555.101358 3.87087275046821
1 1990 2 2 9 -9555.101358 10.2429650771048
1 1990 6 3 9 -9555.101358 0.839212510724246
1 1990 4 2 9 -9555.101358 1.53574743607192
1 1990 7 3 9 -9555.101358 0.19695366018676
1 1991 1 1 1 -9190.101358 6.45508970130243
1 1991 2 1 5 -9190.101358 0.56514480627205
1 1991 2 1 1 -9190.101358 12.5318374892084
1 1991 4 1 5 -9190.101358 0.979711165978589
1 1991 4 1 1 -9190.101358 21.304604349998
1 1991 6 1 5 -9190.101358 0.707414633364319
1 1991 6 1 1 -9190.101358 13.463521594001
1 1991 7 1 5 -9190.101358 0.499546797434901
1 1991 7 1 1 -9190.101358 6.6522069366807
1 1991 1 2 5 -9190.101358 0.760977267326283
1 1991 1 2 1 -9190.101358 19.3349955430674
1 1991 2 2 5 -9190.101358 0.835227251427632
1 1991 2 2 1 -9190.101358 19.7826040596724
1 1991 4 2 5 -9190.101358 0.118980853805232
1 1991 4 2 1 -9190.101358 2.43887209451167
1 1991 6 2 5 -9190.101358 0.00925530407655741
1 1991 6 2 1 -9190.101358 0.134995496439699
1 1991 7 2 5 -9190.101358 0.00691788163977555
1 1991 7 2 1 -9190.101358 0.0847475744129182
1 1991 1 3 5 -9190.101358 0.220484639371319
1 1991 1 3 1 -9190.101358 19.7891779448779
1 1991 2 3 5 -9190.101358 0.121600620279556
1 1991 2 3 1 -9190.101358 15.151191654148
1 1991 4 3 5 -9190.101358 0.0791215794922384
1 1991 4 3 1 -9190.101358 6.6705739870797
1 1991 6 3 5 -9190.101358 0.0395222801221234
1 1991 6 3 1 -9190.101358 1.28473094058386
1 1991 7 3 5 -9190.101358 0.0124874235923491
1 1991 7 3 1 -9190.101358 0.239619913661826
1 1991 1 1 6 -9190.101358 0.592205587211384
1 1991 1 1 2 -9190.101358 0.494772151155378
1 1991 2 1 6 -9190.101358 1.15069469187826
1 1991 2 1 2 -9190.101358 1.03424355688131
1 1991 4 1 6 -9190.101358 2.05706596771377
1 1991 4 1 2 -9190.101358 2.22502111290379
1 1991 6 1 6 -9190.101358 1.48306292635895
1 1991 6 1 2 -9190.101358 1.95137776492721
1 1991 7 1 6 -9190.101358 0.812871669164899
1 1991 7 1 2 -9190.101358 1.3454253203454
1 1991 1 2 6 -9190.101358 1.9751310947046
1 1991 1 2 2 -9190.101358 2.31576867274402
1 1991 2 2 6 -9190.101358 1.99279603509747
1 1991 2 2 2 -9190.101358 2.46959573781917
1 1991 4 2 6 -9190.101358 0.29126811866799
1 1991 4 2 2 -9190.101358 0.362512017450901
1 1991 6 2 6 -9190.101358 0.0208924409649536
1 1991 6 2 2 -9190.101358 0.0251465161516672
1 1991 7 2 6 -9190.101358 0.0132106670855958
1 1991 7 2 2 -9190.101358 0.0173043124501316
1 1991 1 3 6 -9190.101358 2.14280080300206
1 1991 1 3 2 -9190.101358 3.48738525175151
1 1991 2 3 6 -9190.101358 1.69594328080777
1 1991 2 3 2 -9190.101358 2.77880146507733
1 1991 4 3 6 -9190.101358 0.923317292426947
1 1991 4 3 2 -9190.101358 1.30392896815955
1 1991 6 3 6 -9190.101358 0.21741108347325
1 1991 6 3 2 -9190.101358 0.273086700667855
1 1991 7 3 6 -9190.101358 0.0365903779468107
1 1991 7 3 2 -9190.101358 0.050397755144512
1 1991 1 1 7 -9190.101358 1.78957156927783
1 1991 1 1 3 -9190.101358 1.22859877048379
1 1991 2 1 7 -9190.101358 3.43729801018835
1 1991 2 1 3 -9190.101358 2.28982037442382
1 1991 4 1 7 -9190.101358 5.72184490672556
1 1991 4 1 3 -9190.101358 4.61536701975771
1 1991 6 1 7 -9190.101358 3.87591744090294
1 1991 6 1 3 -9190.101358 3.80036064939288
1 1991 7 1 7 -9190.101358 1.95324121787884
1 1991 7 1 3 -9190.101358 2.41674993388487
1 1991 1 2 7 -9190.101358 7.61468252944918
1 1991 1 2 3 -9190.101358 6.47409212793654
1 1991 2 2 7 -9190.101358 8.05457590129462
1 1991 2 2 3 -9190.101358 6.8332078995603
1 1991 4 2 7 -9190.101358 1.26991750185045
1 1991 4 2 3 -9190.101358 1.06823432230926
1 1991 6 2 7 -9190.101358 0.100155585928178
1 1991 6 2 3 -9190.101358 0.0723527336613151
1 1991 7 2 7 -9190.101358 0.0600975831790953
1 1991 7 2 3 -9190.101358 0.0404151461466637
1 1991 1 3 7 -9190.101358 7.11593739676959
1 1991 1 3 3 -9190.101358 4.74888587550875
1 1991 2 3 7 -9190.101358 5.77543646187791
1 1991 2 3 3 -9190.101358 3.5523282662601
1 1991 4 3 7 -9190.101358 3.04393512073749
1 1991 4 3 3 -9190.101358 1.77832804011045
1 1991 6 3 7 -9190.101358 0.662541721984232
1 1991 6 3 3 -9190.101358 0.3978891255372
1 1991 7 3 7 -9190.101358 0.141582500197624
1 1991 7 3 3 -9190.101358 0.106968633757489
1 1991 1 1 8 -9190.101358 7.93906234774381
1 1991 1 1 4 -9190.101358 0.483364692114402
1 1991 2 1 8 -9190.101358 15.2716937042819
1 1991 2 1 4 -9190.101358 0.915031448637239
1 1991 4 1 8 -9190.101358 27.2139993708109
1 1991 4 1 4 -9190.101358 2.12037857057538
1 1991 6 1 8 -9190.101358 18.530455749948
1 1991 6 1 4 -9190.101358 1.89346053873804
1 1991 7 1 8 -9190.101358 9.87793945873231
1 1991 7 1 4 -9190.101358 1.35201551740309
1 1991 1 2 8 -9190.101358 35.0134937027438
1 1991 1 2 4 -9190.101358 4.53701043458659
1 1991 2 2 8 -9190.101358 36.0154534907886
1 1991 2 2 4 -9190.101358 4.95185140391694
1 1991 4 2 8 -9190.101358 4.98960237599442
1 1991 4 2 4 -9190.101358 0.873946412320574
1 1991 6 2 8 -9190.101358 0.320594454186432
1 1991 6 2 4 -9190.101358 0.0652468292050217
1 1991 7 2 8 -9190.101358 0.197046365030886
1 1991 7 2 4 -9190.101358 0.0419651613097993
1 1991 1 3 8 -9190.101358 30.4843233068699
1 1991 1 3 4 -9190.101358 1.39118323584418
1 1991 2 3 8 -9190.101358 23.1251426888534
1 1991 2 3 4 -9190.101358 1.03348443251261
1 1991 4 3 8 -9190.101358 10.6481911698474
1 1991 4 3 4 -9190.101358 0.620685719607511
1 1991 6 3 8 -9190.101358 2.18860268995732
1 1991 6 3 4 -9190.101358 0.153807154908929
1 1991 7 3 8 -9190.101358 0.516549451037604
1 1991 7 3 4 -9190.101358 0.0941493575899826
1 1991 1 1 9 -9190.101358 2.38177715648921
1 1991 1 1 5 -9190.101358 0.338068752094443
1 1991 2 1 9 -9190.101358 4.58799270206661
1 1991 6 2 9 -9190.101358 0.121048027616112
1 1991 4 1 9 -9190.101358 7.77891087443933
1 1991 7 2 9 -9190.101358 0.0733082502646911
1 1991 6 1 9 -9190.101358 5.35898036716955
1 1991 1 3 9 -9190.101358 9.23977192444827
1 1991 7 1 9 -9190.101358 2.76611288735906
1 1991 2 3 9 -9190.101358 7.45044448628417
1 1991 1 2 9 -9190.101358 9.58981362582272
1 1991 4 3 9 -9190.101358 3.95245520619884
1 1991 2 2 9 -9190.101358 10.0473719379304
1 1991 6 3 9 -9190.101358 0.875710593176742
1 1991 4 2 9 -9190.101358 1.56118562051844
1 1991 7 3 9 -9190.101358 0.177731913109383
1 1992 1 1 1 -8825.101358 6.44470185606643
1 1992 2 1 5 -8825.101358 0.59170652456354
1 1992 2 1 1 -8825.101358 13.2465851200921
1 1992 4 1 5 -8825.101358 1.00932278785123
1 1992 4 1 1 -8825.101358 22.0134295592258
1 1992 6 1 5 -8825.101358 0.74512545052418
1 1992 6 1 1 -8825.101358 14.0792150178455
1 1992 7 1 5 -8825.101358 0.49427528522034
1 1992 7 1 1 -8825.101358 6.55844754732461
1 1992 1 2 5 -8825.101358 0.785040412161291
1 1992 1 2 1 -8825.101358 19.7642613231858
1 1992 2 2 5 -8825.101358 0.821023865427021
1 1992 2 2 1 -8825.101358 19.2980784098586
1 1992 4 2 5 -8825.101358 0.120825276076211
1 1992 4 2 1 -8825.101358 2.44329743501591
1 1992 6 2 5 -8825.101358 0.00980502938403479
1 1992 6 2 1 -8825.101358 0.138214019635232
1 1992 7 2 5 -8825.101358 0.00600516117934342
1 1992 7 2 1 -8825.101358 0.0735662837857524
1 1992 1 3 5 -8825.101358 0.216986261068219
1 1992 1 3 1 -8825.101358 20.1999546023656
1 1992 2 3 5 -8825.101358 0.126618450119477
1 1992 2 3 1 -8825.101358 15.2238355335638
1 1992 4 3 5 -8825.101358 0.0845172134987862
1 1992 4 3 1 -8825.101358 6.82589806857503
1 1992 6 3 5 -8825.101358 0.0408983800828048
1 1992 6 3 1 -8825.101358 1.31042463798576
1 1992 7 3 5 -8825.101358 0.010857214013949
1 1992 7 3 1 -8825.101358 0.216109517402806
1 1992 1 1 6 -8825.101358 0.589098964805596
1 1992 1 1 2 -8825.101358 0.489261105392884
1 1992 2 1 6 -8825.101358 1.21519297316496
1 1992 2 1 2 -8825.101358 1.09159908340211
1 1992 4 1 6 -8825.101358 2.11914459801954
1 1992 4 1 2 -8825.101358 2.27727710119488
1 1992 6 1 6 -8825.101358 1.54244906586615
1 1992 6 1 2 -8825.101358 2.0179911194045
1 1992 7 1 6 -8825.101358 0.80386654323943
1 1992 7 1 2 -8825.101358 1.32260016997307
1 1992 1 2 6 -8825.101358 2.02759504745658
1 1992 1 2 2 -8825.101358 2.37487774897427
1 1992 2 2 6 -8825.101358 1.95326110661485
1 1992 2 2 2 -8825.101358 2.41852245375597
1 1992 4 2 6 -8825.101358 0.295210611377175
1 1992 4 2 2 -8825.101358 0.366430955746575
1 1992 6 2 6 -8825.101358 0.0219582997374526
1 1992 6 2 2 -8825.101358 0.0261884255387239
1 1992 7 2 6 -8825.101358 0.0114676991117506
1 1992 7 2 2 -8825.101358 0.0150212436077659
1 1992 1 3 6 -8825.101358 2.15989993950557
1 1992 1 3 2 -8825.101358 3.52632099953016
1 1992 2 3 6 -8825.101358 1.70893425561925
1 1992 2 3 2 -8825.101358 2.77030475750027
1 1992 4 3 6 -8825.101358 0.939110713145576
1 1992 4 3 2 -8825.101358 1.3233123516174
1 1992 6 3 6 -8825.101358 0.225957206242339
