region 	ground	litter_production	year
south	below	2.247336831	1990
south	below	2.228070716	1991
south	below	2.270971081	1992
south	below	2.303251997	1993
south	below	2.352374555	1994
south	below	2.383539064	1995
south	below	2.384490409	1996
south	below	2.43225245	1997
south	below	2.46728877	1998
south	below	2.47517758	1999
south	below	2.475445213	2000
south	below	2.465975487	2001
south	below	2.470892238	2002
south	below	2.474851737	2003
south	below	2.473887636	2004
south	below	2.466102814	2005
south	below	2.462872713	2006
south	below	2.487230987	2007
south	below	2.491295546	2008
south	below	2.447799724	2009
south	below	2.487520393	2010
south	below	2.485105677	2011
south	below	2.488848883	2012
south	below	2.540774469	2013
south	below	2.564834616	2014
south	below	2.606798686	2015
south	below	2.642343151	2016
north	below	1.894385227	1990
north	below	1.894236054	1991
north	below	1.9298432	1992
north	below	1.954907193	1993
north	below	1.984622704	1994
north	below	2.008016613	1995
north	below	2.018445616	1996
north	below	2.0471957	1997
north	below	2.073982721	1998
north	below	2.097330543	1999
north	below	2.121248276	2000
north	below	2.145393284	2001
north	below	2.163888098	2002
north	below	2.172629974	2003
north	below	2.175772086	2004
north	below	2.176405839	2005
north	below	2.168313731	2006
north	below	2.18387062	2007
north	below	2.221699513	2008
north	below	2.217983806	2009
north	below	2.263571187	2010
north	below	2.291048713	2011
north	below	2.309535841	2012
north	below	2.344401688	2013
north	below	2.370072263	2014
north	below	2.394499155	2015
north	below	2.411584751	2016
south	above	2.220286742	1990
south	above	2.184328508	1991
south	above	2.224702716	1992
south	above	2.251502324	1993
south	above	2.301439802	1994
south	above	2.325824545	1995
south	above	2.314389361	1996
south	above	2.361387226	1997
south	above	2.398909139	1998
south	above	2.406024675	1999
south	above	2.405085922	2000
south	above	2.394177635	2001
south	above	2.401126975	2002
south	above	2.407275141	2003
south	above	2.432984145	2004
south	above	2.425405879	2005
south	above	2.419295628	2006
south	above	2.458243009	2007
south	above	2.476706803	2008
south	above	2.416786442	2009
south	above	2.456380626	2010
south	above	2.447490667	2011
south	above	2.425541117	2012
south	above	2.454988724	2013
south	above	2.451801573	2014
south	above	2.474447853	2015
south	above	2.500460238	2016
north	above	1.859647021	1990
north	above	1.846029519	1991
north	above	1.877860056	1992
north	above	1.896782584	1993
north	above	1.922137197	1994
north	above	1.938851098	1995
north	above	1.938715992	1996
north	above	1.962789766	1997
north	above	1.993305554	1998
north	above	2.010146718	1999
north	above	2.02685425	2000
north	above	2.044908007	2001
north	above	2.056307874	2002
north	above	2.068314025	2003
north	above	2.097555121	2004
north	above	2.102274743	2005
north	above	2.093579574	2006
north	above	2.118906558	2007
north	above	2.172203195	2008
north	above	2.138339283	2009
north	above	2.178971361	2010
north	above	2.193699474	2011
north	above	2.194179717	2012
north	above	2.202203492	2013
north	above	2.196228713	2014
north	above	2.187912643	2015
north	above	2.181906972	2016
