a	b	c
-10,82328352	12,746657	1990
-13,57840655	12,89051133	1991
-12,80194756	12,281126	1992
-12,82840158	11,830071	1993
-12,02065959	11,204413	1994
-12,12033656	10,765898	1995
-13,92301483	10,66974333	1996
-13,27189508	10,02303867	1997
-13,24963544	9,449491333	1998
-13,69064919	9,122820667	1999
-13,88956632	8,841041	2000
-14,57667852	8,682949	2001
-14,94635021	8,428170667	2002
-15,24514078	8,310804333	2003
-15,54723242	8,271600333	2004
-15,99426564	8,297193667	2005
-16,57433011	8,357268333	2006
-15,08831676	7,996743333	2007
-15,55166471	7,801988333	2008
-17,25392596	7,875618667	2009
-14,29607051	7,022818	2010
-13,67152938	6,713864667	2011
-13,54407864	6,474376333	2012
-11,78893634	5,904283	2013
-12,11791061	5,632605	2014
-11,85103001	5,227687667	2015
-11,94743709	4,894098	2016
