vmi,muoto11,fra,suo,tkg,keskivuosi,ala,laji1,keskippa,biom1,biom2,biom3,biom4,biom5,biom6,biom7,biom8,biom9
10,1,1,1,1,2005.951747,2098.611305,1,2.849776222,7.780560753,0.581800362,1.522393335,0.59042614,0.347590812,0.708748371,2.171049264,10.02063014,2.879797636
10,1,1,1,1,2005.951747,2098.611305,2,5.911196287,14.40607945,1.902896616,5.292984469,4.011054177,0.625072382,1.588542595,6.3703866,27.39599692,7.958929194
10,1,1,1,1,2005.951747,2098.611305,3,8.659169933,24.42703555,3.94986238,5.50133917,1.58758829,0.209430033,2.456806945,8.429596271,36.76627368,10.86710175
10,1,1,1,2,2005.99,2793.492586,1,5.169090862,14.59456206,1.153243068,2.638775174,1.02374719,0.605748693,1.310494713,3.928303229,18.38996606,5.238797942
10,1,1,1,2,2005.99,2793.492586,2,9.148687464,22.11890198,2.8439077,7.588004176,5.588098284,0.986138714,2.313912012,9.251759243,40.45645266,11.56567126
10,1,1,1,2,2005.99,2793.492586,3,5.862950388,15.60901568,2.615295175,3.433213577,1.024951019,0.132169474,1.759357624,5.964630622,23.48941257,7.691168868
10,1,1,1,3,2006.131635,1644.66876,1,9.359215479,25.24984851,2.11152031,4.435035251,1.828283734,1.060087798,2.250350305,6.561114732,31.6445192,8.811465037
10,1,1,1,3,2006.131635,1644.66876,2,3.588539097,7.584185624,1.106440928,3.17260281,2.717938566,0.351857156,0.878895101,3.850320402,15.45971774,4.729215503
10,1,1,1,3,2006.131635,1644.66876,3,6.352441614,16.07148877,2.690619795,3.460945623,1.138712532,0.173361783,1.652599651,6.067581174,24.06950431,7.699075824
10,1,1,1,4,2005.786243,3299.813117,1,12.45393823,31.2131858,2.851132151,5.870563991,2.46467419,1.272588602,2.84451861,8.063150634,39.19519586,10.90766924
10,1,1,1,4,2005.786243,3299.813117,2,1.899900517,3.642933591,0.538927715,1.571037362,1.336804677,0.165193087,0.421755487,1.835624255,7.447526533,2.257379742
10,1,1,1,4,2005.786243,3299.813117,3,3.276190476,7.441937485,1.29042462,1.72889603,0.573885251,0.090412212,0.96026408,3.212506047,11.37805493,4.159471158
10,1,1,1,5,2006.015152,1843.705107,1,11.55311444,26.71858881,2.714333036,5.463265056,2.355385286,1.249156665,2.54349516,7.060764481,34.32393243,9.604259641
10,1,1,1,5,2006.015152,1843.705107,2,0.662878788,1.095331249,0.185434949,0.506099956,0.452290537,0.060897042,0.148754159,0.683995096,2.439358423,0.832749255
10,1,1,1,5,2006.015152,1843.705107,3,3.382575758,7.392844157,1.334498306,1.884960241,0.681515899,0.127110358,1.031934651,3.397002676,11.65823046,4.416322081
10,1,1,1,6,2005.938737,3704.869542,1,10.30591514,19.61108623,2.55312827,4.671792654,2.150476178,1.027029994,2.023373646,5.333158036,26.2945279,7.356531683
10,1,1,1,6,2005.938737,3704.869542,2,0.190386428,0.300310096,0.050899129,0.156294136,0.121866807,0.016696662,0.04298744,0.200417492,0.677761764,0.243404932
10,1,1,1,6,2005.938737,3704.869542,3,0.878416588,1.644079562,0.313635276,0.454991067,0.188937036,0.058064028,0.240353792,0.797742765,2.660278404,1.034669471
10,1,1,1,7,2006.1375,279.3492586,1,4.9,7.023868134,1.311341489,2.511797135,1.268045542,0.438533979,0.87629047,2.181491154,10.48285045,3.057781625
10,1,1,1,7,2006.1375,279.3492586,2,0,0,0,0,0,0,0,0,0,0
10,1,1,1,7,2006.1375,279.3492586,3,0.1,0.148229384,0.023059385,0.03774826,0.029381917,0.005881364,0.018712065,0.062347735,0.240860326,0.080836158
10,1,2,1,1,2008,3.491865732,1,0,0,0,0,0,0,0,0,0,0
