year	tree_CO2
1990	-10.82328352
1991	-13.57840655
1992	-12.80194756
1993	-12.82840158
1994	-12.02065959
1995	-12.12033656
1996	-13.92301483
1997	-13.27189508
1998	-13.24963544
1999	-13.69064919
2000	-13.88956632
2001	-14.57667852
2002	-14.94635021
2003	-15.24514078
2004	-15.54723242
2005	-15.99426564
2006	-16.57433011
2007	-15.08831676
2008	-15.55166471
2009	-17.25392596
2010	-14.29607051
2011	-13.67152938
2012	-13.54407864
2013	-11.78893634
2014	-12.11791061
2015	-11.85103001
2016	-11.94743709
