alue tkg 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016
1 1 18.60 18.13 17.65 17.18 16.70 16.23 15.75 15.28 14.80 15.76 16.72 17.68 18.64 19.60 19.76 19.92 20.08 20.24 20.40
1 2 20.40 19.80 19.20 18.60 18.00 17.40 16.80 16.20 15.60 16.54 17.48 18.42 19.36 20.30 20.38 20.46 20.54 20.62 20.70
1 3 19.00 18.54 18.08 17.61 17.15 16.69 16.23 15.76 15.30 16.40 17.50 18.60 19.70 20.80 20.66 20.52 20.38 20.24 20.10
1 4 15.40 15.16 14.93 14.69 14.45 14.21 13.98 13.74 13.50 14.46 15.42 16.38 17.34 18.30 18.28 18.26 18.24 18.22 18.20
1 5 12.60 12.53 12.45 12.38 12.30 12.23 12.15 12.08 12.00 13.08 14.16 15.24 16.32 17.40 17.38 17.36 17.34 17.32 17.30
1 6 10.20 10.08 9.95 9.83 9.70 9.58 9.45 9.33 9.20 9.90 10.60 11.30 12.00 12.70 12.80 12.90 13.00 13.10 13.20
1 7 4.50 4.48 4.45 4.43 4.40 4.38 4.35 4.33 4.30 4.88 5.46 6.04 6.62 7.20 7.18 7.16 7.14 7.12 7.10
2 1 15.10 15.10 15.10 15.10 15.10 14.48 13.86 13.24 12.62 12.00 12.90 13.79 14.69 17.10 17.00 16.90 16.80 16.70 16.60
2 2 19.50 19.50 19.50 19.50 19.50 18.30 17.10 15.90 14.70 13.50 14.32 15.14 15.96 18.80 19.22 19.64 20.06 20.48 20.90
2 3 14.70 14.70 14.70 14.70 14.70 14.06 13.42 12.78 12.14 11.50 12.27 13.04 13.82 16.00 16.30 16.60 16.90 17.20 17.50
2 4 11.20 11.20 11.20 11.20 11.20 11.00 10.80 10.60 10.40 10.20 11.00 11.80 12.60 14.40 14.62 14.84 15.06 15.28 15.50
2 5 8.10 8.10 8.10 8.10 8.10 8.28 8.46 8.64 8.82 9.00 9.82 10.63 11.45 12.90 13.28 13.66 14.04 14.42 14.80
2 6 7.30 7.30 7.30 7.30 7.30 7.18 7.06 6.94 6.82 6.70 7.26 7.81 8.37 9.60 9.76 9.92 10.08 10.24 10.40
2 7 2.60 2.60 2.60 2.60 2.60 2.92 3.24 3.56 3.88 4.20 4.66 5.13 5.59 6.20 6.10 6.00 5.90 5.80 5.70
