ALUE	YEAR	MONTH	meanT
1	1960	1	-10.78903409
1	1960	2	-10.75340909
1	1960	3	-4.691079545
1	1960	4	1.585681818
1	1960	5	10.45119318
1	1960	6	15.36880682
1	1960	7	17.82926136
1	1960	8	14.62255682
1	1960	9	9.076875
1	1960	10	1.053295455
1	1960	11	-2.374147727
1	1960	12	-2.803579545
1	1961	1	-5.419602273
1	1961	2	-2.149090909
1	1961	3	-1.503977273
1	1961	4	0.783636364
1	1961	5	8.627840909
1	1961	6	16.30528409
1	1961	7	15.87738636
1	1961	8	13.46568182
1	1961	9	8.683920455
1	1961	10	7.981647727
1	1961	11	0.823579545
1	1961	12	-7.019886364
1	1962	1	-5.838409091
1	1962	2	-6.939375
1	1962	3	-9.561477273
1	1962	4	3.393352273
1	1962	5	7.88375
1	1962	6	11.41755682
1	1962	7	13.72875
1	1962	8	11.83522727
1	1962	9	8.545625
1	1962	10	5.520227273
1	1962	11	0.388181818
1	1962	12	-9.007840909
1	1963	1	-11.79647727
1	1963	2	-12.52784091
1	1963	3	-10.19380682
1	1963	4	1.843806818
1	1963	5	12.21625
1	1963	6	12.90664773
1	1963	7	15.71772727
1	1963	8	15.22596591
1	1963	9	11.63755682
1	1963	10	4.800738636
1	1963	11	-1.264943182
1	1963	12	-6.1875
1	1964	1	-4.201306818
1	1964	2	-10.74880682
1	1964	3	-6.273125
1	1964	4	1.687613636
1	1964	5	8.643068182
1	1964	6	13.17244318
1	1964	7	15.63477273
1	1964	8	13.46392045
1	1964	9	8.755113636
1	1964	10	6.096079545
1	1964	11	-2.486022727
1	1964	12	-4.242159091
1	1965	1	-5.4475
1	1965	2	-9.41125
1	1965	3	-5.126477273
1	1965	4	2.184772727
1	1965	5	5.720965909
1	1965	6	14.134375
1	1965	7	13.86539773
1	1965	8	13.23272727
1	1965	9	11.29988636
1	1965	10	4.314488636
1	1965	11	-6.40375
1	1965	12	-6.424943182
1	1966	1	-16.40159091
1	1966	2	-16.99335227
1	1966	3	-5.866477273
1	1966	4	-1.020965909
1	1966	5	8.643125
1	1966	6	16.25113636
1	1966	7	16.45545455
1	1966	8	13.29534091
1	1966	9	7.358352273
1	1966	10	3.468238636
1	1966	11	0.789488636
1	1966	12	-6.757159091
1	1967	1	-13.49346591
1	1967	2	-6.987897727
1	1967	3	-0.045568182
1	1967	4	2.205909091
1	1967	5	8.405284091
1	1967	6	12.87948864
1	1967	7	15.86232955
1	1967	8	15.75897727
1	1967	9	10.86551136
1	1967	10	6.382613636
1	1967	11	2.290511364
1	1967	12	-12.47295455
1	1968	1	-17.709375
1	1968	2	-7.833522727
1	1968	3	-2.569602273
1	1968	4	2.543409091
1	1968	5	6.660397727
1	1968	6	15.64329545
1	1968	7	14.32647727
1	1968	8	14.73096591
1	1968	9	8.541193182
1	1968	10	0.252840909
1	1968	11	-3.410568182
1	1968	12	-3.524886364
1	1969	1	-12.53931818
1	1969	2	-12.03710227
1	1969	3	-7.384545455
1	1969	4	1.895738636
1	1969	5	7.492159091
1	1969	6	14.42988636
1	1969	7	15.83022727
1	1969	8	15.68965909
1	1969	9	8.501420455
1	1969	10	4.206647727
1	1969	11	-1.273181818
1	1969	12	-8.831534091
1	1970	1	-11.22857955
1	1970	2	-14.71221591
1	1970	3	-2.975625
1	1970	4	0.466136364
1	1970	5	8.454034091
1	1970	6	16.3425
1	1970	7	16.21005682
1	1970	8	14.439375
1	1970	9	8.846193182
1	1970	10	3.079488636
1	1970	11	-2.969090909
1	1970	12	-4.613352273
1	1971	1	-4.129545455
1	1971	2	-8.876420455
1	1971	3	-6.83875
1	1971	4	0.250852273
1	1971	5	8.610113636
1	1971	6	13.30903409
1	1971	7	15.851875
1	1971	8	14.39119318
1	1971	9	7.747954545
1	1971	10	2.821590909
1	1971	11	-3.800852273
1	1971	12	-5.154090909
1	1972	1	-10.26471591
1	1972	2	-6.672102273
1	1972	3	-4.297556818
1	1972	4	1.12625
1	1972	5	8.269204545
1	1972	6	16.23801136
1	1972	7	19.25528409
