"","x"
"1",0.00312000000000001
"2",-0.00525749999999992
"3",-0.00174800000000008
"4",-0.00323799999999999
"5",-0.00595600000000012
"6",-0.014532
"7",-0.0168940000000001
"8",-0.0266579999999999
"9",-0.0334520000000001
"10",-0.0374459999999999
"11",-0.0325100000000001
"12",-0.028318
"13",-0.024722
"14",-0.021604
"15",-0.018868
"16",-0.016452
"17",-0.014312
"18",-0.012412
"19",-0.010712
"20",-0.0091899999999999
"21",-0.00782399999999992
"22",-0.00659399999999994
"23",-0.00548999999999999
"24",-0.00450400000000002
"25",-0.00361000000000011
"26",-0.00281400000000005
"27",-0.00210200000000018
"28",-0.00146200000000007
"29",-0.000883999999999929
"30",-0.00037199999999995
"31",8.99999999999679e-05
"32",0.000504000000000104
"33",0.00087400000000013
"34",0.00120199999999997
"35",0.001492
"36",0.00163500000000005
"37",0.00176666666666669
