"","x"
"1",-0.0162066666666663
"2",-0.03565
"3",-0.0430120000000001
"4",-0.062452
"5",-0.0516240000000002
"6",-0.0203260000000002
"7",0.00337600000000009
"8",0.0101120000000002
"9",0.0114700000000001
"10",0.00142000000000007
"11",-0.00208199999999987
"12",-0.0119900000000001
"13",-0.00187400000000011
"14",0.0125299999999999
"15",0.023554
"16",0.0255699999999999
"17",0.0394500000000001
"18",0.0454000000000001
"19",0.045012
"20",0.04184
"21",0.0392439999999999
"22",0.036914
"23",0.0348039999999999
"24",0.032888
"25",0.031138
"26",0.029542
"27",0.028074
"28",0.0267240000000001
"29",0.0254860000000001
"30",0.0243360000000001
"31",0.0232700000000001
"32",0.022278
"33",0.0213519999999999
"34",0.0204879999999999
"35",0.01968
"36",0.018918
"37",0.0182080000000001
"38",0.017536
"39",0.0169040000000001
"40",0.01631
"41",0.0157499999999999
"42",0.0152159999999999
"43",0.0147200000000002
"44",0.0142439999999999
"45",0.0137879999999999
"46",0.013565
"47",0.0133466666666668
