"","x"
"1",-0.0165633333333336
"2",-0.0360050000000003
"3",-0.0433620000000001
"4",-0.0627960000000002
"5",-0.051966
"6",-0.020534
"7",0.0032960000000001
"8",0.0101680000000002
"9",0.0116720000000001
"10",0.00176999999999996
"11",-0.0017199999999999
"12",-0.0115959999999999
"13",-0.00145600000000012
"14",0.0129759999999999
"15",0.0240399999999999
"16",0.027774
"17",0.0273400000000001
"18",0.029562
"19",0.0299379999999999
"20",0.039066
"21",0.04918
"22",0.0649159999999998
"23",0.0823880000000001
"24",0.0977400000000001
"25",0.101478
"26",0.104142
"27",0.111726
"28",0.106742
"29",0.098532
"30",0.0956700000000001
"31",0.0883079999999998
"32",0.0808579999999999
"33",0.083276
"34",0.0798800000000002
"35",0.060496
"36",0.0638080000000002
"37",0.0713660000000003
"38",0.067042
"39",0.0828219999999998
"40",0.108826
"41",0.122308
"42",0.141086
"43",0.163384
"44",0.182486
"45",0.186736
"46",0.19152
"47",0.193926666666667
