"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.18345,0.02119,0.02458,0.21046,0.0152,0.91344,0.08994,0.07133,1.04612,0.04321,0.83833,0.08106,0.03624,0.82291,0.01068
"2",0.18244,0.02108,0.02459,0.20959,0.01554,0.91391,0.09004,0.07141,1.04734,0.04427,0.84384,0.08163,0.03666,0.83069,0.011
"3",0.18119,0.02092,0.02451,0.20867,0.01588,0.91321,0.09,0.07139,1.04769,0.04533,0.84831,0.08213,0.03705,0.83788,0.01133
"4",0.17765,0.02045,0.02415,0.20625,0.01621,0.90962,0.08971,0.07107,1.04534,0.04639,0.85185,0.08254,0.0374,0.84429,0.01166
"5",0.17278,0.01977,0.02347,0.20241,0.01654,0.89741,0.08874,0.07026,1.03718,0.04744,0.85165,0.08274,0.03772,0.84889,0.01199
"6",0.17175,0.01989,0.02344,0.20077,0.01686,0.90143,0.08872,0.07026,1.03773,0.04849,0.85735,0.08309,0.03803,0.8556,0.01232
"7",0.16951,0.0196,0.02324,0.19853,0.01718,0.90135,0.08876,0.07008,1.03644,0.04954,0.86176,0.08349,0.03833,0.86165,0.01265
"8",0.16685,0.01925,0.02291,0.19588,0.01749,0.89726,0.08847,0.06972,1.03293,0.05059,0.86458,0.08383,0.03861,0.86691,0.01298
"9",0.16133,0.01838,0.02202,0.191,0.0178,0.87762,0.08697,0.06851,1.01948,0.05163,0.86876,0.08422,0.03891,0.87269,0.01331
"10",0.15218,0.01707,0.02053,0.1832,0.01809,0.84303,0.084,0.06631,0.99443,0.05264,0.86539,0.08426,0.03917,0.87508,0.01365
"11",0.14679,0.01664,0.01969,0.17702,0.01837,0.82369,0.08174,0.06476,0.97546,0.05362,0.86653,0.08432,0.03942,0.87889,0.01399
"12",0.14294,0.01627,0.0191,0.17178,0.01864,0.80799,0.08006,0.06344,0.95817,0.05458,0.86819,0.08444,0.03966,0.88276,0.01433
"13",0.14145,0.01622,0.01888,0.16828,0.01891,0.79868,0.07897,0.06254,0.94499,0.05552,0.87161,0.08467,0.03991,0.8873,0.01467
"14",0.13975,0.01605,0.0187,0.16522,0.01917,0.79048,0.07811,0.06175,0.933,0.05645,0.87519,0.08497,0.04015,0.8918,0.01501
"15",0.13597,0.0155,0.01818,0.16098,0.01943,0.7735,0.07666,0.06052,0.91605,0.05737,0.87514,0.08513,0.04037,0.89468,0.01535
"16",0.13428,0.01542,0.018,0.1581,0.01968,0.76453,0.07559,0.05971,0.9036,0.05827,0.87952,0.08541,0.0406,0.89927,0.01569
"17",0.134,0.0155,0.01807,0.1564,0.01993,0.7616,0.07513,0.05925,0.89533,0.05916,0.88754,0.08595,0.04086,0.90543,0.01603
"18",0.13346,0.01548,0.01815,0.155,0.02018,0.75999,0.07491,0.0589,0.88878,0.06005,0.89788,0.08673,0.04114,0.91275,0.01638
"19",0.13355,0.01554,0.0183,0.15431,0.02043,0.76021,0.07487,0.05872,0.88446,0.06094,0.90998,0.08772,0.04145,0.92115,0.01673
"20",0.13401,0.01565,0.0185,0.1542,0.02068,0.76229,0.07501,0.05868,0.88228,0.06183,0.92442,0.08892,0.04179,0.9309,0.01708
"21",0.13372,0.0156,0.01858,0.15385,0.02093,0.76224,0.07505,0.05854,0.87963,0.06272,0.93649,0.09012,0.04214,0.94005,0.01744
"22",0.13454,0.01574,0.01879,0.15424,0.02118,0.76483,0.07524,0.05862,0.87937,0.06361,0.9487,0.09131,0.04251,0.94957,0.01781
"23",0.13602,0.01595,0.01907,0.15524,0.02143,0.76903,0.07561,0.05885,0.88098,0.0645,0.97807,0.09324,0.0429,0.96618,0.01818
"24",0.13676,0.01603,0.01926,0.15604,0.02169,0.7725,0.07596,0.05904,0.88269,0.0654,1.00669,0.09563,0.04336,0.98356,0.01856
"25",0.13539,0.01577,0.0191,0.15547,0.02195,0.76813,0.07572,0.05873,0.87965,0.06631,1.0285,0.09792,0.04386,0.99905,0.01896
"26",0.13751,0.01619,0.01946,0.15679,0.02221,0.77572,0.07619,0.05917,0.884,0.06723,1.04551,0.0999,0.0444,1.01323,0.01937
"27",0.13917,0.01646,0.01988,0.15826,0.02248,0.78781,0.07722,0.05981,0.89162,0.06816,1.07607,0.10232,0.045,1.03326,0.01979
"28",0.13794,0.01603,0.01958,0.15703,0.02274,0.77639,0.07673,0.05934,0.88627,0.06909,1.08942,0.10427,0.04565,1.04726,0.02021
"29",0.14211,0.01678,0.02016,0.15898,0.02301,0.7847,0.07712,0.05996,0.89187,0.07002,1.11,0.10622,0.04636,1.06446,0.02064
"30",0.1462,0.01731,0.0208,0.16179,0.02329,0.79556,0.07809,0.06079,0.9001,0.07096,1.12939,0.10814,0.04708,1.08148,0.02108
"31",0.1484,0.01751,0.02119,0.16406,0.02357,0.80277,0.07888,0.06141,0.9069,0.07191,1.14796,0.11,0.04781,1.0984,0.02153
"32",0.15182,0.01798,0.02177,0.16714,0.02386,0.81566,0.08002,0.06238,0.9177,0.07288,1.16926,0.11196,0.04857,1.11678,0.02199
"33",0.15442,0.01825,0.0222,0.16997,0.02416,0.82552,0.08106,0.06321,0.92758,0.07387,1.18775,0.11386,0.04934,1.13437,0.02246
"34",0.15623,0.0184,0.02246,0.17229,0.02446,0.83175,0.08178,0.06388,0.93571,0.07488,1.2031,0.11556,0.05012,1.15093,0.02294
"35",0.15743,0.01848,0.02258,0.17401,0.02477,0.83516,0.08221,0.0644,0.94199,0.07589,1.21519,0.117,0.05089,1.16612,0.02343
"36",0.15933,0.01874,0.02283,0.17611,0.02508,0.84205,0.08281,0.06505,0.9499,0.07691,1.23042,0.11844,0.05167,1.18247,0.02392
"37",0.16408,0.01945,0.02354,0.17997,0.0254,0.85923,0.08425,0.06628,0.9644,0.07795,1.25256,0.12025,0.05248,1.20179,0.02442
"38",0.1675,0.01982,0.02409,0.18357,0.02573,0.87395,0.08574,0.06741,0.97853,0.07901,1.2742,0.12222,0.0533,1.22122,0.02493
