"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.18729,0.02178,0.02519,0.21527,0.01756,1.24332,0.12183,0.09234,1.40425,0.06682,1.166,0.11247,0.0507,1.15815,0.01706
"2",0.18957,0.02206,0.02569,0.2171,0.01796,1.25727,0.12332,0.09333,1.41646,0.06845,1.17918,0.1137,0.05128,1.17107,0.01757
"3",0.18736,0.02157,0.02539,0.21611,0.01836,1.24658,0.12287,0.0931,1.41435,0.07009,1.18198,0.11445,0.05181,1.17959,0.01808
"4",0.17796,0.02011,0.02394,0.20971,0.01874,1.20468,0.11954,0.09094,1.38962,0.0717,1.17062,0.11421,0.05222,1.18127,0.01859
"5",0.17171,0.01942,0.02285,0.20367,0.01911,1.16854,0.11594,0.08884,1.36317,0.07326,1.15947,0.1135,0.05258,1.18197,0.0191
"6",0.16806,0.01909,0.02219,0.19892,0.01947,1.14235,0.11314,0.08709,1.3395,0.07478,1.15096,0.11272,0.05289,1.18281,0.01961
"7",0.16711,0.01912,0.02202,0.19604,0.01982,1.12944,0.11155,0.08599,1.32268,0.07628,1.14769,0.11219,0.05318,1.18509,0.02011
"8",0.17303,0.02015,0.02294,0.1984,0.02018,1.14584,0.11245,0.08661,1.32543,0.07777,1.15663,0.11242,0.05351,1.19241,0.02062
"9",0.1788,0.02085,0.02387,0.20219,0.02055,1.16142,0.11395,0.08751,1.33215,0.07928,1.16687,0.1131,0.05386,1.20061,0.02113
"10",0.18039,0.0209,0.02422,0.20425,0.02093,1.16541,0.1146,0.08783,1.33397,0.0808,1.17314,0.11376,0.05419,1.20718,0.02164
"11",0.17516,0.02003,0.02357,0.20187,0.0213,1.14878,0.11345,0.08685,1.32244,0.08231,1.17086,0.11393,0.05443,1.20968,0.02215
"12",0.17225,0.01973,0.02313,0.19966,0.02166,1.13558,0.11212,0.086,1.31145,0.08381,1.16921,0.11391,0.05466,1.2121,0.02266
"13",0.17248,0.01987,0.02313,0.19908,0.02202,1.13266,0.11159,0.08571,1.30621,0.0853,1.1714,0.11402,0.0549,1.21594,0.02317
"14",0.1753,0.02035,0.02359,0.2007,0.02238,1.144,0.11234,0.08619,1.31045,0.08679,1.17936,0.11447,0.05515,1.22219,0.02369
"15",0.17355,0.01992,0.0233,0.19981,0.02274,1.13117,0.11163,0.08557,1.30195,0.08828,1.17741,0.11462,0.05536,1.22435,0.02421
"16",0.17454,0.02016,0.02344,0.20044,0.0231,1.13307,0.11151,0.0856,1.30109,0.08976,1.18105,0.11485,0.05557,1.22858,0.02473
"17",0.17791,0.02066,0.02395,0.20282,0.02347,1.14437,0.11238,0.08622,1.30716,0.09125,1.18886,0.11537,0.05581,1.23469,0.02525
"18",0.18137,0.0211,0.02451,0.20572,0.02385,1.15876,0.1137,0.08709,1.31681,0.09275,1.19889,0.11614,0.05607,1.24193,0.02577
"19",0.18411,0.02139,0.02494,0.20851,0.02423,1.16914,0.11481,0.08784,1.32572,0.09426,1.21497,0.11733,0.05639,1.25212,0.0263
"20",0.17967,0.02054,0.02426,0.2067,0.02461,1.15052,0.11366,0.08698,1.31668,0.09577,1.21806,0.11808,0.05666,1.25707,0.02683
"21",0.18058,0.02084,0.02433,0.2072,0.02499,1.15128,0.11335,0.08703,1.31709,0.09727,1.22767,0.1189,0.05697,1.26486,0.02737
"22",0.18285,0.02118,0.02465,0.20891,0.02537,1.15977,0.11397,0.08749,1.32253,0.09878,1.23978,0.11991,0.0573,1.27398,0.02791
"23",0.19027,0.02226,0.02572,0.21442,0.02576,1.1865,0.11617,0.08913,1.34131,0.10032,1.25901,0.12139,0.05771,1.28681,0.02846
"24",0.19675,0.02303,0.02673,0.22039,0.02617,1.21472,0.11887,0.09097,1.36385,0.10189,1.27976,0.12317,0.05817,1.30095,0.02902
"25",0.19842,0.02301,0.02698,0.22362,0.02659,1.22225,0.12009,0.09183,1.37576,0.10349,1.2923,0.12468,0.05863,1.31217,0.02959
"26",0.20518,0.024,0.02795,0.22987,0.02702,1.25014,0.1224,0.09375,1.40008,0.10511,1.31447,0.1265,0.05916,1.32794,0.03016
"27",0.21141,0.02474,0.0289,0.23628,0.02746,1.27982,0.12524,0.09563,1.42663,0.10677,1.33959,0.12867,0.05976,1.34563,0.03074
"28",0.21657,0.02531,0.02969,0.24237,0.02792,1.30682,0.12794,0.09737,1.45303,0.10848,1.36572,0.13104,0.06041,1.36456,0.03134
"29",0.22119,0.02584,0.03039,0.24809,0.02839,1.33328,0.13054,0.09902,1.47972,0.11023,1.39318,0.13358,0.06112,1.38485,0.03195
"30",0.22291,0.02591,0.03064,0.25169,0.02887,1.34769,0.13222,0.09992,1.49894,0.11202,1.41801,0.13606,0.06186,1.40467,0.03257
"31",0.22552,0.02622,0.03096,0.25525,0.02935,1.36212,0.13365,0.10071,1.51704,0.11383,1.44062,0.13839,0.06264,1.42414,0.0332
"32",0.22768,0.02644,0.03122,0.25826,0.02984,1.37513,0.13496,0.10147,1.53374,0.11566,1.46145,0.14055,0.06344,1.44317,0.03384
"33",0.22938,0.0266,0.03139,0.26081,0.03033,1.38452,0.13595,0.10195,1.54732,0.1175,1.50452,0.1436,0.06421,1.47073,0.0345
"34",0.22874,0.02643,0.03123,0.26162,0.03082,1.3875,0.13639,0.10216,1.5561,0.11935,1.54369,0.14712,0.06506,1.49818,0.03517
"35",0.22734,0.0262,0.03094,0.26121,0.03131,1.38251,0.13608,0.10157,1.55731,0.12121,1.57395,0.15037,0.06597,1.52305,0.03586
"36",0.23082,0.02681,0.0314,0.2636,0.03181,1.39953,0.13726,0.10237,1.57135,0.12309,1.60187,0.15332,0.06693,1.54758,0.03657
