"","x"
"1",0.00312000000000001
"2",-0.00525749999999992
"3",-0.00174800000000008
"4",-0.00323799999999999
"5",-0.00595600000000012
"6",-0.014532
"7",-0.027542
"8",-0.0417299999999999
"9",-0.051782
"10",-0.05589
"11",-0.0510059999999999
"12",-0.04153
"13",-0.035018
"14",-0.0271100000000001
"15",-0.02178
"16",-0.0155980000000001
"17",-0.00312200000000011
"18",0.00398200000000006
"19",0.00958600000000001
"20",0.0199660000000001
"21",0.0289800000000001
"22",0.031568
"23",0.0398099999999999
"24",0.0515180000000001
"25",0.04267
"26",0.0442499999999999
"27",0.051754
"28",0.05305
"29",0.0527979999999998
"30",0.06556
"31",0.0659800000000001
"32",0.0629340000000001
"33",0.063804
"34",0.0678720000000002
"35",0.07254
"36",0.075315
"37",0.0839033333333334
