"","x"
"1",-0.0162066666666663
"2",-0.03565
"3",-0.0430120000000001
"4",-0.062452
"5",-0.0516240000000002
"6",-0.0203260000000002
"7",0.00337600000000009
"8",0.0101120000000002
"9",0.0114700000000001
"10",0.00142000000000007
"11",-0.00208199999999987
"12",-0.0119900000000001
"13",-0.00187400000000011
"14",0.0125299999999999
"15",0.023554
"16",0.0255699999999999
"17",0.0235580000000001
"18",0.0246080000000001
"19",0.024394
"20",0.0334159999999999
"21",0.0455179999999999
"22",0.0635960000000001
"23",0.0826079999999999
"24",0.098944
"25",0.103404
"26",0.106378
"27",0.11378
"28",0.109184
"29",0.101646
"30",0.0988300000000001
"31",0.091638
"32",0.0851560000000001
"33",0.0885399999999999
"34",0.0862499999999999
"35",0.0681139999999999
"36",0.072512
"37",0.0803739999999999
"38",0.0764900000000001
"39",0.09222
"40",0.118484
"41",0.13305
"42",0.15321
"43",0.177278
"44",0.198116
"45",0.203808
"46",0.209305
"47",0.212396666666667
