"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.18263,0.02105,0.02445,0.20993,0.0152,0.91033,0.08972,0.07115,1.04415,0.04321,0.83833,0.08106,0.03624,0.82291,0.01068
"2",0.18101,0.02087,0.02436,0.20853,0.01554,0.90826,0.08956,0.07106,1.0434,0.04427,0.84384,0.08163,0.03666,0.83069,0.011
"3",0.17926,0.02065,0.0242,0.20711,0.01588,0.90538,0.0893,0.07088,1.04179,0.04533,0.84831,0.08213,0.03705,0.83788,0.01133
"4",0.1753,0.02014,0.02377,0.20422,0.01621,0.89988,0.08881,0.07042,1.03753,0.04638,0.85185,0.08254,0.0374,0.84429,0.01166
"5",0.17006,0.01942,0.02304,0.19993,0.01653,0.88596,0.08766,0.06948,1.02752,0.04742,0.85165,0.08274,0.03772,0.84889,0.01199
"6",0.1687,0.01951,0.02296,0.19788,0.01685,0.88842,0.08748,0.06936,1.02629,0.04846,0.85735,0.08309,0.03803,0.8556,0.01232
"7",0.16617,0.01919,0.02271,0.19526,0.01716,0.8869,0.08738,0.06906,1.02329,0.04949,0.86176,0.08349,0.03833,0.86165,0.01265
"8",0.16324,0.01881,0.02235,0.19226,0.01747,0.88146,0.08695,0.06859,1.01814,0.05052,0.86458,0.08383,0.03861,0.86691,0.01298
"9",0.15636,0.01772,0.02125,0.18634,0.01777,0.85635,0.08502,0.06704,1.00046,0.05154,0.86876,0.08422,0.03891,0.87269,0.01331
"10",0.14616,0.01629,0.01959,0.17754,0.01805,0.8172,0.08159,0.06452,0.97129,0.05252,0.86539,0.08426,0.03917,0.87508,0.01365
"11",0.13994,0.01578,0.01862,0.17043,0.01832,0.79397,0.07892,0.06268,0.94837,0.05347,0.86653,0.08432,0.03942,0.87889,0.01399
"12",0.1354,0.01533,0.01793,0.16435,0.01858,0.7749,0.0769,0.06108,0.92734,0.05439,0.86819,0.08444,0.03966,0.88276,0.01433
"13",0.13331,0.01522,0.01763,0.16009,0.01883,0.76263,0.0755,0.05994,0.91065,0.05529,0.87161,0.08467,0.03991,0.8873,0.01467
"14",0.13111,0.01501,0.01739,0.15635,0.01908,0.7518,0.07437,0.05892,0.89538,0.05618,0.87519,0.08497,0.04015,0.8918,0.01501
"15",0.12689,0.01441,0.01681,0.1515,0.01932,0.73245,0.07269,0.05748,0.87538,0.05705,0.87514,0.08513,0.04037,0.89468,0.01535
"16",0.12452,0.01424,0.01654,0.1479,0.01955,0.72025,0.07132,0.05643,0.85942,0.0579,0.87952,0.08541,0.0406,0.89927,0.01569
"17",0.12336,0.01421,0.01649,0.14533,0.01978,0.71323,0.07048,0.05568,0.84704,0.05874,0.88745,0.08595,0.04086,0.9054,0.01603
"18",0.12191,0.01408,0.01644,0.143,0.02001,0.70738,0.06984,0.05502,0.83617,0.05957,0.89792,0.08673,0.04114,0.91276,0.01638
"19",0.12101,0.01402,0.01645,0.1413,0.02024,0.70295,0.06936,0.0545,0.82715,0.06039,0.91021,0.08773,0.04145,0.92123,0.01673
"20",0.12037,0.01398,0.01649,0.14007,0.02046,0.69988,0.06901,0.05408,0.81981,0.06121,0.92482,0.08894,0.04179,0.93105,0.01708
"21",0.11924,0.01385,0.01645,0.13872,0.02068,0.69562,0.06861,0.05361,0.81242,0.06202,0.93719,0.09016,0.04214,0.94032,0.01744
"22",0.11942,0.01394,0.01657,0.13826,0.0209,0.69477,0.06844,0.0534,0.80789,0.06283,0.94983,0.09138,0.04251,0.95002,0.0178
"23",0.12031,0.01408,0.01678,0.13848,0.02112,0.69575,0.06848,0.05337,0.80543,0.06364,0.97953,0.09334,0.04291,0.96679,0.01817
"24",0.12068,0.01413,0.01693,0.13867,0.02134,0.69688,0.06858,0.05335,0.80371,0.06445,1.00878,0.09577,0.04337,0.98443,0.01855
"25",0.11912,0.01386,0.01677,0.13767,0.02156,0.69093,0.06817,0.05288,0.79789,0.06525,1.03156,0.09811,0.04387,1.0003,0.01894
"26",0.12121,0.01429,0.01715,0.13873,0.02178,0.69766,0.06852,0.05321,0.80013,0.06605,1.04987,0.10018,0.04441,1.01499,0.01934
"27",0.12268,0.01454,0.01756,0.13991,0.02201,0.7084,0.06942,0.05373,0.80554,0.06686,1.08185,0.1027,0.04501,1.0356,0.01974
"28",0.121,0.01404,0.01721,0.13824,0.02224,0.69462,0.06874,0.0531,0.79752,0.06767,1.09638,0.10478,0.04567,1.05017,0.02015
"29",0.12468,0.01474,0.01772,0.13969,0.02247,0.70032,0.06888,0.05354,0.80028,0.06847,1.11827,0.10685,0.04639,1.068,0.02057
"30",0.12837,0.01522,0.0183,0.14201,0.0227,0.70878,0.0696,0.05419,0.80574,0.06928,1.13879,0.10889,0.04713,1.08565,0.021
"31",0.13034,0.0154,0.01866,0.1439,0.02294,0.71426,0.07021,0.05467,0.81017,0.0701,1.15866,0.11086,0.04788,1.10328,0.02144
"32",0.13374,0.0159,0.01925,0.14675,0.02318,0.72625,0.07123,0.05555,0.81917,0.07093,1.1816,0.11296,0.04866,1.12249,0.02188
"33",0.13649,0.01619,0.01972,0.14951,0.02343,0.73593,0.07223,0.05634,0.82782,0.07177,1.20206,0.11501,0.04945,1.14105,0.02233
"34",0.13869,0.01641,0.02006,0.15198,0.02368,0.74299,0.07301,0.05703,0.83556,0.07262,1.21997,0.11691,0.05025,1.15882,0.02279
"35",0.14015,0.01652,0.02025,0.15387,0.02394,0.74691,0.0735,0.05758,0.84159,0.07347,1.23441,0.11857,0.05105,1.17526,0.02325
"36",0.14236,0.01682,0.02057,0.1562,0.0242,0.75449,0.07416,0.05827,0.84956,0.07433,1.25205,0.12024,0.05186,1.19296,0.02372
"37",0.14753,0.01759,0.02136,0.16038,0.02447,0.77282,0.07568,0.05958,0.86451,0.07521,1.27682,0.12228,0.05271,1.21376,0.0242
"38",0.15144,0.01803,0.022,0.16437,0.02475,0.78902,0.0773,0.06081,0.87942,0.0761,1.30126,0.12449,0.05357,1.23478,0.02469
