"","x"
"1",-0.0162066666666663
"2",-0.03565
"3",-0.0430120000000001
"4",-0.062452
"5",-0.0516240000000002
"6",-0.0203260000000002
"7",0.00337600000000009
"8",0.0101120000000002
"9",0.0114700000000001
"10",0.00142000000000007
"11",-0.00208199999999987
"12",-0.0119900000000001
"13",-0.00187400000000011
"14",0.0125299999999999
"15",0.023554
"16",0.0255699999999999
"17",0.039518
"18",0.045234
"19",0.044448
"20",0.0406840000000001
"21",0.037242
"22",0.0338260000000002
"23",0.0311140000000002
"24",0.028486
"25",0.0258579999999998
"26",0.0232099999999999
"27",0.0207759999999999
"28",0.01858
"29",0.0167819999999999
"30",0.015812
"31",0.015278
"32",0.014386
"33",0.0130559999999999
"34",0.0109260000000001
"35",0.00880600000000005
"36",0.00707400000000007
"37",0.00585000000000004
"38",0.00465999999999997
"39",0.00443999999999996
"40",0.0040280000000001
"41",0.00270799999999998
"42",0.001478
"43",0.000224000000000046
"44",-0.000827999999999918
"45",-0.00161800000000003
"46",-0.00182249999999984
"47",-0.0020133333333332
