"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.18263,0.02105,0.02445,0.20993,0.0152,0.91033,0.08972,0.07115,1.04415,0.04321,0.83833,0.08106,0.03624,0.82291,0.01068
"2",0.18101,0.02087,0.02436,0.20853,0.01554,0.90826,0.08956,0.07106,1.0434,0.04427,0.84384,0.08163,0.03666,0.83069,0.011
"3",0.17926,0.02065,0.0242,0.20711,0.01588,0.90538,0.0893,0.07088,1.04179,0.04533,0.84831,0.08213,0.03705,0.83788,0.01133
"4",0.1753,0.02014,0.02377,0.20422,0.01621,0.89988,0.08881,0.07042,1.03753,0.04638,0.85185,0.08254,0.0374,0.84429,0.01166
"5",0.17006,0.01942,0.02304,0.19993,0.01653,0.88596,0.08766,0.06948,1.02752,0.04742,0.85165,0.08274,0.03772,0.84889,0.01199
"6",0.1687,0.01951,0.02296,0.19788,0.01685,0.88842,0.08748,0.06936,1.02629,0.04846,0.85735,0.08309,0.03803,0.8556,0.01232
"7",0.16617,0.01919,0.02271,0.19526,0.01716,0.8869,0.08738,0.06906,1.02329,0.04949,0.86176,0.08349,0.03833,0.86165,0.01265
"8",0.16324,0.01881,0.02235,0.19226,0.01747,0.88146,0.08695,0.06859,1.01814,0.05052,0.86458,0.08383,0.03861,0.86691,0.01298
"9",0.15636,0.01772,0.02125,0.18634,0.01777,0.85635,0.08502,0.06704,1.00046,0.05154,0.86876,0.08422,0.03891,0.87269,0.01331
"10",0.15095,0.01714,0.02038,0.18074,0.01806,0.83563,0.08292,0.06559,0.98301,0.05253,0.87281,0.08461,0.03921,0.87831,0.01365
"11",0.14654,0.01667,0.01969,0.1756,0.01834,0.81815,0.08111,0.06425,0.96616,0.0535,0.87674,0.085,0.0395,0.88377,0.01399
"12",0.14284,0.01629,0.01914,0.17096,0.01861,0.80312,0.07955,0.06303,0.95012,0.05445,0.88055,0.08538,0.03978,0.88908,0.01433
"13",0.13969,0.01596,0.0187,0.1668,0.01887,0.78999,0.0782,0.06192,0.93501,0.05538,0.88424,0.08575,0.04005,0.89424,0.01467
"14",0.13696,0.01568,0.01835,0.1631,0.01913,0.77838,0.07701,0.06091,0.92087,0.0563,0.88782,0.08611,0.04031,0.89925,0.01501
"15",0.13459,0.01543,0.01806,0.15982,0.01938,0.76802,0.07595,0.06,0.90771,0.0572,0.89129,0.08646,0.04057,0.90412,0.01535
"16",0.13251,0.01522,0.01783,0.15692,0.01963,0.75869,0.075,0.05918,0.8955,0.05809,0.89466,0.0868,0.04082,0.90885,0.0157
"17",0.13073,0.01504,0.01764,0.15438,0.01987,0.75042,0.07415,0.05845,0.88432,0.05897,0.89802,0.08714,0.04106,0.91348,0.01605
"18",0.12906,0.01487,0.01747,0.15207,0.02011,0.74249,0.07335,0.05777,0.87372,0.05984,0.90106,0.08746,0.0413,0.9179,0.0164
"19",0.12757,0.01471,0.01732,0.15001,0.02035,0.73517,0.07261,0.05715,0.86384,0.06071,0.90395,0.08776,0.04153,0.92217,0.01675
"20",0.12627,0.01458,0.01719,0.14819,0.02059,0.72852,0.07194,0.05659,0.85473,0.06157,0.90677,0.08805,0.04175,0.92631,0.0171
"21",0.12507,0.01445,0.01708,0.14654,0.02082,0.72221,0.07131,0.05606,0.84617,0.06242,0.90939,0.08832,0.04197,0.93028,0.01745
"22",0.12396,0.01434,0.01697,0.14504,0.02105,0.71622,0.07071,0.05557,0.83811,0.06327,0.91181,0.08857,0.04218,0.93408,0.01781
"23",0.12303,0.01424,0.01688,0.14373,0.02128,0.7109,0.07016,0.05513,0.83076,0.06411,0.91425,0.08882,0.04238,0.93778,0.01817
"24",0.12209,0.01414,0.01679,0.14249,0.02151,0.70555,0.06963,0.0547,0.82365,0.06494,0.91635,0.08905,0.04257,0.94126,0.01853
"25",0.12115,0.01403,0.01669,0.1413,0.02174,0.70017,0.0691,0.05428,0.81673,0.06577,0.91811,0.08925,0.04276,0.94451,0.01889
"26",0.1202,0.01393,0.01658,0.14014,0.02197,0.69475,0.06857,0.05386,0.80995,0.0666,0.91953,0.08942,0.04294,0.94752,0.01926
"27",0.11934,0.01383,0.01648,0.13906,0.0222,0.68966,0.06806,0.05346,0.8035,0.06743,0.92082,0.08957,0.04311,0.95036,0.01963
"28",0.11866,0.01377,0.01641,0.13813,0.02243,0.68531,0.06761,0.05311,0.79767,0.06825,0.92225,0.08971,0.04327,0.95313,0.02
"29",0.11801,0.0137,0.01634,0.13727,0.02266,0.68113,0.06719,0.05278,0.79214,0.06907,0.92354,0.08984,0.04342,0.95575,0.02037
"30",0.11749,0.01365,0.01629,0.13653,0.02288,0.67749,0.06682,0.05249,0.78713,0.06988,0.92492,0.08998,0.04357,0.9583,0.02074
"31",0.11696,0.01359,0.01624,0.13584,0.0231,0.67389,0.06646,0.05221,0.78234,0.07069,0.92612,0.09011,0.04371,0.96069,0.02111
"32",0.11639,0.01352,0.01618,0.13514,0.02332,0.67014,0.0661,0.05192,0.7776,0.0715,0.92703,0.09022,0.04384,0.96288,0.02148
"33",0.11578,0.01345,0.0161,0.13443,0.02354,0.66628,0.06572,0.05163,0.77288,0.07231,0.92767,0.0903,0.04397,0.96486,0.02186
"34",0.11507,0.01336,0.01601,0.13365,0.02377,0.66202,0.06531,0.05132,0.76795,0.07312,0.92785,0.09035,0.04409,0.96655,0.02224
"35",0.1145,0.0133,0.01594,0.13295,0.02399,0.65833,0.06493,0.05104,0.7634,0.07393,0.92814,0.09039,0.0442,0.96816,0.02262
"36",0.11396,0.01324,0.01587,0.13229,0.02421,0.6548,0.06458,0.05077,0.75902,0.07473,0.92834,0.09042,0.0443,0.96962,0.023
"37",0.11342,0.01318,0.0158,0.13163,0.02443,0.65128,0.06423,0.0505,0.75472,0.07553,0.92837,0.09044,0.04439,0.97091,0.02338
"38",0.11289,0.01312,0.01573,0.131,0.02465,0.64786,0.06389,0.05023,0.75054,0.07633,0.92828,0.09044,0.04448,0.97205,0.02377
