"","x"
"1",0.00312000000000001
"2",-0.00525749999999992
"3",-0.00174800000000008
"4",-0.00323799999999999
"5",-0.00595600000000012
"6",-0.014532
"7",-0.027542
"8",-0.0417299999999999
"9",-0.051782
"10",-0.05589
"11",-0.0510059999999999
"12",-0.04153
"13",-0.035018
"14",-0.027012
"15",-0.0218259999999999
"16",-0.0158460000000002
"17",-0.003552
"18",0.00324399999999994
"19",0.00831999999999997
"20",0.018526
"21",0.0271380000000001
"22",0.029026
"23",0.0364040000000001
"24",0.0472940000000001
"25",0.037738
"26",0.0388260000000001
"27",0.046274
"28",0.047658
"29",0.047284
"30",0.0594279999999999
"31",0.0587999999999999
"32",0.0547359999999999
"33",0.054688
"34",0.0579319999999999
"35",0.061908
"36",0.064705
"37",0.0730166666666667
