"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.18263,0.02105,0.02445,0.20993,0.0152,0.91033,0.08972,0.07115,1.04415,0.04321,0.83833,0.08106,0.03624,0.82291,0.01068
"2",0.18101,0.02087,0.02436,0.20853,0.01554,0.90826,0.08956,0.07106,1.0434,0.04427,0.84384,0.08163,0.03666,0.83069,0.011
"3",0.17926,0.02065,0.0242,0.20711,0.01588,0.90538,0.0893,0.07088,1.04179,0.04533,0.84831,0.08213,0.03705,0.83788,0.01133
"4",0.1753,0.02014,0.02377,0.20422,0.01621,0.89988,0.08881,0.07042,1.03753,0.04638,0.85185,0.08254,0.0374,0.84429,0.01166
"5",0.17006,0.01942,0.02304,0.19993,0.01653,0.88596,0.08766,0.06948,1.02752,0.04742,0.85165,0.08274,0.03772,0.84889,0.01199
"6",0.1687,0.01951,0.02296,0.19788,0.01685,0.88842,0.08748,0.06936,1.02629,0.04846,0.85735,0.08309,0.03803,0.8556,0.01232
"7",0.16617,0.01919,0.02271,0.19526,0.01716,0.8869,0.08738,0.06906,1.02329,0.04949,0.86176,0.08349,0.03833,0.86165,0.01265
"8",0.16324,0.01881,0.02235,0.19226,0.01747,0.88146,0.08695,0.06859,1.01814,0.05052,0.86458,0.08383,0.03861,0.86691,0.01298
"9",0.15636,0.01772,0.02125,0.18634,0.01777,0.85635,0.08502,0.06704,1.00046,0.05154,0.86876,0.08422,0.03891,0.87269,0.01331
"10",0.14616,0.01629,0.01959,0.17754,0.01805,0.8172,0.08159,0.06452,0.97129,0.05252,0.86539,0.08426,0.03917,0.87508,0.01365
"11",0.13994,0.01578,0.01862,0.17043,0.01832,0.79397,0.07892,0.06268,0.94837,0.05347,0.86653,0.08432,0.03942,0.87889,0.01399
"12",0.1354,0.01533,0.01793,0.16435,0.01858,0.7749,0.0769,0.06108,0.92734,0.05439,0.86819,0.08444,0.03966,0.88276,0.01433
"13",0.13331,0.01522,0.01763,0.16009,0.01883,0.76263,0.0755,0.05994,0.91065,0.05529,0.87161,0.08467,0.03991,0.8873,0.01467
"14",0.13111,0.01501,0.01739,0.15635,0.01908,0.7518,0.07437,0.05892,0.89538,0.05618,0.87519,0.08497,0.04015,0.8918,0.01501
"15",0.12689,0.01441,0.01681,0.1515,0.01932,0.73245,0.07269,0.05748,0.87538,0.05705,0.87514,0.08513,0.04037,0.89468,0.01535
"16",0.12452,0.01424,0.01654,0.1479,0.01955,0.72025,0.07132,0.05643,0.85942,0.0579,0.87952,0.08541,0.0406,0.89927,0.01569
"17",0.1234,0.01421,0.01649,0.14536,0.01978,0.71339,0.07049,0.05569,0.84716,0.05874,0.88754,0.08595,0.04086,0.90543,0.01603
"18",0.12189,0.01407,0.01643,0.14299,0.02001,0.70729,0.06984,0.05502,0.83613,0.05957,0.89788,0.08673,0.04114,0.91275,0.01638
"19",0.12091,0.014,0.01643,0.14123,0.02024,0.70255,0.06933,0.05448,0.82688,0.0604,0.90998,0.08772,0.04145,0.92115,0.01673
"20",0.12021,0.01396,0.01646,0.13994,0.02046,0.69922,0.06895,0.05405,0.81931,0.06122,0.92442,0.08892,0.04179,0.9309,0.01708
"21",0.11898,0.01381,0.0164,0.1385,0.02068,0.69451,0.06851,0.05355,0.81156,0.06204,0.93649,0.09012,0.04214,0.94005,0.01744
"22",0.11902,0.01388,0.0165,0.13791,0.0209,0.69305,0.06829,0.0533,0.80652,0.06285,0.9487,0.09131,0.04251,0.94957,0.01781
"23",0.11983,0.01402,0.01669,0.13804,0.02112,0.69364,0.06829,0.05323,0.80366,0.06366,0.97807,0.09324,0.0429,0.96618,0.01818
"24",0.12001,0.01404,0.01681,0.13807,0.02135,0.69393,0.06831,0.05315,0.80123,0.06447,1.00669,0.09563,0.04336,0.98356,0.01856
"25",0.11817,0.01373,0.0166,0.13683,0.02158,0.68675,0.06779,0.0526,0.79439,0.06529,1.0285,0.09792,0.04386,0.99905,0.01896
"26",0.1199,0.01411,0.01692,0.13757,0.02181,0.69186,0.068,0.05283,0.79528,0.06611,1.04551,0.0999,0.0444,1.01323,0.01937
"27",0.12102,0.01431,0.01728,0.1384,0.02204,0.70094,0.06875,0.05323,0.79924,0.06694,1.07607,0.10232,0.045,1.03326,0.01979
"28",0.11911,0.01379,0.01689,0.13645,0.02227,0.68599,0.06792,0.0525,0.78995,0.06776,1.08942,0.10427,0.04565,1.04726,0.02021
"29",0.12252,0.01446,0.01736,0.13761,0.0225,0.69044,0.06794,0.05284,0.79137,0.06858,1.11,0.10622,0.04636,1.06446,0.02064
"30",0.12599,0.01492,0.01791,0.1397,0.02274,0.69791,0.06857,0.05341,0.79567,0.0694,1.12939,0.10814,0.04708,1.08148,0.02108
"31",0.12768,0.01506,0.01824,0.14133,0.02298,0.70218,0.06906,0.0538,0.79883,0.07023,1.14796,0.11,0.04781,1.0984,0.02153
"32",0.1307,0.0155,0.01877,0.14385,0.02323,0.71253,0.06993,0.05456,0.8063,0.07108,1.16926,0.11196,0.04857,1.11678,0.02199
"33",0.13298,0.01574,0.01916,0.1462,0.02348,0.72019,0.07075,0.05521,0.81315,0.07194,1.18775,0.11386,0.04934,1.13437,0.02246
"34",0.13454,0.01587,0.0194,0.14813,0.02374,0.72457,0.07128,0.05572,0.81858,0.07282,1.2031,0.11556,0.05012,1.15093,0.02294
"35",0.13551,0.01593,0.01951,0.14951,0.024,0.72626,0.07153,0.0561,0.82239,0.0737,1.21519,0.117,0.05089,1.16612,0.02343
"36",0.13722,0.01617,0.01975,0.15132,0.02427,0.73162,0.07198,0.05662,0.82807,0.07459,1.23042,0.11844,0.05167,1.18247,0.02392
"37",0.14182,0.01686,0.02045,0.15495,0.02454,0.74747,0.07328,0.05774,0.84057,0.07549,1.25256,0.12025,0.05248,1.20179,0.02442
"38",0.14512,0.01722,0.02099,0.15835,0.02482,0.76101,0.07465,0.05877,0.85291,0.07641,1.2742,0.12222,0.0533,1.22122,0.02493
