"","x"
"1",0.0118300000000001
"2",0.00309000000000004
"3",0.00628399999999996
"4",0.00420200000000008
"5",0.000960000000000072
"6",-0.00619800000000001
"7",-0.0180819999999999
"8",-0.0314199999999998
"9",-0.040828
"10",-0.0444240000000001
"11",-0.041006
"12",-0.032718
"13",-0.0266800000000002
"14",-0.018534
"15",-0.0127999999999998
"16",-0.00579799999999988
"17",0.00800799999999988
"18",0.0156680000000001
"19",0.0210379999999999
"20",0.0312139999999999
"21",0.0392519999999999
"22",0.0400400000000001
"23",0.0464980000000001
"24",0.0568820000000001
"25",0.04719
"26",0.048504
"27",0.056246
"28",0.0578619999999999
"29",0.0574079999999999
"30",0.069084
"31",0.067806
"32",0.063128
"33",0.062492
"34",0.065114
"35",0.0686999999999999
"36",0.0712199999999998
"37",0.0792333333333331
