"","x"
"1",-0.0125999999999999
"2",-0.032195
"3",-0.0396979999999999
"4",-0.05945
"5",-0.048888
"6",-0.0177380000000001
"7",0.00581199999999988
"8",0.0124219999999999
"9",0.0136900000000001
"10",0.00359400000000001
"11",-4.3999999999933e-05
"12",-0.0100579999999999
"13",-3.80000000001601e-05
"14",0.01426
"15",0.0251800000000001
"16",0.0287739999999999
"17",0.028166
"18",0.0302020000000002
"19",0.030646
"20",0.039954
"21",0.0502700000000001
"22",0.0664619999999999
"23",0.0845179999999999
"24",0.100204
"25",0.10426
"26",0.106954
"27",0.114426
"28",0.109436
"29",0.101324
"30",0.098312
"31",0.0909459999999999
"32",0.0834639999999998
"33",0.0854520000000003
"34",0.0811260000000001
"35",0.061304
"36",0.0647780000000001
"37",0.072184
"38",0.0676939999999998
"39",0.083558
"40",0.10928
"41",0.121714
"42",0.139754
"43",0.161444
"44",0.180328
"45",0.184212
"46",0.18901
"47",0.191413333333333
