"","d.soil.c.nf.s"
"1",0.3224198926061
"2",0.321709146188882
"3",0.320004613111546
"4",0.316435134658983
"5",0.314263487336696
"6",0.313805258529466
"7",0.312352562644397
"8",0.307561287330708
"9",0.297737690147916
"10",0.288102244239501
"11",0.28152490086441
"12",0.27707862589499
"13",0.27394841194688
"14",0.269723724858505
"15",0.265389055369939
"16",0.262447391338888
"17",0.262259067217308
"18",0.261702190141035
"19",0.261357087315109
"20",0.261769649343016
"21",0.262613263514353
"22",0.263408114502425
"23",0.26690518459626
"24",0.269284599386368
"25",0.27268636968585
"26",0.277113052423831
"27",0.277450319707956
"28",0.279211252383763
"29",0.282747536611463
"30",0.287445170454337
"31",0.293306113182005
"32",0.299677218361533
"33",0.306392773012192
"34",0.308689082776887
"35",0.312095183024916
"36",0.318623136408247
"37",0.326221067330259
