"","V1"
"4",0.472130149697293
"5",0.473196219940564
"6",0.464607822402868
"7",0.451557567071306
"8",0.440968521855483
"9",0.434311816302868
"10",0.435183196922599
"11",0.4414504648767
"12",0.445626815721334
"13",0.443456627148926
"14",0.438204888721454
"15",0.435506271940376
"16",0.436937897722621
"17",0.43710760085617
"18",0.435697617137107
"19",0.438181742110427
"20",0.442970172298928
"21",0.447280333012415
"22",0.445277194958045
"23",0.443701183023441
"24",0.446205855245605
"25",0.453869387936467
"26",0.465716161588135
"27",0.474036826177402
"28",0.480629127148624
"29",0.493004066013791
"30",0.505716170385655
"31",0.518513077555944
"32",0.527262804882049
"33",0.53195470108864
"34",0.537949436312796
"35",0.541268120401948
"36",0.545968132135005
"37",0.551325289739854
"38",0.557458924103035
"39",0.567356124581431
"40",0.565178264727511
"41",0.567349216072672
"42",0.576954914395839
"43",0.586154684879771
"44",0.595940695433039
"45",0.60891229255153
"46",0.628352227658153
"47",0.646227306632109
"48",0.666891152205823
"49",0.686536691069042
"50",0.70235375422865
