"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.20162,0.02329,0.027,0.23117,0.01496,0.99848,0.0983,0.07799,1.142,0.04214,0.89159,0.08608,0.03761,0.86229,0.01014
"2",0.20059,0.02317,0.02702,0.23033,0.0153,0.99938,0.09845,0.0781,1.14381,0.0432,0.89791,0.08674,0.03808,0.87118,0.01045
"3",0.1993,0.02301,0.02695,0.22943,0.01564,0.99906,0.09845,0.07811,1.14473,0.04426,0.90318,0.08732,0.03853,0.87948,0.01076
"4",0.19568,0.02253,0.02659,0.22702,0.01598,0.99578,0.0982,0.07782,1.14291,0.04532,0.9075,0.08781,0.03894,0.88699,0.01108
"5",0.19066,0.02181,0.0259,0.22317,0.01631,0.98373,0.09727,0.07703,1.13524,0.04637,0.90804,0.08809,0.03932,0.89268,0.0114
"6",0.18949,0.02193,0.02586,0.22148,0.01663,0.9879,0.09724,0.07705,1.13621,0.04742,0.91447,0.08852,0.03969,0.90047,0.01172
"7",0.18712,0.02163,0.02564,0.21917,0.01695,0.98803,0.0973,0.07688,1.13527,0.04847,0.91961,0.08899,0.04004,0.90758,0.01204
"8",0.18432,0.02126,0.0253,0.21643,0.01727,0.98411,0.09703,0.07653,1.13206,0.04952,0.92315,0.0894,0.04038,0.91389,0.01236
"9",0.17861,0.02035,0.02438,0.21144,0.01758,0.96444,0.09556,0.07532,1.11889,0.05056,0.92804,0.08986,0.04074,0.92071,0.01268
"10",0.16917,0.01896,0.02284,0.2035,0.01787,0.92942,0.09261,0.07311,1.09405,0.05157,0.92534,0.08998,0.04105,0.92413,0.01301
"11",0.16345,0.01851,0.02194,0.19712,0.01815,0.9094,0.09027,0.07154,1.07516,0.05255,0.92712,0.09011,0.04135,0.92897,0.01334
"12",0.15928,0.01811,0.02129,0.19162,0.01842,0.893,0.08851,0.07018,1.05779,0.05351,0.9294,0.0903,0.04165,0.93385,0.01367
"13",0.15752,0.01803,0.02102,0.18782,0.01869,0.88303,0.08734,0.06924,1.04439,0.05446,0.93343,0.09059,0.04195,0.93938,0.014
"14",0.15559,0.01785,0.0208,0.18444,0.01896,0.87425,0.08641,0.06839,1.03205,0.0554,0.93762,0.09094,0.04224,0.94486,0.01433
"15",0.15158,0.01726,0.02023,0.17988,0.01922,0.85664,0.08492,0.0671,1.01466,0.05632,0.93817,0.09116,0.04252,0.9487,0.01466
"16",0.14964,0.01716,0.02001,0.17667,0.01947,0.84701,0.08378,0.06624,1.00169,0.05723,0.94315,0.09151,0.0428,0.95423,0.01499
"17",0.14916,0.01723,0.02005,0.17465,0.01972,0.84353,0.08323,0.06573,0.99285,0.05813,0.95179,0.0921,0.04311,0.96131,0.01532
"18",0.14839,0.01719,0.0201,0.17291,0.01997,0.84129,0.08294,0.06531,0.98554,0.05903,0.9627,0.09292,0.04344,0.9695,0.01566
"19",0.1483,0.01723,0.02023,0.17191,0.02022,0.84101,0.08285,0.06506,0.98046,0.05993,0.97545,0.09395,0.04379,0.97875,0.016
"20",0.14862,0.01733,0.02042,0.17152,0.02047,0.84273,0.08294,0.06496,0.97756,0.06083,0.99062,0.0952,0.04417,0.98934,0.01635
"21",0.14817,0.01726,0.02049,0.17091,0.02072,0.8423,0.08294,0.06477,0.97417,0.06173,1.00344,0.09646,0.04456,0.9993,0.0167
"22",0.14886,0.0174,0.02069,0.17107,0.02097,0.84456,0.0831,0.0648,0.9732,0.06263,1.01644,0.09772,0.04497,1.00963,0.01706
"23",0.15025,0.01761,0.02097,0.17188,0.02123,0.84858,0.08344,0.06499,0.97419,0.06353,1.04674,0.0997,0.0454,1.02703,0.01742
"24",0.15089,0.01767,0.02116,0.17249,0.02149,0.85177,0.08376,0.06514,0.97525,0.06444,1.07635,0.10214,0.04589,1.04517,0.01779
"25",0.14939,0.01738,0.021,0.17176,0.02175,0.84703,0.08351,0.06479,0.97158,0.06536,1.09922,0.1045,0.04641,1.0614,0.01818
"26",0.15142,0.01781,0.02136,0.17293,0.02201,0.85431,0.08393,0.0652,0.97535,0.06628,1.11734,0.10659,0.04697,1.07633,0.01858
"27",0.15299,0.01808,0.02178,0.17425,0.02228,0.86611,0.08491,0.0658,0.98233,0.06722,1.14899,0.1091,0.04759,1.09709,0.01899
"28",0.15167,0.01761,0.02148,0.17288,0.02255,0.85433,0.08442,0.0653,0.9764,0.06816,1.16345,0.11117,0.04827,1.11182,0.0194
"29",0.15578,0.01838,0.02205,0.17467,0.02282,0.86217,0.08476,0.06589,0.9814,0.0691,1.18509,0.11324,0.049,1.12975,0.01982
"30",0.15989,0.01892,0.02269,0.17734,0.0231,0.87272,0.08568,0.06669,0.98907,0.07004,1.20556,0.11527,0.04975,1.14752,0.02025
"31",0.16211,0.01912,0.02309,0.1795,0.02338,0.87965,0.08644,0.06728,0.99533,0.071,1.22518,0.11724,0.05051,1.1652,0.02069
"32",0.16558,0.01961,0.02369,0.18251,0.02367,0.8924,0.08756,0.06824,1.00566,0.07197,1.24756,0.11931,0.0513,1.18435,0.02114
"33",0.16824,0.01988,0.02414,0.1853,0.02397,0.90219,0.08859,0.06906,1.01512,0.07296,1.26714,0.12131,0.0521,1.20273,0.0216
"34",0.17014,0.02004,0.02442,0.18764,0.02427,0.90851,0.08932,0.06973,1.02301,0.07397,1.28366,0.12313,0.05291,1.22013,0.02207
"35",0.1714,0.02013,0.02456,0.1894,0.02458,0.91193,0.08976,0.07026,1.02911,0.07499,1.29687,0.12469,0.05372,1.23619,0.02254
"36",0.17334,0.02039,0.02482,0.19153,0.02489,0.91873,0.09036,0.07091,1.03685,0.07602,1.31313,0.12625,0.05453,1.25341,0.02302
"37",0.17813,0.02112,0.02554,0.19541,0.02521,0.93579,0.09177,0.07214,1.05112,0.07706,1.33621,0.12815,0.05538,1.27358,0.02351
