"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.1847,0.02148,0.02485,0.21229,0.0176,1.22671,0.1202,0.0911,1.38553,0.06703,1.15461,0.11139,0.05036,1.14882,0.01718
"2",0.18697,0.02176,0.02534,0.21412,0.018,1.24056,0.12168,0.09209,1.39768,0.06866,1.16762,0.11261,0.05092,1.16152,0.01769
"3",0.18475,0.02127,0.02504,0.21312,0.0184,1.2298,0.12122,0.09186,1.3955,0.0703,1.17026,0.11334,0.05144,1.16982,0.0182
"4",0.17538,0.01982,0.02359,0.20671,0.01878,1.18793,0.11788,0.0897,1.37069,0.07191,1.15875,0.11308,0.05184,1.17128,0.01871
"5",0.16917,0.01914,0.02251,0.20068,0.01915,1.1519,0.11429,0.08759,1.34418,0.07347,1.14747,0.11235,0.05219,1.17176,0.01922
"6",0.16556,0.01881,0.02186,0.19595,0.01951,1.12586,0.1115,0.08584,1.32048,0.07499,1.13886,0.11155,0.05248,1.17238,0.01973
"7",0.16463,0.01884,0.02169,0.1931,0.01986,1.11308,0.10993,0.08474,1.30367,0.07649,1.13549,0.11101,0.05275,1.17445,0.02024
"8",0.17055,0.01986,0.02261,0.19549,0.02022,1.12955,0.11085,0.08536,1.30647,0.07798,1.14433,0.11123,0.05307,1.18156,0.02075
"9",0.17631,0.02056,0.02354,0.1993,0.02059,1.14513,0.11235,0.08626,1.31324,0.07949,1.15446,0.1119,0.05341,1.18956,0.02126
"10",0.17788,0.02061,0.02389,0.20138,0.02097,1.1491,0.113,0.08659,1.31511,0.08101,1.16061,0.11255,0.05373,1.19593,0.02177
"11",0.17266,0.01974,0.02324,0.19901,0.02134,1.13248,0.11184,0.08561,1.30362,0.08252,1.15822,0.11271,0.05396,1.19824,0.02228
"12",0.16977,0.01944,0.0228,0.1968,0.0217,1.11934,0.11051,0.08477,1.29267,0.08402,1.15647,0.11268,0.05418,1.20048,0.02279
"13",0.17002,0.01959,0.02281,0.19623,0.02206,1.11648,0.11,0.08449,1.28748,0.0855,1.15856,0.11278,0.05441,1.20414,0.0233
"14",0.17285,0.02007,0.02327,0.19787,0.02242,1.12785,0.11076,0.08497,1.29177,0.08699,1.16641,0.11322,0.05465,1.21022,0.02382
"15",0.1711,0.01964,0.02297,0.19699,0.02278,1.11505,0.11004,0.08435,1.28332,0.08848,1.16436,0.11336,0.05485,1.21221,0.02434
"16",0.17209,0.01988,0.02312,0.19762,0.02314,1.11699,0.10993,0.08438,1.28251,0.08996,1.1679,0.11358,0.05505,1.21627,0.02486
"17",0.17545,0.02038,0.02362,0.20001,0.02351,1.1283,0.1108,0.085,1.28863,0.09144,1.17561,0.11409,0.05528,1.22222,0.02538
"18",0.1789,0.02082,0.02418,0.20291,0.02389,1.14267,0.11212,0.08588,1.29832,0.09294,1.18553,0.11485,0.05554,1.2293,0.0259
"19",0.18162,0.0211,0.0246,0.2057,0.02427,1.153,0.11323,0.08663,1.30726,0.09445,1.20149,0.11604,0.05585,1.23934,0.02643
"20",0.17717,0.02026,0.02392,0.20388,0.02465,1.13435,0.11207,0.08576,1.29822,0.09596,1.20445,0.11677,0.05611,1.24414,0.02696
"21",0.17811,0.02055,0.02399,0.20438,0.02503,1.13521,0.11176,0.08582,1.29869,0.09746,1.21398,0.11759,0.05642,1.2518,0.0275
"22",0.1804,0.0209,0.02431,0.20609,0.02541,1.1438,0.1124,0.08629,1.3042,0.09897,1.226,0.11859,0.05675,1.2608,0.02804
"23",0.18779,0.02197,0.02538,0.21161,0.0258,1.17051,0.1146,0.08793,1.32302,0.1005,1.24511,0.12006,0.05715,1.2735,0.02859
"24",0.19424,0.02274,0.02639,0.21757,0.02621,1.19865,0.1173,0.08977,1.34559,0.10207,1.26573,0.12183,0.0576,1.28752,0.02915
