"","V1"
"1",0.335045668599811
"2",0.3320598926061
"3",0.327509146188882
"4",0.313924613111546
"5",0.286045134658983
"6",0.326553487336695
"7",0.315995258529466
"8",0.304562562644396
"9",0.258601287330708
"10",0.202297690147916
"11",0.229452244239501
"12",0.23345490086441
"13",0.24874862589499
"14",0.24940841194688
"15",0.221663724858505
"16",0.239299055369939
"17",0.254407391338888
"18",0.259859067217308
"19",0.267062190141034
"20",0.274767087315109
"21",0.269659649343015
"22",0.279953263514353
"23",0.312038114502426
"24",0.31532518459626
"25",0.292134599386368
"26",0.31746636968585
"27",0.348903052423831
"28",0.278300319707956
"29",0.333071252383764
"30",0.342837536611462
"31",0.339145170454337
"32",0.363226113182004
"33",0.361247218361532
"34",0.357112773012192
"35",0.348459082776887
"36",0.363555183024917
"37",0.404763136408247
"38",0.407671067330259
