"","V1"
"3",0.531470209861164
"4",0.531430149697293
"5",0.466756219940565
"6",0.363127822402868
"7",0.357577567071305
"8",0.368508521855483
"9",0.396411816302868
"10",0.482883196922599
"11",0.4964604648767
"12",0.470156815721334
"13",0.404676627148926
"14",0.407094888721454
"15",0.432956271940376
"16",0.474437897722621
"17",0.412097600856169
"18",0.447497617137107
"19",0.479091742110427
"20",0.495540172298929
"21",0.494860333012415
"22",0.410537194958045
"23",0.459651183023441
"24",0.484055855245605
"25",0.548669387936467
"26",0.569526161588136
"27",0.524196826177402
"28",0.588429127148624
"29",0.608624066013791
"30",0.617806170385655
"31",0.631063077555943
"32",0.608582804882051
"33",0.611614701088638
"34",0.612259436312795
"35",0.639718120401949
"36",0.625038132135005
"37",0.600315289739854
"38",0.651268924103034
"39",0.622506124581431
"40",0.56513826472751
"41",0.662459216072672
"42",0.66164491439584
"43",0.656624684879771
"44",0.730940695433039
"45",0.739442292551529
"46",0.789182227658154
"47",0.824327306632109
"48",0.849231152205823
"49",0.917746691069043
"50",0.854843754228648
