"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.18563,0.02142,0.02486,0.21315,0.01517,0.92422,0.09104,0.0722,1.05905,0.04307,0.84557,0.08178,0.03645,0.82869,0.01061
"2",0.18429,0.02127,0.02482,0.212,0.01551,0.92351,0.09102,0.0722,1.05939,0.04415,0.85063,0.08232,0.03687,0.83643,0.01094
"3",0.18278,0.02108,0.0247,0.21082,0.01585,0.92183,0.09088,0.07211,1.05888,0.04523,0.8547,0.08278,0.03727,0.84356,0.01127
"4",0.17903,0.02059,0.02431,0.20816,0.01619,0.9174,0.0905,0.07173,1.0557,0.0463,0.85788,0.08315,0.03763,0.8499,0.0116
"5",0.17398,0.01989,0.02361,0.2041,0.01652,0.90447,0.08946,0.07086,1.04676,0.04736,0.85734,0.08332,0.03795,0.85442,0.01193
"6",0.1728,0.02,0.02356,0.20226,0.01684,0.90786,0.08937,0.07081,1.04657,0.04842,0.86274,0.08364,0.03827,0.86104,0.01226
"7",0.17044,0.01969,0.02334,0.19985,0.01716,0.90723,0.08936,0.07058,1.04459,0.04948,0.86688,0.08401,0.03857,0.86699,0.01259
"8",0.16767,0.01934,0.023,0.19705,0.01748,0.90264,0.08901,0.07018,1.04043,0.05053,0.86945,0.08433,0.03885,0.87215,0.01293
"9",0.16205,0.01846,0.0221,0.19203,0.01779,0.88255,0.08746,0.06893,1.02639,0.05157,0.8734,0.08469,0.03915,0.87783,0.01327
"10",0.15281,0.01713,0.02059,0.18411,0.01808,0.84755,0.08445,0.06669,1.00079,0.05258,0.86982,0.08471,0.0394,0.88011,0.01361
"11",0.14735,0.0167,0.01974,0.17782,0.01836,0.82783,0.08215,0.06511,0.98131,0.05356,0.87077,0.08475,0.03964,0.88381,0.01395
"12",0.14344,0.01632,0.01915,0.17249,0.01863,0.8118,0.08044,0.06375,0.96355,0.05452,0.87225,0.08485,0.03988,0.88757,0.01429
"13",0.14189,0.01626,0.01893,0.16891,0.0189,0.80218,0.07932,0.06283,0.94994,0.05547,0.8755,0.08507,0.04012,0.89199,0.01463
"14",0.14014,0.01609,0.01875,0.16577,0.01916,0.7937,0.07843,0.06201,0.93755,0.0564,0.87892,0.08535,0.04036,0.89638,0.01497
"15",0.13632,0.01554,0.01822,0.16146,0.01942,0.77645,0.07696,0.06075,0.92023,0.05732,0.87872,0.08549,0.04058,0.89915,0.01531
"16",0.13458,0.01545,0.01803,0.15852,0.01967,0.76724,0.07587,0.05992,0.90744,0.05822,0.88297,0.08576,0.04081,0.90363,0.01565
"17",0.13431,0.01554,0.01811,0.15681,0.01992,0.76428,0.07539,0.05946,0.899,0.05911,0.89096,0.08629,0.04106,0.90972,0.01599
"18",0.13386,0.01553,0.0182,0.15545,0.02017,0.76297,0.07519,0.05912,0.89252,0.06,0.90144,0.08707,0.04134,0.91703,0.01634
"19",0.134,0.0156,0.01836,0.1548,0.02042,0.76336,0.07517,0.05895,0.88825,0.06089,0.91365,0.08807,0.04164,0.92542,0.01669
"20",0.13449,0.0157,0.01857,0.15472,0.02067,0.76553,0.07533,0.05892,0.8861,0.06178,0.92816,0.08928,0.04198,0.93515,0.01704
"21",0.13425,0.01566,0.01866,0.15441,0.02092,0.76565,0.07538,0.05879,0.88355,0.06267,0.94035,0.09048,0.04233,0.94431,0.0174
"22",0.1351,0.01581,0.01887,0.15484,0.02117,0.76835,0.07558,0.05888,0.88337,0.06356,0.95266,0.09168,0.0427,0.95384,0.01777
"23",0.13662,0.01603,0.01916,0.15588,0.02142,0.7727,0.07596,0.05912,0.88508,0.06445,0.98216,0.09362,0.04309,0.97046,0.01814
"24",0.13746,0.01612,0.01937,0.15676,0.02168,0.77656,0.07634,0.05934,0.88706,0.06535,1.01106,0.09603,0.04354,0.98791,0.01852
"25",0.13619,0.01587,0.01923,0.15629,0.02194,0.7726,0.07615,0.05906,0.88434,0.06625,1.0332,0.09833,0.04403,1.00349,0.01891
"26",0.13853,0.01632,0.01963,0.15778,0.0222,0.78107,0.07669,0.05955,0.88934,0.06716,1.05083,0.10035,0.04457,1.01787,0.01931
"27",0.14038,0.01662,0.02008,0.15943,0.02246,0.79397,0.0778,0.06024,0.89762,0.06808,1.08202,0.10281,0.04517,1.03811,0.01972
"28",0.13928,0.01619,0.0198,0.15835,0.02272,0.78317,0.07738,0.05982,0.89289,0.069,1.09593,0.10482,0.04583,1.05234,0.02014
"29",0.14361,0.01698,0.0204,0.16046,0.02299,0.7922,0.07784,0.0605,0.89918,0.06992,1.11716,0.10683,0.04654,1.06981,0.02057
"30",0.14798,0.01754,0.02108,0.16349,0.02326,0.80414,0.0789,0.0614,0.90834,0.07085,1.13744,0.10882,0.04727,1.08719,0.021
"31",0.15052,0.01778,0.02152,0.16604,0.02354,0.81272,0.07982,0.06211,0.9163,0.07179,1.15713,0.11076,0.048,1.10457,0.02144
"32",0.15425,0.0183,0.02215,0.16941,0.02383,0.82692,0.08108,0.06318,0.9283,0.07274,1.17956,0.11282,0.04877,1.12345,0.02189
"33",0.15727,0.01862,0.02265,0.17261,0.02412,0.83851,0.08228,0.06413,0.93967,0.07371,1.19948,0.11483,0.04955,1.14166,0.02235
"34",0.15954,0.01883,0.02298,0.17535,0.02442,0.84668,0.08319,0.06494,0.94952,0.0747,1.21647,0.11667,0.05034,1.15896,0.02282
"35",0.16112,0.01895,0.02317,0.17748,0.02472,0.85178,0.08379,0.06559,0.9575,0.07569,1.23012,0.11826,0.05113,1.17494,0.02329
"36",0.16332,0.01924,0.02347,0.17995,0.02503,0.86008,0.08454,0.06636,0.967,0.07669,1.24675,0.11985,0.05193,1.19209,0.02377
"37",0.16855,0.02002,0.02426,0.18427,0.02534,0.8793,0.08616,0.06774,0.98344,0.07771,1.27071,0.1218,0.05276,1.21237,0.02426
"38",0.1725,0.02046,0.02489,0.18836,0.02566,0.89627,0.08786,0.06903,0.99967,0.07875,1.29435,0.12394,0.05361,1.23286,0.02476
