"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.18948,0.02201,0.02547,0.21801,0.01753,1.25809,0.12334,0.0935,1.42206,0.06663,1.17667,0.11353,0.05106,1.16728,0.01694
"2",0.1914,0.02225,0.02591,0.21952,0.01793,1.27025,0.12464,0.09438,1.4329,0.06828,1.18915,0.11472,0.05165,1.18009,0.01745
"3",0.18891,0.02173,0.02557,0.21823,0.01833,1.2581,0.12405,0.09405,1.42946,0.06993,1.19133,0.11541,0.05219,1.18848,0.01797
"4",0.17929,0.02024,0.02409,0.21156,0.01872,1.21498,0.12059,0.0918,1.40346,0.07155,1.17941,0.11512,0.05261,1.19,0.01849
"5",0.17285,0.01954,0.02297,0.20528,0.01909,1.17779,0.11688,0.08961,1.37582,0.07313,1.16775,0.11436,0.05297,1.19054,0.019
"6",0.16905,0.01919,0.02229,0.20032,0.01945,1.1507,0.11399,0.08778,1.35104,0.07467,1.15879,0.11353,0.05328,1.1912,0.01951
"7",0.16796,0.01921,0.0221,0.19725,0.0198,1.13699,0.11231,0.08661,1.3332,0.07618,1.1551,0.11296,0.05356,1.19329,0.02002
"8",0.17376,0.02022,0.02301,0.19945,0.02016,1.15267,0.11314,0.08716,1.33502,0.07768,1.16366,0.11314,0.05389,1.20042,0.02053
"9",0.17944,0.02092,0.02393,0.2031,0.02053,1.16762,0.11458,0.088,1.34088,0.0792,1.17356,0.11378,0.05424,1.20842,0.02104
"10",0.18094,0.02096,0.02427,0.20504,0.02091,1.17104,0.11517,0.08828,1.34191,0.08073,1.17951,0.1144,0.05456,1.21479,0.02155
"11",0.17564,0.02008,0.02361,0.20256,0.02128,1.15389,0.11396,0.08725,1.32966,0.08225,1.17694,0.11455,0.0548,1.21709,0.02207
"12",0.17267,0.01977,0.02317,0.20026,0.02164,1.14022,0.11258,0.08637,1.31802,0.08375,1.17502,0.11451,0.05502,1.21931,0.02259
"13",0.17284,0.01991,0.02317,0.1996,0.022,1.13688,0.11202,0.08605,1.31219,0.08524,1.17696,0.11459,0.05525,1.22295,0.02311
"14",0.17562,0.02038,0.02362,0.20116,0.02236,1.14784,0.11273,0.0865,1.31589,0.08673,1.18468,0.11501,0.05549,1.229,0.02363
"15",0.17382,0.01994,0.02332,0.20021,0.02272,1.13466,0.11198,0.08585,1.3069,0.08822,1.18251,0.11514,0.05569,1.23097,0.02415
