"","alue","tkg","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"1",1,1,18.6,18.13,17.65,17.18,16.7,16.23,15.75,15.28,14.8,15.76,16.72,17.68,18.64,19.6,19.76,19.92,20.08,20.24,20.4
"2",1,2,20.4,19.8,19.2,18.6,18,17.4,16.8,16.2,15.6,16.54,17.48,18.42,19.36,20.3,20.38,20.46,20.54,20.62,20.7
"3",1,3,19,18.54,18.08,17.61,17.15,16.69,16.23,15.76,15.3,16.4,17.5,18.6,19.7,20.8,20.66,20.52,20.38,20.24,20.1
"4",1,4,15.4,15.16,14.93,14.69,14.45,14.21,13.98,13.74,13.5,14.46,15.42,16.38,17.34,18.3,18.28,18.26,18.24,18.22,18.2
"5",1,5,12.6,12.53,12.45,12.38,12.3,12.23,12.15,12.08,12,13.08,14.16,15.24,16.32,17.4,17.38,17.36,17.34,17.32,17.3
"6",1,6,10.2,10.08,9.95,9.83,9.7,9.58,9.45,9.33,9.2,9.9,10.6,11.3,12,12.7,12.8,12.9,13,13.1,13.2
"7",1,7,4.5,4.48,4.45,4.43,4.4,4.38,4.35,4.33,4.3,4.88,5.46,6.04,6.62,7.2,7.18,7.16,7.14,7.12,7.1
"8",2,1,15.1,15.1,15.1,15.1,15.1,14.48,13.86,13.24,12.62,12,12.9,13.79,14.69,17.1,17,16.9,16.8,16.7,16.6
"9",2,2,19.5,19.5,19.5,19.5,19.5,18.3,17.1,15.9,14.7,13.5,14.32,15.14,15.96,18.8,19.22,19.64,20.06,20.48,20.9
"10",2,3,14.7,14.7,14.7,14.7,14.7,14.06,13.42,12.78,12.14,11.5,12.27,13.04,13.82,16,16.3,16.6,16.9,17.2,17.5
"11",2,4,11.2,11.2,11.2,11.2,11.2,11,10.8,10.6,10.4,10.2,11,11.8,12.6,14.4,14.62,14.84,15.06,15.28,15.5
"12",2,5,8.1,8.1,8.1,8.1,8.1,8.28,8.46,8.64,8.82,9,9.82,10.63,11.45,12.9,13.28,13.66,14.04,14.42,14.8
"13",2,6,7.3,7.3,7.3,7.3,7.3,7.18,7.06,6.94,6.82,6.7,7.26,7.81,8.37,9.6,9.76,9.92,10.08,10.24,10.4
"14",2,7,2.6,2.6,2.6,2.6,2.6,2.92,3.24,3.56,3.88,4.2,4.66,5.13,5.59,6.2,6.1,6,5.9,5.8,5.7
