"region" "ipcc" "soil" "X1989" "X1990" "X1991" "X1992" "X1993" "X1994" "X1995" "X1996" "X1997" "X1998" "X1999" "X2000" "X2001" "X2002" "X2003" "X2004" "X2005" "X2006" "X2007" "X2008" "X2009" "X2010" "X2011" "X2012" "X2013" "X2014" "X2015" "X2016" "X2017" "X2018"
"1" 1 1 1 8925751 8928347 8930590 8931766 8931120 8930512 8929809 8928575 8926266 8923583 8919429 8913827 8905765 8897308 8887996 8878205 8868803 8860599 8851736 8843249 8834607 8824808 8814969 8806682 8799375 8792969 8788038 8784270 8780244 8776153
"2" 1 1 2 2666650 2669332 2671821 2673614 2674640 2675645 2676139 2676525 2676586 2676296 2675446 2674193 2672662 2670893 2668588 2666496 2664157 2661696 2659239 2657387 2654264 2651447 2648665 2645924 2643032 2641724 2640548 2639378 2638951 2638651
"3" 1 1 99 11592401 11597679 11602411 11605380 11605760 11606157 11605948 11605100 11602852 11599879 11594875 11588020 11578427 11568201 11556584 11544701 11532960 11522295 11510975 11500636 11488871 11476255 11463634 11452606 11442407 11434693 11428586 11423648 11419195 11414804
"4" 1 2 1 1996035 1992554 1989094 1986079 1983505 1980816 1977778 1974834 1971803 1968937 1966801 1965759 1965471 1966112 1966951 1967045 1966942 1966215 1964733 1963709 1963595 1963726 1964149 1964877 1965447 1965399 1964981 1964256 1963368 1962122
"5" 1 2 2 152816 152142 151468 150788 150417 150101 150074 149962 149907 149803 149968 150524 151573 153108 155164 157282 159024 160735 162161 163556 165189 167128 168981 170843 172293 173308 174026 174643 175183 175569
"6" 1 2 99 2148851 2144696 2140562 2136867 2133922 2130917 2127852 2124796 2121710 2118740 2116769 2116283 2117044 2119220 2122115 2124327 2125966 2126950 2126894 2127265 2128784 2130854 2133130 2135720 2137740 2138707 2139007 2138899 2138551 2137691
"7" 1 3 1 86092 84512 82553 80442 78829 76947 75399 74093 73292 72214 71422 70684 70406 69811 69566 69490 69557 69227 69336 68891 68643 68434 68518 68362 68526 68846 69272 69948 70991 72238
"8" 1 3 2 30768 28509 26316 24335 22834 21465 20372 19758 19481 19270 19418 19642 19528 19430 19634 19509 19327 19224 18844 18110 17564 17074 16723 16643 16486 16411 16411 16411 16352 16370
"9" 1 3 99 116860 113021 108869 104777 101663 98412 95771 93851 92773 91484 90840 90326 89934 89241 89200 88999 88884 88451 88180 87001 86207 85508 85241 85005 85012 85257 85683 86359 87343 88608
"10" 1 3.3 1 22563 22708 22853 22992 23131 23270 23409 23548 23621 23621 23621 23621 23621 23621 23621 23621 23621 23751 24009 24267 24525 24783 25047 25183 25387 25591 25795 25863 25931 25931
"11" 1 3.3 2 12655 12722 12789 12856 12923 12990 12990 12990 12990 12990 12990 12990 12990 12990 12990 12990 12990 12990 12990 12990 12990 12990 12990 12990 12990 12990 12990 12990 12990 12990
"12" 1 3.3 99 35218 35430 35642 35848 36054 36260 36399 36538 36611 36611 36611 36611 36611 36611 36611 36611 36611 36741 36999 37257 37515 37773 38037 38173 38377 38581 38785 38853 38921 38921
"13" 1 3.5 1 31232 30611 30051 29642 29571 29537 29474 29460 29543 29610 29662 29931 30180 30499 30706 31185 31672 32258 32854 33504 33881 34223 34399 34477 34525 34573 34737 35083 35438 35984
