"region" "ipcc" "soil" "kptyy" "X1990" "X1991" "X1992" "X1993" "X1994" "X1995" "X1996" "X1997" "X1998" "X1999" "X2000" "X2001" "X2002" "X2003" "X2004" "X2005" "X2006" "X2007" "X2008" "X2009" "X2010" "X2011" "X2012" "X2013" "X2014" "X2015" "X2016" "X2017" "X2018"
"1" 1 1 1 NA 8831416 8830443 8828966 8826800 8824271 8821810 8819079 8815595 8811664 8807185 8802555 8796114 8789582 8782415 8774675 8767508 8761655 8755676 8750308 8745267 8740708 8736229 8732486 8728853 8726729 8726482 8727718 8728818 8730207
"2" 1 1 2 0 410089 406850 403426 399870 396295 392695 389065 385446 381791 383425 385013 386573 388110 389565 390986 392368 393728 395086 392535 389796 387099 384412 394256 404068 414111 424186 434266 434108 433958
"3" 1 1 2 1 357963 354694 351733 349102 346571 344000 341377 338815 336078 335217 334417 333833 333333 333081 332667 332274 331980 331598 345084 358606 373338 388188 373652 358600 343622 328648 313722 314510 315595
"4" 1 1 2 3 649760 654227 658528 662670 666837 671051 675337 679572 683729 684378 684937 685436 685888 686197 686635 686993 687242 687474 681191 674576 668102 661712 672355 682908 693595 704209 714713 714274 713854
"5" 1 1 2 4 733303 734969 736374 737566 738537 739364 740021 740659 741196 736762 732147 727603 722998 718255 713576 708929 704278 699586 704420 708987 713393 717799 710092 702361 695203 688085 681123 681219 681353
"6" 1 1 2 5 477312 476478 475589 474562 473541 472508 471467 470307 469170 470256 471194 472012 472857 473607 474256 474979 475799 476669 467552 458411 449189 439991 443767 447508 451501 455435 459354 459437 459458
"7" 1 1 2 6 5996 8131 10333 12602 14805 17007 19209 21407 23605 24757 25905 27050 28191 29324 30458 31592 32731 33803 32535 31263 30097 28934 26565 24132 21786 19442 17100 17166 17229
"8" 1 1 2 16 2224334 2228499 2232557 2236502 2240291 2243930 2247411 2250760 2253778 2251370 2248600 2245934 2243267 2240464 2237592 2234767 2232030 2229130 2230782 2231843 2234119 2236624 2226431 2215509 2205707 2195819 2186012 2186606 2187489
"9" 1 1 2 NA 2634423 2635349 2635983 2636372 2636586 2636625 2636476 2636206 2635569 2634795 2633613 2632507 2631377 2630029 2628578 2627135 2625758 2624216 2623317 2621639 2621218 2621036 2620687 2619577 2619818 2620005 2620278 2620714 2621447
"10" 2 1 1 NA 7171342 7170508 7169674 7168709 7167656 7166296 7164627 7162283 7159932 7157483 7154860 7152218 7149551 7146719 7143040 7139410 7135882 7132592 7129102 7126281 7123632 7121027 7118791 7117309 7116770 7116592 7117045 7117990 7119264
"11" 2 1 2 0 1336393 1328640 1320889 1313041 1305108 1296961 1288876 1280561 1272297 1263841 1255241 1246375 1231722 1216938 1202079 1187039 1172003 1157289 1172326 1187405 1202392 1217638 1215528 1213395 1211385 1209721 1207842 1207525 1207298
"12" 2 1 2 1 343652 340875 338044 335130 332158 329333 326560 323817 321225 318708 316189 313511 317806 322097 326382 330701 335249 339821 311968 284172 256560 229029 216847 204690 192592 180387 168189 168734 169183
"13" 2 1 2 3 494628 495268 495945 496562 497267 497965 498809 499651 500655 501649 502621 503473 494658 485915 477196 468528 459992 451552 455992 460427 464978 469691 466592 463445 460233 456953 453416 453558 453648
"14" 2 1 2 4 757008 771079 785072 798998 812858 826544 840028 853437 866788 879966 893093 906338 910887 915533 920274 924950 929621 934550 935464 936464 937544 938959 939903 940735 941701 942721 943704 944052 944594
"15" 2 1 2 5 377387 372104 366839 361631 356594 351636 346742 341883 337108 332406 327771 323118 336533 349929 363307 376623 389936 403355 408156 413018 418618 423645 440910 458018 474972 491938 509193 509350 509499
"16" 2 1 2 6 1559 2541 3526 4499 5384 6255 7113 7956 8814 9759 10715 11684 11250 10815 10379 9942 9506 9072 11166 13271 15364 17371 17538 17622 17795 17982 18270 18318 18443
"17" 2 1 2 16 1974234 1981867 1989426 1996820 2004261 2011733 2019252 2026744 2034590 2042488 2050389 2058124 2071134 2084289 2097538 2110744 2124304 2138350 2122746 2107352 2093064 2078695 2081790 2084510 2087293 2089981 2092772 2094012 2095367
"18" 2 1 2 NA 3310627 3310507 3310315 3309861 3309369 3308694 3308128 3307305 3306887 3306329 3305630 3304499 3302856 3301227 3299617 3297783 3296307 3295639 3295072 3294757 3295456 3296333 3297318 3297905 3298678 3299702 3300614 3301537 3302665
